stop_id,latitude,longitude
0_3130,42.2608983,-71.7966625
0_3490,42.2470206,-71.7585565
0_260,42.2573331,-71.7915625
0_261,42.25653,-71.7899402
0_262,42.2561731,-71.7879699
0_263,42.2558999,-71.7860099
0_264,42.2508529,-71.7796031
0_265,42.2508743,-71.7774298
0_266,42.2501334,-71.7754399
0_267,42.25044,-71.773523
0_268,42.250741,-71.7719978
0_269,42.2505037,-71.7688907
0_271,42.2505213,-71.7650378
0_272,42.2597399,-71.79381
0_273,42.2553278,-71.7850285
0_274,42.2547259,-71.784259
0_275,42.2526925,-71.7828369
0_277,42.2506757,-71.7670421
0_278,42.2486975,-71.7624263
0_279,42.2477025,-71.7614112
0_280,42.2461709,-71.7598859
0_281,42.2441609,-71.757318
0_282,42.2435879,-71.7564131
0_283,42.241316,-71.754196
0_292,42.2415301,-71.7542659
0_293,42.24854,-71.762023
0_294,42.2517301,-71.7820401
0_295,42.2543959,-71.78364
0_296,42.2552309,-71.784633
0_297,42.25728,-71.7910599
0_298,42.2597101,-71.7936598
0_299,42.250686,-71.7685399
0_3530,42.2602099,-71.7951899
0_1181,42.2516649,-71.7822127
0_1180,42.245281,-71.7589402
0_300,42.250526,-71.7735549
0_301,42.2502249,-71.7753109
0_302,42.2510509,-71.778561
0_303,42.2510064,-71.779714
0_304,42.2560199,-71.7856801
0_305,42.2562016,-71.7876305
0_311,42.2436051,-71.7563012
0_315,42.2506046,-71.764928
0_316,42.252688,-71.7826061
0_317,42.250893,-71.772395
0_318,42.2509613,-71.7771044
0_319,42.2564699,-71.7892399
