stop_id,latitude,longitude
0_3130,42.2608983,-71.7966625
0_600,42.2543999,-71.81473
0_601,42.25362,-71.8160099
0_602,42.2524601,-71.8181598
0_603,42.25138,-71.8201699
0_604,42.24994,-71.82285
0_605,42.2492799,-71.82404
0_607,42.2476599,-71.8270598
0_608,42.24669,-71.8288001
0_609,42.2454599,-71.8314101
0_611,42.2468799,-71.8282799
0_612,42.2476399,-71.8268901
0_614,42.25139,-71.8199299
0_615,42.2521299,-71.8185501
0_616,42.2533599,-71.8162499
0_617,42.2563499,-71.81071
0_619,42.2588,-71.8061699
0_621,42.26308,-71.8022101
0_637,42.24483,-71.8343601
0_640,42.2457643,-71.8305293
0_641,42.2483499,-71.8255701
0_642,42.2497201,-71.82303
0_643,42.2542899,-71.8147399
0_644,42.25545,-71.8124502
0_646,42.25772,-71.8081401
0_647,42.2598599,-71.8047401
0_243,42.2617801,-71.80149
0_3103,42.2611099,-71.7998699
0_1182,42.2608199,-71.80386
0_576,42.2447084,-71.8355164
0_596,42.2580701,-71.8076199
0_597,42.25677,-71.8100799
0_599,42.2556501,-71.8122499
0_246,42.2630845,-71.80168
