stop_id,latitude,longitude
0_1028,42.3072001,-71.7745102
0_8035,42.2345051,-72.0120359
0_8045,42.2442251,-71.9921611
0_8050,42.250893,-71.9781749
0_3624,42.236243,-71.7645158
0_1208,42.2587199,-71.8663999
0_8510,42.2148426,-72.1006973
0_1234,42.23241,-71.8497298
0_410,42.2564864,-71.7743468
0_8705,42.2314909,-72.030657
0_8730,42.2262001,-72.05016
0_3502,42.2616238,-71.8701963
0_9073,42.2142199,-71.84486
0_1153,42.318095,-71.778753
0_1152,42.2440457,-71.863284
0_1155,42.3140474,-71.7699643
0_7505,42.2425949,-71.8678901
0_7520,42.2455905,-71.9075209
0_7525,42.2455653,-71.932371
0_7545,42.2460113,-71.9090238
0_7535,42.2454251,-71.93223
0_8000,42.2560101,-71.954945
0_8001,42.2314929,-72.027955
0_8025,42.2347909,-72.0117429
0_8020,42.2439347,-71.9952799
0_6090,42.2023225,-71.8364231
0_8030,42.2378636,-72.0096113
0_8040,42.2438724,-71.9945366
0_8055,42.2564336,-71.959018
0_8060,42.2328359,-72.0137758
0_8065,42.2330712,-72.01353
0_1209,42.2434301,-71.8561661
0_9004,42.2465938,-71.7255806
0_3130,42.2608983,-71.7966625
0_3638,42.2415424,-71.7525089
0_1027,42.3066261,-71.7735231
0_1212,42.2576,-71.8660609
0_1210,42.2436531,-71.856096
0_3633,42.2413831,-71.7528905
0_3634,42.24111,-71.75083
0_3635,42.2408612,-71.7488237
0_3636,42.24103,-71.7487199
0_3637,42.24119,-71.7505398
0_1225,42.30634,-71.7723499
0_1224,42.3065599,-71.7734699
0_1223,42.3075699,-71.77507
0_1000,42.2366399,-71.8486401
0_1233,42.2346101,-71.84981
0_1011,42.24334,-71.8380701
0_1010,42.2420515,-71.8398383
0_1008,42.23979,-71.84296
0_1007,42.23885,-71.84456
0_1005,42.2375101,-71.84689
0_1004,42.23669,-71.84828
0_1001,42.2359999,-71.84973
0_1009,42.2407576,-71.8415185
0_1022,42.3015,-71.7651399
0_1021,42.3042111,-71.7675711
0_1031,42.3017901,-71.7650502
0_1030,42.3025581,-71.7660049
0_1029,42.3049901,-71.76808
0_1026,42.30625,-71.7705898
0_1025,42.3062101,-71.7703899
0_1024,42.3050699,-71.76823
0_600,42.2543999,-71.81473
0_1023,42.3027953,-71.7662889
0_601,42.25362,-71.8160099
0_602,42.2524601,-71.8181598
0_603,42.25138,-71.8201699
0_604,42.24994,-71.82285
0_605,42.2492799,-71.82404
0_607,42.2476599,-71.8270598
0_608,42.24669,-71.8288001
0_609,42.2454599,-71.8314101
0_611,42.2468799,-71.8282799
0_612,42.2476399,-71.8268901
0_614,42.25139,-71.8199299
0_615,42.2521299,-71.8185501
0_616,42.2533599,-71.8162499
0_617,42.2563499,-71.81071
0_619,42.2588,-71.8061699
0_621,42.26308,-71.8022101
0_622,42.240625,-71.863336
0_624,42.2403379,-71.8605301
0_625,42.2397259,-71.856246
0_627,42.2406799,-71.8535852
0_628,42.240966,-71.8515731
0_629,42.24134,-71.84946
0_3002,42.2664793,-71.7979019
0_630,42.2416261,-71.848108
0_631,42.2419599,-71.846638
0_633,42.2425001,-71.8441512
0_635,42.243478,-71.839725
0_636,42.24424,-71.8372849
0_637,42.24483,-71.8343601
0_8700,42.2315901,-72.0281529
0_3490,42.2470206,-71.7585565
0_640,42.2457643,-71.8305293
0_641,42.2483499,-71.8255701
0_642,42.2497201,-71.82303
0_643,42.2542899,-71.8147399
0_3004,42.268085,-71.7982812
0_644,42.25545,-71.8124502
0_646,42.25772,-71.8081401
0_647,42.2598599,-71.8047401
0_648,42.2426109,-71.84257
0_409,42.2565359,-71.7731954
0_8710,42.226431,-72.0502826
0_411,42.2562345,-71.7789303
0_412,42.25619,-71.7802001
0_8701,42.2148029,-72.0785309
0_420,42.2575,-71.7691501
0_421,42.2570733,-71.7705066
0_422,42.2564588,-71.7756085
0_664,42.2353481,-71.7646459
0_423,42.2562693,-71.7778802
0_424,42.2560901,-71.7822799
0_8715,42.2250553,-72.0576151
0_670,42.2358959,-71.7649801
0_8725,42.2250479,-72.057296
0_8500,42.2145615,-72.078925
0_3056,42.2642281,-71.797898
0_3055,42.266263,-71.798137
0_3054,42.2673279,-71.7983519
0_3053,42.268153,-71.79851
0_200,42.3030259,-71.774708
0_201,42.3029949,-71.774866
0_202,42.3018979,-71.77636
0_203,42.2998949,-71.7768849
0_204,42.29926,-71.7763449
0_205,42.2977811,-71.7753349
0_206,42.296375,-71.7750409
0_207,42.295126,-71.7749861
0_8735,42.23139,-72.030093
0_8520,42.2147159,-72.0969379
0_479,42.23244,-71.8495498
0_6120,42.2147899,-71.84587
0_6125,42.2178507,-71.8453458
0_480,42.2344299,-71.8496302
0_481,42.2356101,-71.84982
0_242,42.2634065,-71.7968
0_243,42.2617801,-71.80149
0_248,42.253988,-71.8665405
0_249,42.2476181,-71.8610632
0_6130,42.22317,-71.8470199
0_250,42.2474281,-71.861175
0_251,42.2542551,-71.866833
0_260,42.2573331,-71.7915625
0_261,42.25653,-71.7899402
0_262,42.2561731,-71.7879699
0_263,42.2558999,-71.7860099
0_264,42.2508529,-71.7796031
0_265,42.2508743,-71.7774298
0_266,42.2501334,-71.7754399
0_267,42.25044,-71.773523
0_268,42.250741,-71.7719978
0_269,42.2505037,-71.7688907
0_271,42.2505213,-71.7650378
0_272,42.2597399,-71.79381
0_273,42.2553278,-71.7850285
0_274,42.2547259,-71.784259
0_275,42.2526925,-71.7828369
0_277,42.2506757,-71.7670421
0_278,42.2486975,-71.7624263
0_279,42.2477025,-71.7614112
0_280,42.2461709,-71.7598859
0_281,42.2441609,-71.757318
0_282,42.2435879,-71.7564131
0_6160,42.2037534,-71.836987
0_283,42.241316,-71.754196
0_285,42.2391551,-71.7532579
0_286,42.2379296,-71.7527544
0_292,42.2415301,-71.7542659
0_293,42.24854,-71.762023
0_294,42.2517301,-71.7820401
0_295,42.2543959,-71.78364
0_296,42.2552309,-71.784633
0_297,42.25728,-71.7910599
0_298,42.2597101,-71.7936598
0_299,42.250686,-71.7685399
0_3503,42.3106453,-71.7756674
0_9068,42.2136901,-71.8424299
0_9066,42.2084434,-71.8354814
0_3530,42.2602099,-71.7951899
0_9072,42.2503801,-71.82183
0_9070,42.24618,-71.82958
0_9075,42.2083301,-71.83559
0_3523,42.2321328,-72.0294161
0_3521,42.2402752,-71.7472653
0_942,42.2303899,-71.8493501
0_944,42.22839,-71.84889
0_945,42.2276399,-71.84872
0_946,42.2276599,-71.8485801
0_947,42.2283603,-71.8487575
0_948,42.2295601,-71.8489999
0_949,42.2309701,-71.84933
0_3585,42.2356079,-71.7562181
0_3584,42.236482,-71.752168
0_978,42.3033211,-71.775216
0_979,42.3044251,-71.7768209
0_980,42.3058559,-71.7778859
0_3107,42.2416328,-71.8535428
0_981,42.306786,-71.7785932
0_982,42.3093929,-71.7805099
0_1169,42.3131099,-71.7730898
0_983,42.3105211,-71.7813428
0_1168,42.3130535,-71.7734716
