stop_id,latitude,longitude,inbound_stop_id,outbound_stop_id,direction
1125;1163,42.24359650001374,-71.75635700000751,1125,1163,PAIRED
1134;1153,42.250483000001275,-71.77353899998919,1134,1153,PAIRED
21;28,42.25972500002449,-71.79373499998222,21,28,PAIRED
1131;1158,42.25056300001335,-71.7649830000365,1131,1158,PAIRED
1135;1152,42.250179000018335,-71.77537550004689,1135,1152,PAIRED
584;604,42.25169750003273,-71.78212650004443,584,604,PAIRED
1139;1149,42.25269050005815,-71.78272149999549,1139,1149,PAIRED
1138;1150,42.25092950001393,-71.77965849993289,1138,1150,PAIRED
1124;1164,42.241423000006336,-71.75423099994084,1124,1164,PAIRED
343;349,42.25618750012601,-71.78780000003889,343,349,PAIRED
1136;1151,42.25091750011601,-71.77726700011195,1136,1151,PAIRED
342;350,42.255960000119025,-71.78584500015637,342,350,PAIRED
1141;1147,42.25527950017111,-71.7848309998483,1141,1147,PAIRED
1132;1155,42.250595000135036,-71.7687155002523,1132,1155,PAIRED
1133;1154,42.250817000172226,-71.7721964997617,1133,1154,PAIRED
1130;1159,42.24861850017754,-71.76222449975022,1130,1159,PAIRED
345;347,42.25730650027581,-71.79131149989469,345,347,PAIRED
344;348,42.25650000053413,-71.78958999983418,344,348,PAIRED
1140;1148,42.254561000419955,-71.78394949919327,1140,1148,PAIRED
1127;1161,42.24572600099236,-71.75941299667629,1127,1161,PAIRED
1137,42.251051000000004,-71.7785610000001,1137,,INBOUND
1156,42.25067600000001,-71.76704200000002,,1156,OUTBOUND
1160,42.24770300000001,-71.761411,,1160,OUTBOUND
1162,42.244161,-71.757318,,1162,OUTBOUND
1503,42.260898,-71.796662,1503,1503,BOTH
1612,42.26021000000001,-71.79518999999992,1612,,INBOUND
1855,42.24702100000001,-71.75855599999991,1855,1855,BOTH
