stop_id,latitude,longitude,inbound_stop_id,outbound_stop_id,direction
187;204,42.27767900001328,-71.79456000000347,187,204,PAIRED
661;674,42.287517000011775,-71.78923149997068,661,674,PAIRED
184;207,42.28306300002265,-71.79211950006223,184,207,PAIRED
657;678,42.29216200001048,-71.7801585000593,657,678,PAIRED
656;679,42.29303050001191,-71.77824900006495,656,679,PAIRED
1383;1461,42.26811900005721,-71.79839549993854,1383,1461,PAIRED
665;670,42.269807500099354,-71.79873200001781,665,670,PAIRED
659;676,42.28935300011079,-71.78658050007053,659,676,PAIRED
664;671,42.27089950010916,-71.79874800012871,664,671,PAIRED
185;206,42.28146150004779,-71.79275650017428,185,206,PAIRED
662;673,42.27384800000309,-71.79754799996307,662,673,PAIRED
1385;1459,42.26637100006125,-71.7980195002005,1385,1459,PAIRED
658;677,42.29146700005583,-71.7820665002452,658,677,PAIRED
663;672,42.27207950011805,-71.79867250047127,663,672,PAIRED
183;209,42.28587200011838,-71.79095550049846,183,209,PAIRED
186;205,42.27914150010926,-71.79371300055512,186,205,PAIRED
188;203,42.27618050023662,-71.79555300095437,188,203,PAIRED
388;823,42.29430950071999,-71.77543400198404,388,823,PAIRED
1386;95,42.263817001328704,-71.79734899643444,1386,95,PAIRED
675,42.28841999999992,-71.7878130000002,,675,OUTBOUND
1384,42.267327999999914,-71.79835199999981,1384,,INBOUND
1503,42.260898,-71.796662,1503,1503,BOTH
