stop_id,latitude,longitude,inbound_stop_id,outbound_stop_id,direction,extra_inbound,extra_outbound
415;448,42.25434500000038,-71.81473500000429,415,448,PAIRED,,
408;455,42.247650000031506,-71.82697499998653,408,455,PAIRED,,
412;451,42.25138500006278,-71.82005000000953,412,451,PAIRED,,
416;447,42.255550000044515,-71.81235000015792,416,447,PAIRED,,
410;452,42.249830000036376,-71.82294000015636,410,452,PAIRED,,
414;449,42.25349000006425,-71.81613000024636,414,449,PAIRED,,
407;456,42.24678500029548,-71.8285400003902,407,456,PAIRED,,
413;450,42.252295000168125,-71.81835500050818,413,450,PAIRED,,
419;444;420,42.25789500029735,-71.80788000071891,419,444,PAIRED,420,
417;445,42.25656000043644,-71.81039500104517,417,445,PAIRED,,
405;457,42.24561200084793,-71.83096950105734,405,457,PAIRED,,
404;459,42.2447690014569,-71.83493800055685,404,459,PAIRED,,
421;442,42.26034000086411,-71.80430000333698,421,442,PAIRED,,
196;24;1508,42.26243000060201,-71.8018499963021,196,24,PAIRED,,1508
409;453,42.24881500256991,-71.8248050056183,409,453,PAIRED,,
1503,42.260898,-71.796662,1503,1503,BOTH,,
