stop_id,latitude,longitude
0_3130,42.2608983,-71.7966625
0_600,42.2543999,-71.81473
0_601,42.25362,-71.8160099
0_602,42.2524601,-71.8181598
0_603,42.25138,-71.8201699
0_604,42.24994,-71.82285
0_605,42.2492799,-71.82404
0_607,42.2476599,-71.8270598
0_608,42.24669,-71.8288001
0_609,42.2454599,-71.8314101
0_611,42.2468799,-71.8282799
0_612,42.2476399,-71.8268901
0_614,42.25139,-71.8199299
0_615,42.2521299,-71.8185501
0_616,42.2533599,-71.8162499
0_617,42.2563499,-71.81071
0_619,42.2588,-71.8061699
0_621,42.26308,-71.8022101
0_3002,42.2664793,-71.7979019
0_637,42.24483,-71.8343601
0_3490,42.2470206,-71.7585565
0_640,42.2457643,-71.8305293
0_641,42.2483499,-71.8255701
0_642,42.2497201,-71.82303
0_643,42.2542899,-71.8147399
0_3004,42.268085,-71.7982812
0_644,42.25545,-71.8124502
0_646,42.25772,-71.8081401
0_647,42.2598599,-71.8047401
0_3056,42.2642281,-71.797898
0_3055,42.266263,-71.798137
0_3054,42.2673279,-71.7983519
0_3053,42.268153,-71.79851
0_242,42.2634065,-71.7968
0_243,42.2617801,-71.80149
0_260,42.2573331,-71.7915625
0_261,42.25653,-71.7899402
0_262,42.2561731,-71.7879699
0_263,42.2558999,-71.7860099
0_264,42.2508529,-71.7796031
0_265,42.2508743,-71.7774298
0_266,42.2501334,-71.7754399
0_267,42.25044,-71.773523
0_268,42.250741,-71.7719978
0_269,42.2505037,-71.7688907
0_271,42.2505213,-71.7650378
0_272,42.2597399,-71.79381
0_273,42.2553278,-71.7850285
0_274,42.2547259,-71.784259
0_275,42.2526925,-71.7828369
0_277,42.2506757,-71.7670421
0_278,42.2486975,-71.7624263
0_279,42.2477025,-71.7614112
0_280,42.2461709,-71.7598859
0_281,42.2441609,-71.757318
0_282,42.2435879,-71.7564131
0_283,42.241316,-71.754196
0_292,42.2415301,-71.7542659
0_293,42.24854,-71.762023
0_294,42.2517301,-71.7820401
0_295,42.2543959,-71.78364
0_296,42.2552309,-71.784633
0_297,42.25728,-71.7910599
0_298,42.2597101,-71.7936598
0_299,42.250686,-71.7685399
0_3530,42.2602099,-71.7951899
0_3103,42.2611099,-71.7998699
0_1182,42.2608199,-71.80386
0_1181,42.2516649,-71.7822127
0_1180,42.245281,-71.7589402
0_516,42.272263,-71.7985101
0_518,42.2737101,-71.7975309
0_519,42.2764429,-71.795323
0_520,42.2776829,-71.7945052
0_521,42.279368,-71.7935581
0_522,42.281568,-71.7926529
0_523,42.2831179,-71.7920479
0_525,42.2860659,-71.7907931
0_526,42.2874809,-71.7891799
0_527,42.2884199,-71.7878129
0_528,42.289381,-71.786421
0_529,42.291328,-71.7821778
0_530,42.2920829,-71.7802059
0_531,42.2929501,-71.7783002
0_532,42.2939987,-71.7758379
0_540,42.2946199,-71.77503
0_541,42.2931115,-71.7781982
0_300,42.250526,-71.7735549
0_542,42.2922411,-71.7801112
0_301,42.2502249,-71.7753109
0_543,42.291606,-71.781955
0_302,42.2510509,-71.778561
0_544,42.2893249,-71.7867401
0_303,42.2510064,-71.779714
0_304,42.2560199,-71.7856801
0_546,42.287553,-71.7892829
0_305,42.2562016,-71.7876305
0_547,42.2856781,-71.7911179
0_548,42.2830079,-71.7921909
0_549,42.2789149,-71.7938681
0_550,42.2759181,-71.7957832
0_551,42.273986,-71.7975649
0_311,42.2436051,-71.7563012
0_553,42.2718961,-71.798835
0_554,42.2813549,-71.7928601
0_555,42.277675,-71.794615
0_315,42.2506046,-71.764928
0_316,42.252688,-71.7826061
0_317,42.250893,-71.772395
0_318,42.2509613,-71.7771044
0_319,42.2564699,-71.7892399
0_566,42.2698149,-71.798581
0_567,42.270951,-71.7985899
0_569,42.270848,-71.7989061
0_570,42.2698001,-71.798883
0_576,42.2447084,-71.8355164
0_596,42.2580701,-71.8076199
0_597,42.25677,-71.8100799
0_599,42.2556501,-71.8122499
0_246,42.2630845,-71.80168
