stop_id,latitude,longitude
456,42.24669,-71.8288
24,42.26178,-71.80149
457,42.24546,-71.83141
445,42.25677,-71.81008
459,42.244708,-71.835516
416,42.25545,-71.81245
448,42.2544,-71.81473
404,42.24483,-71.83436
417,42.25635,-71.81071
442,42.26082,-71.80386
451,42.25138,-71.82017
421,42.25986,-71.80474
409,42.24835,-71.82557
1508,42.26111,-71.79987
450,42.25246,-71.81816
407,42.24688,-71.82828
1503,42.260898,-71.796662
196,42.26308,-71.80221
452,42.24994,-71.82285
447,42.25565,-71.81225
415,42.25429,-71.81474
420,42.2588,-71.80617
453,42.24928,-71.82404
413,42.25213,-71.81855
449,42.25362,-71.81601
444,42.25807,-71.80762
455,42.24766,-71.82706
405,42.245764,-71.830529
414,42.25336,-71.81625
410,42.24972,-71.82303
408,42.24764,-71.82689
419,42.25772,-71.80814
412,42.25139,-71.81993
