stop_id,latitude,longitude
21,42.25971,-71.79366
24,42.26178,-71.80149
28,42.25974,-71.79381
95,42.263406,-71.7968
183,42.285678,-71.791118
184,42.283008,-71.792191
185,42.281355,-71.79286
186,42.278915,-71.793868
187,42.277675,-71.794615
188,42.275918,-71.795783
196,42.26308,-71.80221
203,42.276443,-71.795323
204,42.277683,-71.794505
205,42.279368,-71.793558
206,42.281568,-71.792653
207,42.283118,-71.792048
209,42.286066,-71.790793
342,42.25602,-71.78568
343,42.256202,-71.78763
344,42.25647,-71.78924
345,42.25728,-71.79106
347,42.257333,-71.791563
348,42.25653,-71.78994
349,42.256173,-71.78797
350,42.2559,-71.78601
388,42.29462,-71.77503
404,42.24483,-71.83436
405,42.245764,-71.830529
407,42.24688,-71.82828
408,42.24764,-71.82689
409,42.24835,-71.82557
410,42.24972,-71.82303
412,42.25139,-71.81993
413,42.25213,-71.81855
414,42.25336,-71.81625
415,42.25429,-71.81474
416,42.25545,-71.81245
417,42.25635,-71.81071
419,42.25772,-71.80814
420,42.2588,-71.80617
421,42.25986,-71.80474
442,42.26082,-71.80386
444,42.25807,-71.80762
445,42.25677,-71.81008
447,42.25565,-71.81225
448,42.2544,-71.81473
449,42.25362,-71.81601
450,42.25246,-71.81816
451,42.25138,-71.82017
452,42.24994,-71.82285
453,42.24928,-71.82404
455,42.24766,-71.82706
456,42.24669,-71.8288
457,42.24546,-71.83141
459,42.244708,-71.835516
584,42.25173,-71.78204
604,42.251665,-71.782213
656,42.293111,-71.778198
657,42.292241,-71.780111
658,42.291606,-71.781955
659,42.289325,-71.78674
661,42.287553,-71.789283
662,42.273986,-71.797565
663,42.271896,-71.798835
664,42.270848,-71.798906
665,42.2698,-71.798883
670,42.269815,-71.798581
671,42.270951,-71.79859
672,42.272263,-71.79851
673,42.27371,-71.797531
674,42.287481,-71.78918
675,42.28842,-71.787813
676,42.289381,-71.786421
677,42.291328,-71.782178
678,42.292083,-71.780206
679,42.29295,-71.7783
823,42.293999,-71.775838
1124,42.24153,-71.754266
1125,42.243605,-71.756301
1127,42.245281,-71.75894
1130,42.24854,-71.762023
1131,42.250605,-71.764928
1132,42.250686,-71.76854
1133,42.250893,-71.772395
1134,42.250526,-71.773555
1135,42.250225,-71.775311
1136,42.250961,-71.777104
1137,42.251051,-71.778561
1138,42.251006,-71.779714
1139,42.252688,-71.782606
1140,42.254396,-71.78364
1141,42.255231,-71.784633
1147,42.255328,-71.785029
1148,42.254726,-71.784259
1149,42.252693,-71.782837
1150,42.250853,-71.779603
1151,42.250874,-71.77743
1152,42.250133,-71.77544
1153,42.25044,-71.773523
1154,42.250741,-71.771998
1155,42.250504,-71.768891
1156,42.250676,-71.767042
1158,42.250521,-71.765038
1159,42.248697,-71.762426
1160,42.247703,-71.761411
1161,42.246171,-71.759886
1162,42.244161,-71.757318
1163,42.243588,-71.756413
1164,42.241316,-71.754196
1383,42.268153,-71.79851
1384,42.267328,-71.798352
1385,42.266263,-71.798137
1386,42.264228,-71.797898
1459,42.266479,-71.797902
1461,42.268085,-71.798281
1503,42.260898,-71.796662
1508,42.26111,-71.79987
1612,42.26021,-71.79519
1855,42.247021,-71.758556
