Origin,Destination,Date range: 2024-08-04 - 2024-08-31 Time range: 08:00 - 17:00 Trips,Date range: 2024-08-04 - 2024-08-31 Time range: 08:00 - 17:00 Percent
0_520;0_555_600-800m,0_520;0_555_600-800m,6,0.001
0_520;0_555_600-800m,0_520;0_555_400-600m,2,0
0_520;0_555_600-800m,0_520;0_555_200-400m,0,0
0_520;0_555_600-800m,0_520;0_555_100-200m,0,0
0_520;0_555_600-800m,0_520;0_555_0-100m,1,0
0_520;0_555_600-800m,0_282;0_311_600-800m,0,0
0_520;0_555_600-800m,0_282;0_311_400-600m,0,0
0_520;0_555_600-800m,0_282;0_311_200-400m,0,0
0_520;0_555_600-800m,0_282;0_311_100-200m,0,0
0_520;0_555_600-800m,0_282;0_311_0-100m,0,0
0_520;0_555_600-800m,0_267;0_300_600-800m,0,0
0_520;0_555_600-800m,0_267;0_300_400-600m,0,0
0_520;0_555_600-800m,0_267;0_300_200-400m,0,0
0_520;0_555_600-800m,0_267;0_300_100-200m,0,0
0_520;0_555_600-800m,0_267;0_300_0-100m,0,0
0_520;0_555_600-800m,0_526;0_546_600-800m,0,0
0_520;0_555_600-800m,0_526;0_546_400-600m,0,0
0_520;0_555_600-800m,0_526;0_546_200-400m,1,0
0_520;0_555_600-800m,0_526;0_546_100-200m,0,0
0_520;0_555_600-800m,0_526;0_546_0-100m,2,0
0_520;0_555_600-800m,0_600;0_643_600-800m,0,0
0_520;0_555_600-800m,0_600;0_643_400-600m,0,0
0_520;0_555_600-800m,0_600;0_643_200-400m,0,0
0_520;0_555_600-800m,0_600;0_643_100-200m,0,0
0_520;0_555_600-800m,0_600;0_643_0-100m,0,0
0_520;0_555_600-800m,0_272;0_298_600-800m,1,0
0_520;0_555_600-800m,0_272;0_298_400-600m,0,0
0_520;0_555_600-800m,0_272;0_298_200-400m,0,0
0_520;0_555_600-800m,0_272;0_298_100-200m,1,0
0_520;0_555_600-800m,0_272;0_298_0-100m,0,0
0_520;0_555_600-800m,0_271;0_315_600-800m,0,0
0_520;0_555_600-800m,0_271;0_315_400-600m,0,0
0_520;0_555_600-800m,0_271;0_315_200-400m,0,0
0_520;0_555_600-800m,0_271;0_315_100-200m,0,0
0_520;0_555_600-800m,0_271;0_315_0-100m,0,0
0_520;0_555_600-800m,0_607;0_612_600-800m,0,0
0_520;0_555_600-800m,0_607;0_612_400-600m,0,0
0_520;0_555_600-800m,0_607;0_612_200-400m,0,0
0_520;0_555_600-800m,0_607;0_612_100-200m,0,0
0_520;0_555_600-800m,0_607;0_612_0-100m,0,0
0_520;0_555_600-800m,0_266;0_301_600-800m,0,0
0_520;0_555_600-800m,0_266;0_301_400-600m,0,0
0_520;0_555_600-800m,0_266;0_301_200-400m,1,0
0_520;0_555_600-800m,0_266;0_301_100-200m,0,0
0_520;0_555_600-800m,0_266;0_301_0-100m,0,0
0_520;0_555_600-800m,0_294;0_1181_600-800m,1,0
0_520;0_555_600-800m,0_294;0_1181_400-600m,0,0
