service_id,date,exception_type
1,20240902,2
1,20241024,2
1,20241128,2
1,20241225,2
1,20250101,2
1,20250120,2
2,20240826,2
2,20240829,2
2,20240830,2
2,20240902,2
2,20240905,2
2,20240906,2
2,20240909,2
2,20240912,2
2,20240913,2
2,20240916,2
2,20240919,2
2,20240920,2
2,20240923,2
2,20240926,2
2,20240927,2
2,20240930,2
2,20241003,2
2,20241004,2
2,20241007,2
2,20241010,2
2,20241011,2
2,20241014,2
2,20241017,2
2,20241018,2
2,20241021,2
2,20241024,1
2,20241025,2
2,20241028,2
2,20241031,2
2,20241101,2
2,20241104,2
2,20241107,2
2,20241108,2
2,20241111,2
2,20241114,2
2,20241115,2
2,20241118,2
2,20241121,2
2,20241122,2
2,20241125,2
2,20241128,2
2,20241129,1
2,20241202,2
2,20241205,2
2,20241206,2
2,20241209,2
2,20241212,2
2,20241213,2
2,20241216,2
2,20241219,2
2,20241220,2
2,20241223,2
2,20241226,2
2,20241227,2
2,20241230,2
2,20250102,2
2,20250103,2
2,20250106,2
2,20250109,2
2,20250110,2
2,20250113,2
2,20250116,2
2,20250117,2
2,20250120,1
2,20250123,2
2,20250124,2
3,20241129,2
