trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2055060,1,3,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672306,shp-1-03,0,0
2235060,1,3,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672206,shp-1-03,0,0
2048020,1,1,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672202,shp-1-03,0,0
1967010,1,5,"ROUTE 146 + WALMART >> HUB CENTER",,1,2669401,shp-1-03,0,0
1375070,1,4,"ROUTE 146 + WALMART >> HUB CENTER",,1,2668007,shp-1-03,0,0
694060,1,3,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672306,shp-1-03,0,0
1913020,1,1,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672202,shp-1-03,0,0
44020,1,1,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672302,shp-1-03,0,0
185060,1,3,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672306,shp-1-03,0,0
677090,1,2,"ROUTE 146 + WALMART >> HUB CENTER",,1,2676109,shp-1-03,0,0
1103020,1,1,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672202,shp-1-03,0,0
1785090,1,2,"ROUTE 146 + WALMART >> HUB CENTER",,1,2676109,shp-1-03,0,0
1561060,1,3,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672206,shp-1-03,0,0
185020,1,1,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672302,shp-1-03,0,0
1775090,1,2,"ROUTE 146 + WALMART >> HUB CENTER",,1,2676109,shp-1-03,0,0
841090,1,2,"ROUTE 146 + WALMART >> HUB CENTER",,1,2676109,shp-1-03,0,0
1899010,1,5,"ROUTE 146 + WALMART >> HUB CENTER",,1,2669401,shp-1-03,0,0
1485060,1,3,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672306,shp-1-03,0,0
1456060,1,3,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672306,shp-1-03,0,0
1274060,1,3,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672206,shp-1-03,0,0
634020,1,1,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672302,shp-1-03,0,0
1446010,1,5,"ROUTE 146 + WALMART >> HUB CENTER",,1,2669401,shp-1-03,0,0
1830020,1,1,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672302,shp-1-03,0,0
507090,1,2,"ROUTE 146 + WALMART >> HUB CENTER",,1,2676209,shp-1-03,0,0
755010,1,5,"ROUTE 146 + WALMART >> HUB CENTER",,1,2669401,shp-1-03,0,0
540070,1,4,"ROUTE 146 + WALMART >> HUB CENTER",,1,2668007,shp-1-03,0,0
791010,1,5,"ROUTE 146 + WALMART >> HUB CENTER",,1,2669401,shp-1-03,0,0
160010,1,5,"ROUTE 146 + WALMART >> HUB CENTER",,1,2669401,shp-1-03,0,0
1741070,1,4,"ROUTE 146 + WALMART >> HUB CENTER",,1,2667907,shp-1-03,0,0
2048060,1,3,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672206,shp-1-03,0,0
2055020,1,1,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672302,shp-1-03,0,0
1593060,1,3,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672206,shp-1-03,0,0
1593020,1,1,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672202,shp-1-03,0,0
2068060,1,3,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672306,shp-1-03,0,0
729020,1,1,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672302,shp-1-03,0,0
2119090,1,2,"ROUTE 146 + WALMART >> HUB CENTER",,1,2676109,shp-1-03,0,0
1659060,1,3,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672306,shp-1-03,0,0
1170010,1,5,"ROUTE 146 + WALMART >> HUB CENTER",,1,2669401,shp-1-03,0,0
1659020,1,1,"ROUTE 146 + WALMART >> HUB CENTER",,1,2672302,shp-1-03,0,0
