stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
4,380,Grove St at Glennie,,42.284398,-71.807561,,,,,,0
5,381,Grove and Sagamore,,42.28226,-71.806275,,,,,,0
18,902,PROVIDENCE ST + AETNA ST,,42.25318,-71.79265,,,,,,0
21,298,Grafton St + Franklin St,,42.25971,-71.79366,,,,,,0
24,243,Franklin St + City Hall,,42.26178,-71.80149,,,,,,0
25,246,Front St + City Hall,,42.26318,-71.80176,,,,,,0
28,272,Grafton St +Temple St,,42.25974,-71.79381,,,,,,0
31,888,PROVIDENCE ST + JEFFERSON ST,,42.25341,-71.79275,,,,,,0
32,889,PROVIDENCE ST + PATTISON ST,,42.25231,-71.79267,,,,,,0
37,894,PROVIDENCE ST + 133 PROVIDENCE ST,,42.24661,-71.79193,,,,,,0
45,353,Fair Plaza Shelter,,42.214056,-71.795848,,,,,,0
46,354,Greenwood St at Arnold,,42.21513,-71.795895,,,,,,0
47,356,Greenwood St at 327 Greenwood,,42.216958,-71.796293,,,,,,0
48,357,Greenwood St at Ryberg,,42.2185,-71.796626,,,,,,0
49,358,Greenwood St at Conway,,42.219406,-71.796612,,,,,,0
50,359,Greenwood St at Southold,,42.220645,-71.796658,,,,,,0
53,1187,Spofford Rd at Broughton,,42.220974,-71.799507,,,,,,0
54,1039,Upland Garden Dr at 48 Upland Garden,,42.220622,-71.803364,,,,,,0
55,1040,Upland Garden Dr at 36 Upland Garden,,42.221551,-71.803588,,,,,,0
56,1041,Upland Garden Dr at 22 Upland Garden,,42.22255,-71.804006,,,,,,0
57,1042,Upland Garden Dr at 10 Upland Garden,,42.223268,-71.80478,,,,,,0
58,1043,Upland St at 65 Upland,,42.224131,-71.802758,,,,,,0
59,1044,Upland St at Harwich,,42.223646,-71.800826,,,,,,0
60,1046,Upland St at Mallard,,42.223311,-71.799616,,,,,,0
61,1045,Upland St at Emmanuel,,42.223544,-71.797239,,,,,,0
63,362,Greenwood St at 187 Greenwood,,42.224454,-71.795171,,,,,,0
64,363,Greenwood St at Forsberg,,42.226046,-71.793634,,,,,,0
