trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1059060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
100070,1,5,ROUTE 146 + WALMART >> HUB CENTER,,1,104,shp-1-03,0,0
10020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
10060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
115090,1,3,ROUTE 146 + WALMART >> HUB CENTER,,1,104,shp-1-03,0,0
1151060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
1100070,1,5,ROUTE 146 + WALMART >> HUB CENTER,,1,106,shp-1-03,0,0
1101070,1,5,ROUTE 146 + WALMART >> HUB CENTER,,1,106,shp-1-03,0,0
118060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
1201060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
1302070,1,5,ROUTE 146 + WALMART >> HUB CENTER,,1,106,shp-1-03,0,0
1359010,1,2,ROUTE 146 + WALMART >> HUB CENTER,,1,4,shp-1-03,0,0
1468060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
1550010,1,2,ROUTE 146 + WALMART >> HUB CENTER,,1,4,shp-1-03,0,0
1667060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
1672060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
1667020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
1799020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
1059020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
1696010,1,2,ROUTE 146 + WALMART >> HUB CENTER,,1,4,shp-1-03,0,0
1151020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
2051070,1,5,ROUTE 146 + WALMART >> HUB CENTER,,1,106,shp-1-03,0,0
1282020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
1282060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
1284020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
1301010,1,2,ROUTE 146 + WALMART >> HUB CENTER,,1,4,shp-1-03,0,0
2224070,1,5,ROUTE 146 + WALMART >> HUB CENTER,,1,104,shp-1-03,0,0
2216090,1,3,ROUTE 146 + WALMART >> HUB CENTER,,1,106,shp-1-03,0,0
229090,1,3,ROUTE 146 + WALMART >> HUB CENTER,,1,104,shp-1-03,0,0
2333020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
2333060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
357090,1,3,ROUTE 146 + WALMART >> HUB CENTER,,1,104,shp-1-03,0,0
1440010,1,2,ROUTE 146 + WALMART >> HUB CENTER,,1,4,shp-1-03,0,0
1483070,1,5,ROUTE 146 + WALMART >> HUB CENTER,,1,106,shp-1-03,0,0
272070,1,5,ROUTE 146 + WALMART >> HUB CENTER,,1,104,shp-1-03,0,0
1502020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
1502060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
491020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
495020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
655020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
655060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
546020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
1672020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
746020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
941060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
118020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
1201020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
987090,1,3,ROUTE 146 + WALMART >> HUB CENTER,,1,104,shp-1-03,0,0
2016020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
1284060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
1468020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
1572090,1,3,ROUTE 146 + WALMART >> HUB CENTER,,1,106,shp-1-03,0,0
1587090,1,3,ROUTE 146 + WALMART >> HUB CENTER,,1,106,shp-1-03,0,0
1611070,1,5,ROUTE 146 + WALMART >> HUB CENTER,,1,106,shp-1-03,0,0
1799060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
1936090,1,3,ROUTE 146 + WALMART >> HUB CENTER,,1,106,shp-1-03,0,0
1945010,1,2,ROUTE 146 + WALMART >> HUB CENTER,,1,4,shp-1-03,0,0
2016060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
2018090,1,3,ROUTE 146 + WALMART >> HUB CENTER,,1,106,shp-1-03,0,0
206010,1,2,ROUTE 146 + WALMART >> HUB CENTER,,1,4,shp-1-03,0,0
2341020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
2341060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
31010,1,2,ROUTE 146 + WALMART >> HUB CENTER,,1,4,shp-1-03,0,0
320090,1,3,ROUTE 146 + WALMART >> HUB CENTER,,1,104,shp-1-03,0,0
351070,1,5,ROUTE 146 + WALMART >> HUB CENTER,,1,104,shp-1-03,0,0
427060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
491060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
525090,1,3,ROUTE 146 + WALMART >> HUB CENTER,,1,106,shp-1-03,0,0
546060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,111,shp-1-03,0,0
682010,1,2,ROUTE 146 + WALMART >> HUB CENTER,,1,4,shp-1-03,0,0
746060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
427020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
46070,1,5,ROUTE 146 + WALMART >> HUB CENTER,,1,104,shp-1-03,0,0
495060,1,1,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
941020,1,4,ROUTE 146 + WALMART >> HUB CENTER,,1,117,shp-1-03,0,0
915070,1,5,ROUTE 146 + WALMART,,0,104,shp-1-52,0,0
868020,1,4,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
868060,1,1,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
9020,1,4,ROUTE 146 + WALMART,,0,111,shp-1-52,0,0
981010,1,2,ROUTE 146 + WALMART,,0,4,shp-1-52,0,0
492060,1,1,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
573020,1,4,ROUTE 146 + WALMART,,0,111,shp-1-52,0,0
573060,1,1,ROUTE 146 + WALMART,,0,111,shp-1-52,0,0
612070,1,5,ROUTE 146 + WALMART,,0,106,shp-1-52,0,0
881060,1,1,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
9060,1,1,ROUTE 146 + WALMART,,0,111,shp-1-52,0,0
917090,1,3,ROUTE 146 + WALMART,,0,106,shp-1-52,0,0
544020,1,4,ROUTE 146 + WALMART,,0,111,shp-1-52,0,0
596090,1,3,ROUTE 146 + WALMART,,0,106,shp-1-52,0,0
461070,1,5,ROUTE 146 + WALMART,,0,104,shp-1-52,0,0
366060,1,1,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
366020,1,4,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
2289090,1,3,ROUTE 146 + WALMART,,0,106,shp-1-52,0,0
22060,1,1,ROUTE 146 + WALMART,,0,111,shp-1-52,0,0
2053060,1,1,ROUTE 146 + WALMART,,0,111,shp-1-52,0,0
2058060,1,1,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
2078010,1,2,ROUTE 146 + WALMART,,0,4,shp-1-52,0,0
1965020,1,4,ROUTE 146 + WALMART,,0,111,shp-1-52,0,0
1813070,1,5,ROUTE 146 + WALMART,,0,104,shp-1-52,0,0
2205010,1,2,ROUTE 146 + WALMART,,0,4,shp-1-52,0,0
201070,1,5,ROUTE 146 + WALMART,,0,104,shp-1-52,0,0
2053020,1,4,ROUTE 146 + WALMART,,0,111,shp-1-52,0,0
991060,1,1,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
998020,1,4,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
998060,1,1,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
991020,1,4,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
905020,1,4,ROUTE 146 + WALMART,,0,111,shp-1-52,0,0
1819060,1,1,ROUTE 146 + WALMART,,0,111,shp-1-52,0,0
795010,1,2,ROUTE 146 + WALMART,,0,4,shp-1-52,0,0
820020,1,4,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
820060,1,1,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
905060,1,1,ROUTE 146 + WALMART,,0,111,shp-1-52,0,0
843070,1,5,ROUTE 146 + WALMART,,0,106,shp-1-52,0,0
849090,1,3,ROUTE 146 + WALMART,,0,106,shp-1-52,0,0
881020,1,4,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
893070,1,5,ROUTE 146 + WALMART,,0,104,shp-1-52,0,0
563090,1,3,ROUTE 146 + WALMART,,0,104,shp-1-52,0,0
1617070,1,5,ROUTE 146 + WALMART,,0,106,shp-1-52,0,0
652090,1,3,ROUTE 146 + WALMART,,0,104,shp-1-52,0,0
1604060,1,1,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
57090,1,3,ROUTE 146 + WALMART,,0,106,shp-1-52,0,0
544060,1,1,ROUTE 146 + WALMART,,0,111,shp-1-52,0,0
492020,1,4,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
475090,1,3,ROUTE 146 + WALMART,,0,104,shp-1-52,0,0
1541060,1,1,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
242020,1,4,ROUTE 146 + WALMART,,0,111,shp-1-52,0,0
242060,1,1,ROUTE 146 + WALMART,,0,111,shp-1-52,0,0
1436020,1,4,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
1436060,1,1,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
2265010,1,2,ROUTE 146 + WALMART,,0,4,shp-1-52,0,0
325090,1,3,ROUTE 146 + WALMART,,0,104,shp-1-52,0,0
329010,1,2,ROUTE 146 + WALMART,,0,4,shp-1-52,0,0
22020,1,4,ROUTE 146 + WALMART,,0,111,shp-1-52,0,0
2058020,1,4,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
1927010,1,2,ROUTE 146 + WALMART,,0,4,shp-1-52,0,0
1965060,1,1,ROUTE 146 + WALMART,,0,111,shp-1-52,0,0
1989020,1,4,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
1989060,1,1,ROUTE 146 + WALMART,,0,117,shp-1-52,0,0
1795070,1,5,ROUTE 146 + WALMART,,0,106,shp-1-52,0,0
1819020,1,4,ROUTE 146 + WALMART,,0,111,shp-1-52,0,0
182010,1,2,ROUTE 146 + WALMART,,0,4,shp-1-52,0,0
1653090,1,3,ROUTE 146 + WALMART,,0,104,shp-1-52,0,0
