stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding,vehicle_type
0_1028,1028,Tacoma St + Constitution Ave,,42.3072001,-71.7745102,,0,1_1028,,3
0_90,90,Burncoat St at Devens,,42.305713,-71.78933,,0,1_90,,3
0_93,93,Burncoat St at Monterey,,42.3030501,-71.789608,,0,1_93,,3
0_94,94,Burncoat St at Thorndyke,,42.3022401,-71.7895759,,0,1_94,,3
0_96,96,Burncoat St at Rexame,,42.2999111,-71.7894981,,0,1_96,,3
0_97,97,Burncoat High School,,42.2990611,-71.7896081,,0,1_BctHig,,3
0_98,98,Burncoat St at Randolph,,42.2965731,-71.7898398,,0,1_98,,3
0_9113,9113,North St & Optical Dr,Comment,42.0758,-72.0248499,,0,1_NOpDr,,3
0_99,99,Burncoat St at Clearview,,42.295978,-71.7899751,,0,1_99,,3
0_9111,9111,Southbdridge Big Y Plaza,Comment,42.0697601,-72.00901,,0,1_BgYPla,,3
0_9115,9115,Southbridge Harrington Hosp.,Comment,42.0786601,-72.0423898,,0,1_SHaHos,,3
0_9110,9110,JP-Dudley Housing Authority,Comment,42.0395301,-71.9115499,,0,1_DudHou,,3
0_9108,9108,Dudley Dist Court,Comment,42.03439,-71.9232499,,0,1_DDCor,,3
0_8035,8035,W Main St at Dewey,,42.2345051,-72.0120359,,0,1_8035,,3
0_8045,8045,Spencer Town Hall,,42.2442251,-71.9921611,,0,1_8045,,3
0_8050,8050,David Prouty High,,42.250893,-71.9781749,,0,1_8050,,3
0_3609,3609,Park Ave + Beaver Brook Pkway,Comment,42.2501901,-71.8310598,,0,1_LksidB,,3
0_3608,3608,Park Ave + Parker St,,42.2588599,-71.82214,,0,1_3608,,3
0_3607,3607,Park Ave + Chandler St,,42.2612301,-71.82089,,0,1_3607,,3
0_3606,3606,Park Ave Opp Townsend St,,42.2647499,-71.8191299,,0,1_3606,,3
0_3614,3614,Park Ave + Parker St,,42.2590399,-71.82192,,0,1_3614,,3
0_3613,3613,Park Ave + Chandler St,,42.26123,-71.8207599,,0,1_3613,,3
0_3612,3612,Park Ave + Townsend St,,42.2648099,-71.81899,,0,1_3612,,3
0_3610,3610,Park Ave + Mill St,,42.24705,-71.8340399,,0,1_3610,,3
0_3619,3619,Cambridge St. + Price Chopper,,42.2440599,-71.8289799,,0,1_3619,,3
0_3618,3618,Cambridge + Main,Comment,42.2447899,-71.8310199,,0,1_CamMai,,3
0_3617,3617,661 Park Ave (meinke),,42.2450801,-71.8358999,,0,1_3617,,3
0_3616,3616,Park Ave + Mill St,,42.2468799,-71.8339702,,0,1_3616,,3
0_1206,1206,North Lake + 425 North Lake,,42.2943499,-71.75876,,0,1_1206,,3
0_1205,1205,Plantation St + Notre Dame,,42.28787,-71.7620099,,0,1_1205,,3
0_1204,1204,Plantation St + North Rd,,42.27864,-71.7650398,,0,1_1204,,3
0_3624,3624,Blythewood St at Blyethwood,,42.236243,-71.7645158,,0,1_3624,,3
0_1203,1203,Plantation St+ North Rd,,42.27915,-71.7649501,,0,1_1203,,3
0_3623,3623,Cambridge + Main,Comment,42.2447399,-71.8307099,,0,1_CamMai,,3
0_3622,3622,Cambridge St + Salvation Army,,42.24401,-71.8283799,,0,1_3622,,3
