stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1124,42.24153,-71.754266,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:32:28,05:32:28
2,1125,42.243605,-71.756301,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.052632,0.000000,1.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:33:01,05:33:01
3,1127,42.245281,-71.75894,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:33:37,05:33:37
4,1855,42.247021,-71.758556,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:34:13,05:34:13
5,1130,42.24854,-71.762023,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.052632,0.000000,1.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:35:00,05:35:00
6,1131,42.250605,-71.764928,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.210526,0.052632,4.000000,1.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:35:45,05:35:45
7,1132,42.250686,-71.76854,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.052632,0.000000,1.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:36:32,05:36:32
8,1133,42.250893,-71.772395,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.315789,0.000000,6.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:37:40,05:37:40
9,1134,42.250526,-71.773555,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.105263,0.000000,2.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:38:01,05:38:01
10,1135,42.250225,-71.775311,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.105263,0.000000,2.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:38:37,05:38:37
