stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1124,42.24153,-71.754266,Blue,inbound,1,AM Peak,06:00:00,08:59:59,5;12,ok,2,153,0.117647,0.026144,18.000000,4.000000,ok,27,142,5.259259,115,30.590725,765.099798,27.800784,06:32:28,08:45:06
2,1125,42.243605,-71.756301,Blue,inbound,1,AM Peak,06:00:00,08:59:59,5;12,ok,2,153,0.411765,0.000000,63.000000,0.000000,ok,27,142,5.259259,115,30.606667,765.939477,27.815958,06:33:01,08:45:44
3,1127,42.245281,-71.75894,Blue,inbound,1,AM Peak,06:00:00,08:59:59,5;12,ok,2,153,0.026144,0.013072,4.000000,2.000000,ok,27,142,5.259259,115,30.622609,766.786619,27.831247,06:33:37,08:46:25
4,1855,42.247021,-71.758556,Blue,inbound,1,AM Peak,06:00:00,08:59:59,5;12,ok,2,153,0.470588,0.032680,72.000000,5.000000,ok,27,142,5.259259,115,30.638551,767.641224,27.846650,06:34:13,08:47:06
5,1130,42.24854,-71.762023,Blue,inbound,1,AM Peak,06:00:00,08:59:59,5;12,ok,2,153,0.130719,0.006536,20.000000,1.000000,ok,27,142,5.259259,115,30.660870,768.850208,27.868406,06:35:00,08:48:00
6,1131,42.250605,-71.764928,Blue,inbound,1,AM Peak,06:00:00,08:59:59,5;12,ok,2,153,0.248366,0.013072,38.000000,2.000000,ok,27,142,5.259259,115,30.680000,768.771687,27.868874,06:35:45,08:48:51
7,1132,42.250686,-71.76854,Blue,inbound,1,AM Peak,06:00:00,08:59:59,5;12,ok,2,153,0.156863,0.098039,24.000000,15.000000,ok,27,142,5.259259,115,30.699130,768.697999,27.869431,06:36:32,08:49:44
8,1133,42.250893,-71.772395,Blue,inbound,1,AM Peak,06:00:00,08:59:59,5;12,ok,2,153,0.267974,0.091503,41.000000,14.000000,ok,27,142,5.259259,115,30.724638,768.607267,27.870314,06:37:40,08:51:00
9,1134,42.250526,-71.773555,Blue,inbound,1,AM Peak,06:00:00,08:59:59,5;12,ok,2,153,0.013072,0.000000,2.000000,0.000000,ok,27,142,5.259259,115,30.734203,768.575458,27.870687,06:38:01,08:51:24
10,1135,42.250225,-71.775311,Blue,inbound,1,AM Peak,06:00:00,08:59:59,5;12,ok,2,153,0.039216,0.000000,6.000000,0.000000,ok,27,142,5.259259,115,30.746957,768.534926,27.871218,06:38:37,08:52:04
11,1136,42.250961,-71.777104,Blue,inbound,1,AM Peak,06:00:00,08:59:59,5;12,ok,2,153,0.019608,0.000000,3.000000,0.000000,ok,27,142,5.259259,115,30.762899,768.487280,27.871938,06:39:12,08:52:44
12,1137,42.251051,-71.778561,Blue,inbound,1,AM Peak,06:00:00,08:59:59,5;12,ok,2,153,0.627451,0.071895,96.000000,11.000000,ok,27,142,5.259259,115,30.772464,768.460305,27.872400,06:39:36,08:53:11
13,1138,42.251006,-71.779714,Blue,inbound,1,AM Peak,06:00:00,08:59:59,5;12,ok,2,153,0.019608,0.013072,3.000000,2.000000,ok,27,142,5.259259,115,30.778841,768.442992,27.872720,06:39:54,08:53:31
14,584,42.25173,-71.78204,Blue,inbound,1,AM Peak,06:00:00,08:59:59,5;12,ok,2,153,0.738562,0.032680,113.000000,5.000000,ok,27,142,5.259259,115,30.797971,768.394276,27.873740,06:40:37,08:54:20
15,1139,42.252688,-71.782606,Blue,inbound,1,AM Peak,06:00:00,08:59:59,5;12,ok,2,153,0.006536,0.019608,1.000000,3.000000,ok,27,142,5.259259,115,30.804348,768.379112,27.874100,06:40:59,08:54:44
16,1140,42.254396,-71.78364,Blue,inbound,1,AM Peak,06:00:00,08:59:59,5;12,ok,2,153,1.006536,0.032680,154.000000,5.000000,ok,27,142,5.259259,115,30.813913,768.357372,27.874659,06:41:27,08:55:15
