stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1124,42.24153,-71.754266,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,2,322,0.118012,0.059006,38.000000,19.000000,ok,31,363,11.709677,332,30.562550,319.655169,20.510799,09:01:28,14:55:06
2,1125,42.243605,-71.756301,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,2,322,0.602484,0.024845,194.000000,8.000000,ok,31,363,11.709677,332,30.570080,319.592047,20.512243,09:02:01,14:55:44
3,1127,42.245281,-71.75894,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,2,322,0.000000,0.006211,0.000000,2.000000,ok,31,363,11.709677,332,30.577861,319.364561,20.511084,09:02:37,14:56:25
4,1855,42.247021,-71.758556,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,2,322,2.565217,0.217391,826.000000,70.000000,ok,31,363,11.709677,332,30.585643,319.404876,20.514305,09:03:13,14:57:06
5,1130,42.24854,-71.762023,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,2,322,0.360248,0.021739,116.000000,7.000000,ok,31,363,11.709677,332,30.596386,319.222638,20.514865,09:04:00,14:58:00
6,1131,42.250605,-71.764928,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,2,322,0.127329,0.021739,41.000000,7.000000,ok,31,363,11.709677,332,30.600653,319.427423,20.519617,09:04:51,14:58:51
7,1132,42.250686,-71.76854,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,2,322,0.322981,0.062112,104.000000,20.000000,ok,31,363,11.709677,332,30.605171,319.931932,20.529348,09:05:44,14:59:44
8,1133,42.250893,-71.772395,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,2,322,0.251553,0.093168,81.000000,30.000000,ok,31,341,11.000000,310,31.449462,332.883432,21.017086,09:07:00,14:44:40
9,1134,42.250526,-71.773555,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,2,322,0.086957,0.046584,28.000000,15.000000,ok,31,341,11.000000,310,31.451613,333.302229,21.024457,09:07:24,14:45:01
10,1135,42.250225,-71.775311,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,2,322,0.111801,0.043478,36.000000,14.000000,ok,31,341,11.000000,310,31.454301,333.960403,21.035811,09:08:04,14:45:37
11,1136,42.250961,-71.777104,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,2,322,0.062112,0.062112,20.000000,20.000000,ok,31,341,11.000000,310,31.459946,334.456841,21.045571,09:08:44,14:46:12
12,1137,42.251051,-71.778561,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,2,322,0.602484,0.478261,194.000000,154.000000,ok,31,341,11.000000,310,31.464247,334.696271,21.050800,09:09:11,14:46:36
13,1138,42.251006,-71.779714,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,2,322,0.055901,0.052795,18.000000,17.000000,ok,31,341,11.000000,310,31.465591,335.032562,21.056588,09:09:31,14:46:54
14,584,42.25173,-71.78204,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,2,322,0.649068,0.183230,209.000000,59.000000,ok,31,341,11.000000,310,31.474462,335.458161,21.066284,09:10:20,14:47:37
15,1139,42.252688,-71.782606,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,2,322,0.018634,0.099379,6.000000,32.000000,ok,31,341,11.000000,310,31.475806,335.821995,21.072508,09:10:44,14:47:59
16,1140,42.254396,-71.78364,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,2,322,0.204969,0.161491,66.000000,52.000000,ok,31,341,11.000000,310,31.479839,336.128469,21.078709,09:11:15,14:48:27
17,1141,42.255231,-71.784633,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,3,322,0.031056,0.043478,10.000000,14.000000,ok,31,341,11.000000,310,31.482527,336.502119,21.085531,09:11:37,14:48:46
18,342,42.25602,-71.78568,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,3,335,1.014925,0.710448,340.000000,238.000000,ok,31,353,11.387097,322,29.968944,291.781644,19.852539,09:13:00,14:50:00
19,343,42.256202,-71.78763,Blue,inbound,1,Midday,09:00:00,14:59:59,5;12,ok,3,335,1.322388,0.304478,443.000000,102.000000,ok,31,353,11.387097,322,29.970238,291.835273,19.853870,09:13:37,14:50:53
