stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1124,42.24153,-71.754266,Blue,inbound,1,PM Late,18:00:00,21:59:59,5;12,ok,2,160,0.075000,0.043750,12.000000,7.000000,ok,27,181,6.703704,154,23.037879,323.696927,18.544259,18:15:06,21:07:28
2,1125,42.243605,-71.756301,Blue,inbound,1,PM Late,18:00:00,21:59:59,5;12,ok,2,160,0.181250,0.000000,29.000000,0.000000,ok,27,181,6.703704,154,23.011255,325.332662,18.574618,18:15:44,21:08:01
3,1127,42.245281,-71.75894,Blue,inbound,1,PM Late,18:00:00,21:59:59,5;12,ok,2,160,0.006250,0.006250,1.000000,1.000000,ok,27,181,6.703704,154,22.982792,327.134947,18.608350,18:16:25,21:08:37
4,1855,42.247021,-71.758556,Blue,inbound,1,PM Late,18:00:00,21:59:59,5;12,ok,2,160,1.218750,0.056250,195.000000,9.000000,ok,27,186,6.888889,159,25.559015,527.567214,23.100078,18:17:06,21:09:13
5,1130,42.24854,-71.762023,Blue,inbound,1,PM Late,18:00:00,21:59:59,5;12,ok,2,160,0.275000,0.000000,44.000000,0.000000,ok,27,186,6.888889,159,25.528302,531.255488,23.169377,18:18:00,21:10:00
6,1131,42.250605,-71.764928,Blue,inbound,1,PM Late,18:00:00,21:59:59,5;12,ok,2,160,0.068750,0.012500,11.000000,2.000000,ok,27,186,6.888889,159,25.511845,531.182506,23.166430,18:18:51,21:10:45
7,1132,42.250686,-71.76854,Blue,inbound,1,PM Late,18:00:00,21:59:59,5;12,ok,2,160,0.137500,0.012500,22.000000,2.000000,ok,27,186,6.888889,159,25.494864,530.991261,23.161123,18:19:44,21:11:32
8,1133,42.250893,-71.772395,Blue,inbound,1,PM Late,18:00:00,21:59:59,5;12,ok,2,160,0.012500,0.018750,2.000000,3.000000,ok,27,186,6.888889,159,25.471698,530.686655,23.153032,18:21:00,21:12:40
9,1134,42.250526,-71.773555,Blue,inbound,1,PM Late,18:00:00,21:59:59,5;12,ok,2,160,0.018750,0.000000,3.000000,0.000000,ok,27,186,6.888889,159,25.463732,530.690470,23.152382,18:21:24,21:13:01
10,1135,42.250225,-71.775311,Blue,inbound,1,PM Late,18:00:00,21:59:59,5;12,ok,2,160,0.025000,0.006250,4.000000,1.000000,ok,27,186,6.888889,159,25.451887,530.501569,23.147598,18:22:04,21:13:37
11,1136,42.250961,-71.777104,Blue,inbound,1,PM Late,18:00:00,21:59:59,5;12,ok,2,160,0.000000,0.031250,0.000000,5.000000,ok,27,186,6.888889,159,25.438260,530.457706,23.145506,18:22:44,21:14:12
12,1137,42.251051,-71.778561,Blue,inbound,1,PM Late,18:00:00,21:59:59,5;12,ok,2,160,0.268750,0.150000,43.000000,24.000000,ok,27,186,6.888889,159,25.429769,530.400885,23.143624,18:23:11,21:14:36
13,1138,42.251006,-71.779714,Blue,inbound,1,PM Late,18:00:00,21:59:59,5;12,ok,2,160,0.018750,0.062500,3.000000,10.000000,ok,27,186,6.888889,159,25.423585,530.267751,23.140451,18:23:31,21:14:54
14,584,42.25173,-71.78204,Blue,inbound,1,PM Late,18:00:00,21:59:59,5;12,ok,2,160,0.062500,0.175000,10.000000,28.000000,ok,27,186,6.888889,159,25.407128,530.207199,23.137785,18:24:20,21:15:37
15,1139,42.252688,-71.782606,Blue,inbound,1,PM Late,18:00:00,21:59:59,5;12,ok,2,160,0.006250,0.093750,1.000000,15.000000,ok,27,186,6.888889,159,25.400943,530.058977,23.134316,18:24:44,21:15:59
