stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1124,42.24153,-71.754266,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
2,1125,42.243605,-71.756301,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
3,1127,42.245281,-71.75894,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
4,1855,42.247021,-71.758556,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
5,1130,42.24854,-71.762023,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
6,1131,42.250605,-71.764928,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
7,1132,42.250686,-71.76854,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
8,1133,42.250893,-71.772395,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
9,1134,42.250526,-71.773555,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
10,1135,42.250225,-71.775311,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
11,1136,42.250961,-71.777104,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
12,1137,42.251051,-71.778561,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
13,1138,42.251006,-71.779714,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
14,584,42.25173,-71.78204,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
15,1139,42.252688,-71.782606,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
16,1140,42.254396,-71.78364,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
17,1141,42.255231,-71.784633,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
18,342,42.25602,-71.78568,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
19,343,42.256202,-71.78763,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
20,344,42.25647,-71.78924,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
21,345,42.25728,-71.79106,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
22,21,42.25971,-71.79366,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
23,1612,42.26021,-71.79519,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
24,1503,42.260898,-71.796662,Blue,inbound,1,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
