stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1124,42.24153,-71.754266,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,2,137,0.321168,0.036496,44.000000,5.000000,ok,31,150,4.838710,119,27.369888,281.926593,18.835250,15:31:28,17:39:28
2,1125,42.243605,-71.756301,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,2,137,0.525547,0.036496,72.000000,5.000000,ok,31,150,4.838710,119,27.381793,280.912218,18.820440,15:32:01,17:40:01
3,1127,42.245281,-71.75894,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,2,137,0.000000,0.000000,0.000000,0.000000,ok,31,150,4.838710,119,27.388796,279.994123,18.805870,15:32:37,17:40:37
4,1855,42.247021,-71.758556,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,2,141,2.865248,0.248227,404.000000,35.000000,ok,31,154,4.967742,123,27.891734,276.847775,18.908767,15:33:13,17:41:13
5,1130,42.24854,-71.762023,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,2,141,0.517730,0.000000,73.000000,0.000000,ok,31,154,4.967742,123,27.889973,275.127226,18.877355,15:34:00,17:42:00
6,1131,42.250605,-71.764928,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,2,141,0.035461,0.028369,5.000000,4.000000,ok,31,154,4.967742,123,27.869648,274.864119,18.866069,15:34:51,17:42:56
7,1132,42.250686,-71.76854,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,2,141,0.702128,0.156028,99.000000,22.000000,ok,31,154,4.967742,123,27.859621,274.245524,18.851728,15:35:44,17:43:56
8,1133,42.250893,-71.772395,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,2,141,0.092199,0.141844,13.000000,20.000000,ok,31,176,5.677419,145,29.287356,244.467503,18.817280,15:01:00,17:45:20
9,1134,42.250526,-71.773555,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,2,141,0.070922,0.028369,10.000000,4.000000,ok,31,176,5.677419,145,29.286782,244.184375,18.812240,15:01:24,17:45:47
10,1135,42.250225,-71.775311,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,2,141,0.134752,0.056738,19.000000,8.000000,ok,31,176,5.677419,145,29.285402,243.685042,18.803222,15:02:04,17:46:31
11,1136,42.250961,-71.777104,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,2,141,0.042553,0.113475,6.000000,16.000000,ok,31,176,5.677419,145,29.284598,243.439127,18.798735,15:02:44,17:47:16
12,1137,42.251051,-71.778561,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,2,141,0.354610,0.361702,50.000000,51.000000,ok,31,176,5.677419,145,29.282989,243.417400,18.797788,15:03:11,17:47:45
13,1138,42.251006,-71.779714,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,2,141,0.014184,0.070922,2.000000,10.000000,ok,31,176,5.677419,145,29.281839,243.158663,18.792958,15:03:31,17:48:07
14,584,42.25173,-71.78204,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,2,141,0.326241,0.205674,46.000000,29.000000,ok,31,176,5.677419,145,29.281149,243.089239,18.791526,15:04:20,17:49:02
15,1139,42.252688,-71.782606,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,2,141,0.000000,0.049645,0.000000,7.000000,ok,31,176,5.677419,145,29.280115,242.718089,18.784817,15:04:44,17:49:29
16,1140,42.254396,-71.78364,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,2,141,0.070922,0.191489,10.000000,27.000000,ok,31,176,5.677419,145,29.278621,242.563757,18.781646,15:05:15,17:50:03
17,1141,42.255231,-71.784633,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,3,141,0.007092,0.021277,1.000000,3.000000,ok,31,176,5.677419,145,29.278966,242.395054,18.778889,15:05:37,17:50:28
18,342,42.25602,-71.78568,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,3,141,0.794326,0.687943,112.000000,97.000000,ok,31,181,5.838710,150,28.466667,283.928889,19.220375,15:02:00,17:52:00
19,343,42.256202,-71.78763,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,3,141,0.900709,0.347518,127.000000,49.000000,ok,31,181,5.838710,150,28.448556,283.316503,19.203731,15:02:53,17:52:42
20,344,42.25647,-71.78924,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,3,141,0.609929,0.248227,86.000000,35.000000,ok,31,181,5.838710,150,28.441667,279.513732,19.134641,15:03:37,17:53:44
21,345,42.25728,-71.79106,Blue,inbound,1,PM Peak,15:00:00,17:59:59,5;12,ok,5,141,0.007092,0.049645,1.000000,7.000000,ok,31,181,5.838710,150,28.415778,278.865640,19.114769,15:04:52,17:54:42
