stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Blue,outbound,0,AM Early,04:00:00,05:59:59,5,ok,1,20,0.600000,0.000000,12.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:05:00,05:05:00
2,28,42.25974,-71.79381,Blue,outbound,0,AM Early,04:00:00,05:59:59,5,ok,1,20,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:07:10,05:07:10
3,347,42.257333,-71.791563,Blue,outbound,0,AM Early,04:00:00,05:59:59,5,ok,2,20,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:08:46,05:08:46
4,348,42.25653,-71.78994,Blue,outbound,0,AM Early,04:00:00,05:59:59,5,ok,1,20,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:09:33,05:09:33
5,349,42.256173,-71.78797,Blue,outbound,0,AM Early,04:00:00,05:59:59,5,ok,1,20,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:10:15,05:10:15
6,350,42.2559,-71.78601,Blue,outbound,0,AM Early,04:00:00,05:59:59,5,ok,1,20,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:11:00,05:11:00
7,1147,42.255328,-71.785029,Blue,outbound,0,AM Early,04:00:00,05:59:59,5,ok,1,20,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:11:38,05:11:38
8,1148,42.254726,-71.784259,Blue,outbound,0,AM Early,04:00:00,05:59:59,5,ok,1,20,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:11:54,05:11:54
9,1149,42.252693,-71.782837,Blue,outbound,0,AM Early,04:00:00,05:59:59,5,ok,1,20,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:12:25,05:12:25
10,604,42.251665,-71.782213,Blue,outbound,0,AM Early,04:00:00,05:59:59,5,ok,1,20,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:12:44,05:12:44
11,1150,42.250853,-71.779603,Blue,outbound,0,AM Early,04:00:00,05:59:59,5,ok,1,20,0.000000,0.050000,0.000000,1.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:13:20,05:13:20
