stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,2,174,6.281609,0.000000,1093.000000,0.000000,ok,27,186,6.888889,159,23.459119,451.556505,21.353887,06:00:00,08:35:00
2,28,42.25974,-71.79381,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,2,175,0.131429,0.005714,23.000000,1.000000,ok,27,186,6.888889,159,23.503564,450.874236,21.343396,06:02:32,08:37:20
3,347,42.257333,-71.791563,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,4,175,0.000000,0.005714,0.000000,1.000000,ok,27,186,6.888889,159,23.527149,450.175582,21.330726,06:04:23,08:38:50
4,348,42.25653,-71.78994,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,2,175,0.417143,0.285714,73.000000,50.000000,ok,27,186,6.888889,159,23.541090,449.731435,21.322597,06:05:19,08:39:33
5,349,42.256173,-71.78797,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,2,175,0.062857,0.451429,11.000000,79.000000,ok,27,186,6.888889,159,23.554403,449.721874,21.323652,06:06:07,08:40:20
6,350,42.2559,-71.78601,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,2,175,0.685714,0.725714,120.000000,127.000000,ok,27,186,6.888889,159,23.566038,449.327400,21.316386,06:07:00,08:41:00
7,1147,42.255328,-71.785029,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,3,153,0.084967,0.052288,13.000000,8.000000,ok,27,164,6.074074,137,27.826521,665.451389,25.870404,06:07:44,08:54:00
8,1148,42.254726,-71.784259,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,3,153,0.006536,0.019608,1.000000,3.000000,ok,27,164,6.074074,137,27.834793,665.798116,25.877215,06:08:02,08:54:16
9,1149,42.252693,-71.782837,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,3,153,0.019608,0.143791,3.000000,22.000000,ok,27,164,6.074074,137,27.858029,666.203946,25.886141,06:08:37,08:54:58
10,604,42.251665,-71.782213,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,3,153,0.000000,0.026144,0.000000,4.000000,ok,27,164,6.074074,137,27.872263,666.707609,25.896187,06:08:59,08:55:20
11,1150,42.250853,-71.779603,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,3,153,0.124183,0.339869,19.000000,52.000000,ok,27,164,6.074074,137,27.905109,667.161657,25.906668,06:09:40,08:56:16
12,1151,42.250874,-71.77743,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,3,153,0.078431,0.163399,12.000000,25.000000,ok,27,164,6.074074,137,27.924088,667.841719,25.920209,06:10:12,08:56:48
13,1152,42.250133,-71.77544,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,3,153,0.006536,0.065359,1.000000,10.000000,ok,27,164,6.074074,137,27.952433,668.418672,25.932576,06:10:48,08:57:36
