stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,2,352,12.943182,0.000000,4556.000000,0.000000,ok,31,375,12.096774,344,28.459302,279.748344,19.144535,09:00:00,14:55:00
2,28,42.25974,-71.79381,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,2,352,0.153409,0.039773,54.000000,14.000000,ok,31,375,12.096774,344,28.477422,278.101658,19.121556,09:02:32,14:57:32
3,347,42.257333,-71.791563,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,4,352,0.002841,0.000000,1.000000,0.000000,ok,31,375,12.096774,344,28.489777,277.104473,19.108115,09:04:23,14:59:23
4,348,42.25653,-71.78994,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,2,352,0.497159,0.639205,175.000000,225.000000,ok,31,358,11.548387,327,28.379205,290.650821,19.310444,09:05:19,14:29:33
5,349,42.256173,-71.78797,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,2,352,0.252841,0.607955,89.000000,214.000000,ok,31,358,11.548387,327,28.379205,290.262809,19.303608,09:06:07,14:30:15
6,350,42.2559,-71.78601,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,2,352,0.568182,1.582386,200.000000,557.000000,ok,31,358,11.548387,327,28.379205,289.770577,19.294935,09:07:00,14:31:00
7,1147,42.255328,-71.785029,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,3,352,0.207386,0.269886,73.000000,95.000000,ok,31,358,11.548387,327,28.379205,289.086051,19.282875,09:07:44,14:31:38
8,1148,42.254726,-71.784259,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,3,352,0.073864,0.071023,26.000000,25.000000,ok,31,358,11.548387,327,28.379205,288.872228,19.279108,09:08:02,14:31:54
9,1149,42.252693,-71.782837,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,3,352,0.153409,0.105114,54.000000,37.000000,ok,31,358,11.548387,327,28.379205,288.466112,19.271953,09:08:37,14:32:25
10,604,42.251665,-71.782213,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,3,352,0.005682,0.090909,2.000000,32.000000,ok,31,358,11.548387,327,28.379205,288.180363,19.266918,09:08:59,14:32:44
11,1150,42.250853,-71.779603,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,3,352,0.613636,0.957386,216.000000,337.000000,ok,31,358,11.548387,327,28.379205,287.739996,19.259159,09:09:40,14:33:20
