stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,2,134,6.641791,0.000000,890.000000,0.000000,ok,27,147,5.444444,120,26.333333,638.222222,25.284810,18:00:00,20:35:00
2,28,42.25974,-71.79381,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,2,134,0.223881,0.007463,30.000000,1.000000,ok,27,147,5.444444,120,26.333333,631.976463,25.166220,18:02:32,20:37:32
3,347,42.257333,-71.791563,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,4,134,0.000000,0.000000,0.000000,0.000000,ok,27,147,5.444444,120,26.333333,627.843894,25.087753,18:04:23,20:39:23
4,348,42.25653,-71.78994,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,2,134,0.074627,0.559701,10.000000,75.000000,ok,27,147,5.444444,120,26.333333,625.413352,25.041604,18:05:19,20:40:19
5,349,42.256173,-71.78797,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,2,134,0.097015,0.589552,13.000000,79.000000,ok,27,147,5.444444,120,26.333333,623.813407,25.011225,18:06:07,20:41:07
6,350,42.2559,-71.78601,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,2,134,0.119403,1.522388,16.000000,204.000000,ok,27,147,5.444444,120,26.333333,621.705556,24.971203,18:07:00,20:42:00
7,1147,42.255328,-71.785029,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,3,134,0.037313,0.664179,5.000000,89.000000,ok,27,147,5.444444,120,26.310139,619.582492,24.929665,18:07:44,20:42:44
8,1148,42.254726,-71.784259,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,3,134,0.007463,0.059701,1.000000,8.000000,ok,27,147,5.444444,120,26.302639,618.924199,24.916759,18:08:02,20:43:02
9,1149,42.252693,-71.782837,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,3,134,0.022388,0.111940,3.000000,15.000000,ok,27,147,5.444444,120,26.286250,617.356998,24.886089,18:08:37,20:43:37
10,604,42.251665,-71.782213,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,3,134,0.007463,0.029851,1.000000,4.000000,ok,27,147,5.444444,120,26.275000,616.384375,24.866984,18:08:59,20:43:59
