stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
2,28,42.25974,-71.79381,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
3,347,42.257333,-71.791563,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
4,348,42.25653,-71.78994,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
5,349,42.256173,-71.78797,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
6,350,42.2559,-71.78601,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
7,1147,42.255328,-71.785029,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
8,1148,42.254726,-71.784259,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
9,1149,42.252693,-71.782837,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
10,604,42.251665,-71.782213,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
11,1150,42.250853,-71.779603,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
12,1151,42.250874,-71.77743,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
13,1152,42.250133,-71.77544,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
14,1153,42.25044,-71.773523,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
15,1154,42.250741,-71.771998,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
16,1155,42.250504,-71.768891,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
17,1156,42.250676,-71.767042,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
18,1158,42.250521,-71.765038,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
19,1159,42.248697,-71.762426,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
20,1160,42.247703,-71.761411,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
21,1161,42.246171,-71.759886,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
22,1162,42.244161,-71.757318,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
23,1163,42.243588,-71.756413,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
24,1164,42.241316,-71.754196,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
25,1855,42.247021,-71.758556,Blue,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
