stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,2,158,11.455696,0.000000,1810.000000,0.000000,ok,31,176,5.677419,145,27.137931,290.256837,18.916773,15:00:00,17:45:00
2,28,42.25974,-71.79381,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,2,158,0.379747,0.107595,60.000000,17.000000,ok,31,176,5.677419,145,27.125287,293.564127,18.973907,15:02:32,17:47:10
3,347,42.257333,-71.791563,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,4,158,0.000000,0.000000,0.000000,0.000000,ok,31,176,5.677419,145,27.116667,295.953943,19.015382,15:04:23,17:48:46
4,348,42.25653,-71.78994,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,2,158,0.379747,0.886076,60.000000,140.000000,ok,31,193,6.225806,162,27.334156,266.650315,18.544681,15:00:19,17:49:33
5,349,42.256173,-71.78797,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,2,158,0.113924,0.993671,18.000000,157.000000,ok,31,193,6.225806,162,27.320576,267.519206,18.556217,15:01:07,17:50:15
6,350,42.2559,-71.78601,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,2,158,0.411392,2.025316,65.000000,320.000000,ok,31,193,6.225806,162,27.302469,268.704809,18.572123,15:02:00,17:51:00
7,1147,42.255328,-71.785029,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,3,158,0.151899,0.607595,24.000000,96.000000,ok,31,193,6.225806,162,27.276029,270.826684,18.602569,15:02:50,17:51:38
8,1148,42.254726,-71.784259,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,3,158,0.056962,0.145570,9.000000,23.000000,ok,31,193,6.225806,162,27.266667,271.577977,18.613370,15:03:10,17:51:54
9,1149,42.252693,-71.782837,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,3,158,0.037975,0.120253,6.000000,19.000000,ok,31,193,6.225806,162,27.248560,273.050097,18.634638,15:03:49,17:52:25
10,604,42.251665,-71.782213,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,3,158,0.006329,0.145570,1.000000,23.000000,ok,31,193,6.225806,162,27.235082,274.182433,18.651167,15:04:14,17:52:44
11,1150,42.250853,-71.779603,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,3,158,0.468354,1.367089,74.000000,216.000000,ok,31,193,6.225806,162,27.212346,276.092330,18.679097,15:05:00,17:53:20
12,1151,42.250874,-71.77743,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,3,158,0.101266,0.164557,16.000000,26.000000,ok,31,193,6.225806,162,27.194650,277.689875,18.702923,15:05:36,17:53:48
13,1152,42.250133,-71.77544,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,3,158,0.037975,0.303797,6.000000,48.000000,ok,31,193,6.225806,162,27.174588,279.540772,18.730717,15:06:17,17:54:20
14,1153,42.25044,-71.773523,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,3,158,0.031646,0.164557,5.000000,26.000000,ok,31,193,6.225806,162,27.154218,281.362967,18.757943,15:06:56,17:54:50
15,1154,42.250741,-71.771998,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,3,158,0.000000,0.177215,0.000000,28.000000,ok,31,193,6.225806,162,27.138889,282.837671,18.780374,15:07:28,17:55:15
