stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,388,42.29462,-71.77503,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,3.475000,0.075000,139.000000,3.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:25:00,05:55:00
2,656,42.293111,-71.778198,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,0.450000,0.025000,18.000000,1.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:25:53,05:55:53
3,657,42.292241,-71.780111,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,0.650000,0.025000,26.000000,1.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:26:31,05:56:31
4,658,42.291606,-71.781955,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,0.000000,0.000000,0.000000,0.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:26:55,05:56:55
5,659,42.289325,-71.78674,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,0.000000,0.000000,0.000000,0.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:28:12,05:58:12
6,661,42.287553,-71.789283,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,0.025000,0.000000,1.000000,0.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:29:11,05:59:11
7,183,42.285678,-71.791118,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,1.725000,0.725000,69.000000,29.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:30:00,05:30:00
8,184,42.283008,-71.792191,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,0.575000,0.075000,23.000000,3.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:31:18,05:31:18
9,185,42.281355,-71.79286,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,0.550000,0.025000,22.000000,1.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:32:00,05:32:00
10,186,42.278915,-71.793868,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:33:00,05:33:00
11,187,42.277675,-71.794615,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,1.350000,0.175000,54.000000,7.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:33:33,05:33:33
12,188,42.275918,-71.795783,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,0.450000,0.125000,18.000000,5.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:34:22,05:34:22
13,662,42.273986,-71.797565,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,0.025000,0.025000,1.000000,1.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:35:26,05:35:26
14,663,42.271896,-71.798835,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,0.075000,0.000000,3.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:36:41,05:36:41
15,664,42.270848,-71.798906,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,0.050000,0.050000,2.000000,2.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:37:18,05:37:18
16,665,42.2698,-71.798883,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,0.075000,0.550000,3.000000,22.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:38:03,05:38:03
17,1383,42.268153,-71.79851,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,0.000000,0.425000,0.000000,17.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:39:15,05:39:15
18,1384,42.267328,-71.798352,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:39:48,05:39:48
19,1385,42.266263,-71.798137,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,0.025000,0.550000,1.000000,22.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:40:30,05:40:30
20,1386,42.264228,-71.797898,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,0.000000,0.600000,0.000000,24.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:41:56,05:41:56
21,1503,42.260898,-71.796662,Green,inbound,1,AM Early,04:00:00,05:59:59,26,ok,1,40,0.000000,7.625000,0.000000,305.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:45:00,05:45:00
