stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,388,42.29462,-71.77503,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,1.293286,0.229682,366.000000,65.000000,ok,27,304,11.259259,277,15.812274,16.036961,8.413242,06:10:00,08:55:00
2,656,42.293111,-71.778198,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,0.565371,0.201413,160.000000,57.000000,ok,27,304,11.259259,277,15.812274,16.036961,8.413242,06:10:53,08:55:53
3,657,42.292241,-71.780111,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,0.169611,0.081272,48.000000,23.000000,ok,27,304,11.259259,277,15.812274,16.036961,8.413242,06:11:31,08:56:31
4,658,42.291606,-71.781955,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,0.045936,0.095406,13.000000,27.000000,ok,27,304,11.259259,277,15.812274,16.036961,8.413242,06:11:55,08:56:55
5,659,42.289325,-71.78674,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,0.038869,0.028269,11.000000,8.000000,ok,27,304,11.259259,277,15.812274,16.036961,8.413242,06:13:12,08:58:12
6,661,42.287553,-71.789283,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,0.233216,0.042403,66.000000,12.000000,ok,27,304,11.259259,277,15.812274,16.036961,8.413242,06:14:11,08:59:11
7,183,42.285678,-71.791118,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,1.042403,0.339223,295.000000,96.000000,ok,27,299,11.074074,272,15.551471,12.563527,8.179669,06:00:00,08:45:00
8,184,42.283008,-71.792191,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,1.056537,0.229682,299.000000,65.000000,ok,27,299,11.074074,272,15.551471,12.439165,8.175671,06:01:18,08:46:18
9,185,42.281355,-71.79286,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,0.455830,0.035336,129.000000,10.000000,ok,27,299,11.074074,272,15.551471,12.380723,8.173792,06:02:00,08:47:00
10,186,42.278915,-71.793868,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,0.003534,0.007067,1.000000,2.000000,ok,27,299,11.074074,272,15.551471,12.315919,8.171708,06:03:00,08:48:00
11,187,42.277675,-71.794615,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,0.378092,0.363958,107.000000,103.000000,ok,27,299,11.074074,272,15.551471,12.289967,8.170874,06:03:33,08:48:33
12,188,42.275918,-71.795783,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,0.519435,0.222615,147.000000,63.000000,ok,27,299,11.074074,272,15.551471,12.260116,8.169914,06:04:22,08:49:22
13,662,42.273986,-71.797565,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,0.003534,0.201413,1.000000,57.000000,ok,27,299,11.074074,272,15.551471,12.231750,8.169002,06:05:26,08:50:26
14,663,42.271896,-71.798835,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,0.049470,0.102473,14.000000,29.000000,ok,27,299,11.074074,272,15.551471,12.230470,8.168961,06:06:41,08:51:41
15,664,42.270848,-71.798906,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,0.314488,0.243816,89.000000,69.000000,ok,27,299,11.074074,272,15.551471,12.206575,8.168193,06:07:18,08:52:18
16,665,42.2698,-71.798883,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,0.091873,0.212014,26.000000,60.000000,ok,27,299,11.074074,272,15.551471,12.179642,8.167327,06:08:03,08:53:03
17,1383,42.268153,-71.79851,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,0.000000,0.010601,0.000000,3.000000,ok,27,299,11.074074,272,15.551471,12.134363,8.165871,06:09:15,08:54:15
18,1384,42.267328,-71.798352,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,0.000000,0.014134,0.000000,4.000000,ok,27,299,11.074074,272,15.551471,12.145135,8.166217,06:09:48,08:54:48
19,1385,42.266263,-71.798137,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,0.120141,0.385159,34.000000,109.000000,ok,27,299,11.074074,272,15.551471,12.181278,8.167379,06:10:30,08:55:30
20,1386,42.264228,-71.797898,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,0.014134,0.710247,4.000000,201.000000,ok,27,299,11.074074,272,15.551471,12.313548,8.171632,06:11:56,08:56:56
21,1503,42.260898,-71.796662,Green,inbound,1,AM Peak,06:00:00,08:59:59,23;26,ok,2,283,0.000000,7.738516,0.000000,2190.000000,ok,27,277,10.259259,250,15.600000,13.640000,8.237179,06:15:00,08:45:00
