stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,388,42.29462,-71.77503,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,4.506452,0.767742,2794.000000,476.000000,ok,31,713,23.000000,682,14.894355,101.655996,10.859745,09:05:00,14:55:00
2,656,42.293111,-71.778198,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,0.956452,0.445161,593.000000,276.000000,ok,31,713,23.000000,682,14.894355,101.655996,10.859745,09:05:53,14:55:53
3,657,42.292241,-71.780111,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,0.329032,0.101613,204.000000,63.000000,ok,31,713,23.000000,682,14.894428,101.663341,10.860012,09:06:31,14:56:31
4,658,42.291606,-71.781955,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,0.127419,0.029032,79.000000,18.000000,ok,31,713,23.000000,682,14.894428,101.663341,10.860012,09:06:55,14:56:55
5,659,42.289325,-71.78674,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,0.035484,0.030645,22.000000,19.000000,ok,31,713,23.000000,682,14.894355,101.655996,10.859745,09:08:12,14:58:12
6,661,42.287553,-71.789283,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,0.117742,0.175806,73.000000,109.000000,ok,31,713,23.000000,682,14.894428,101.663341,10.860012,09:09:11,14:59:11
7,183,42.285678,-71.791118,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,2.108065,0.787097,1307.000000,488.000000,ok,31,735,23.709677,704,14.897727,98.486699,10.754291,09:00:00,14:50:00
8,184,42.283008,-71.792191,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,0.922581,0.320968,572.000000,199.000000,ok,31,735,23.709677,704,14.886861,96.776469,10.693829,09:01:18,14:51:00
9,185,42.281355,-71.79286,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,0.577419,0.337097,358.000000,209.000000,ok,31,735,23.709677,704,14.881037,95.968368,10.665037,09:02:00,14:51:31
10,186,42.278915,-71.793868,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,0.008065,0.025806,5.000000,16.000000,ok,31,735,23.709677,704,14.872704,94.903046,10.626863,09:03:00,14:52:17
11,187,42.277675,-71.794615,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,0.632258,0.753226,392.000000,467.000000,ok,31,735,23.709677,704,14.868063,94.342072,10.606673,09:03:33,14:52:42
12,188,42.275918,-71.795783,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,1.409677,0.546774,874.000000,339.000000,ok,31,735,23.709677,704,14.861340,93.622225,10.580528,09:04:22,14:53:20
13,662,42.273986,-71.797565,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,0.011290,0.112903,7.000000,70.000000,ok,31,735,23.709677,704,14.852367,92.796622,10.550151,09:05:26,14:54:08
14,663,42.271896,-71.798835,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,0.069355,0.198387,43.000000,123.000000,ok,31,735,23.709677,704,14.841951,91.999901,10.520295,09:06:41,14:55:05
15,664,42.270848,-71.798906,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,0.527419,0.830645,327.000000,515.000000,ok,31,735,23.709677,704,14.836340,91.714699,10.509050,09:07:18,14:55:28
16,665,42.2698,-71.798883,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,0.182258,0.401613,113.000000,249.000000,ok,31,735,23.709677,704,14.829403,91.432798,10.497523,09:08:03,14:55:54
17,1383,42.268153,-71.79851,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,0.001613,0.029032,1.000000,18.000000,ok,31,735,23.709677,704,14.817282,91.209055,10.486434,09:09:15,14:56:22
18,1384,42.267328,-71.798352,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,0.000000,0.003226,0.000000,2.000000,ok,31,735,23.709677,704,14.811742,91.164483,10.483311,09:09:48,14:56:37
19,1385,42.266263,-71.798137,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,0.251613,0.622581,156.000000,386.000000,ok,31,735,23.709677,704,14.804995,91.136850,10.480406,09:10:30,14:57:00
20,1386,42.264228,-71.797898,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,0.062903,0.998387,39.000000,619.000000,ok,31,735,23.709677,704,14.791146,91.231969,10.479579,09:11:56,14:57:57
21,1503,42.260898,-71.796662,Green,inbound,1,Midday,09:00:00,14:59:59,23;26,ok,2,620,0.000000,12.969355,0.000000,8041.000000,ok,31,713,23.000000,682,15.131965,89.132145,10.511143,09:00:00,14:45:00
