stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,388,42.29462,-71.77503,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,3.622318,0.360515,844.000000,84.000000,ok,31,318,10.258065,287,20.888502,250.433561,16.438782,18:04:00,21:59:00
2,656,42.293111,-71.778198,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.686695,0.137339,160.000000,32.000000,ok,31,318,10.258065,287,20.888502,250.433561,16.438782,18:04:53,21:59:53
3,657,42.292241,-71.780111,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.309013,0.042918,72.000000,10.000000,ok,31,296,9.548387,265,17.641509,133.686579,12.609733,18:05:31,21:11:31
4,658,42.291606,-71.781955,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.167382,0.025751,39.000000,6.000000,ok,31,296,9.548387,265,17.641509,133.686579,12.609733,18:05:55,21:11:55
5,659,42.289325,-71.78674,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.055794,0.111588,13.000000,26.000000,ok,31,296,9.548387,265,17.641509,133.686579,12.609733,18:07:12,21:13:12
6,661,42.287553,-71.789283,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.038627,0.150215,9.000000,35.000000,ok,31,296,9.548387,265,17.641509,133.686579,12.609733,18:08:11,21:14:11
7,183,42.285678,-71.791118,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.424893,0.476395,99.000000,111.000000,ok,31,301,9.709677,270,17.870370,133.986900,12.684041,18:00:00,21:15:00
8,184,42.283008,-71.792191,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.343348,0.317597,80.000000,74.000000,ok,31,301,9.709677,270,17.863333,127.988594,12.514105,18:01:18,21:16:00
9,185,42.281355,-71.79286,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.283262,0.472103,66.000000,110.000000,ok,31,301,9.709677,270,17.859383,124.952509,12.427923,18:02:00,21:16:31
10,186,42.278915,-71.793868,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.000000,0.025751,0.000000,6.000000,ok,31,301,9.709677,270,17.853951,120.647198,12.305701,18:03:00,21:17:17
11,187,42.277675,-71.794615,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.137339,0.553648,32.000000,129.000000,ok,31,301,9.709677,270,17.850926,118.246541,12.237519,18:03:33,21:17:42
12,188,42.275918,-71.795783,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.716738,0.472103,167.000000,110.000000,ok,31,301,9.709677,270,17.846605,114.896475,12.142303,18:04:22,21:18:20
13,662,42.273986,-71.797565,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.004292,0.038627,1.000000,9.000000,ok,31,323,10.419355,292,17.441952,104.262954,11.709832,18:00:26,21:19:08
14,663,42.271896,-71.798835,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.025751,0.193133,6.000000,45.000000,ok,31,323,10.419355,292,17.410502,100.044370,11.578355,18:01:41,21:20:05
15,664,42.270848,-71.798906,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.180258,0.403433,42.000000,94.000000,ok,31,323,10.419355,292,17.394292,98.152846,11.518556,18:02:18,21:20:28
16,665,42.2698,-71.798883,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.051502,0.180258,12.000000,42.000000,ok,31,323,10.419355,292,17.374486,95.975431,11.449208,18:03:03,21:20:54
17,1383,42.268153,-71.79851,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.004292,0.055794,1.000000,13.000000,ok,31,323,10.419355,292,17.341495,92.988197,11.351837,18:04:15,21:21:22
18,1384,42.267328,-71.798352,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.000000,0.004292,0.000000,1.000000,ok,31,323,10.419355,292,17.326256,91.619387,11.307074,18:04:48,21:21:37
19,1385,42.266263,-71.798137,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.077253,0.309013,18.000000,72.000000,ok,31,327,10.548387,296,17.884459,113.027677,12.102171,18:00:30,21:22:00
20,1386,42.264228,-71.797898,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.012876,0.678112,3.000000,158.000000,ok,31,327,10.548387,296,17.846227,109.739195,11.997691,18:01:56,21:22:57
21,1503,42.260898,-71.796662,Green,inbound,1,PM Late,18:00:00,21:59:59,23;26,ok,2,233,0.000000,6.806867,0.000000,1586.000000,ok,31,327,10.548387,296,17.770270,102.291819,11.763308,18:05:00,21:25:00
