stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,388,42.29462,-71.77503,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.833333,0.055556,15.000000,1.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,22:59:00,22:59:00
2,656,42.293111,-71.778198,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.333333,0.055556,6.000000,1.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,22:59:53,22:59:53
3,657,42.292241,-71.780111,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.000000,0.000000,0.000000,0.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:00:31,23:00:31
4,658,42.291606,-71.781955,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.055556,0.000000,1.000000,0.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:00:55,23:00:55
5,659,42.289325,-71.78674,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.000000,0.000000,0.000000,0.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:02:12,23:02:12
6,661,42.287553,-71.789283,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.000000,0.000000,0.000000,0.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:03:11,23:03:11
7,183,42.285678,-71.791118,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.166667,0.055556,3.000000,1.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:04:00,23:04:00
8,184,42.283008,-71.792191,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.000000,0.000000,0.000000,0.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:04:57,23:04:57
9,185,42.281355,-71.79286,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.055556,0.166667,1.000000,3.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:05:28,23:05:28
10,186,42.278915,-71.793868,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.000000,0.000000,0.000000,0.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:06:12,23:06:12
11,187,42.277675,-71.794615,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.166667,0.277778,3.000000,5.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:06:36,23:06:36
12,188,42.275918,-71.795783,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.000000,0.166667,0.000000,3.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:07:12,23:07:12
13,662,42.273986,-71.797565,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.000000,0.000000,0.000000,0.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:07:59,23:07:59
14,663,42.271896,-71.798835,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.000000,0.055556,0.000000,1.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:08:54,23:08:54
15,664,42.270848,-71.798906,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.500000,0.277778,9.000000,5.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:09:21,23:09:21
16,665,42.2698,-71.798883,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.111111,0.055556,2.000000,1.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:09:54,23:09:54
17,1383,42.268153,-71.79851,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.000000,0.000000,0.000000,0.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:10:47,23:10:47
18,1384,42.267328,-71.798352,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.000000,0.000000,0.000000,0.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:11:11,23:11:11
19,1385,42.266263,-71.798137,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.000000,0.222222,0.000000,4.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:11:42,23:11:42
20,1386,42.264228,-71.797898,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.000000,0.166667,0.000000,3.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:12:45,23:12:45
21,1503,42.260898,-71.796662,Green,inbound,1,PM Late Night,22:00:00,23:59:59,26,ok,1,18,0.000000,2.333333,0.000000,42.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:15:00,23:15:00
