stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,388,42.29462,-71.77503,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,5.951890,0.855670,1732.000000,249.000000,ok,31,323,10.419355,292,16.842694,107.717268,11.619092,15:05:00,17:55:00
2,656,42.293111,-71.778198,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,1.065292,0.350515,310.000000,102.000000,ok,31,323,10.419355,292,16.837900,107.525474,11.611910,15:05:53,17:55:53
3,657,42.292241,-71.780111,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,0.436426,0.048110,127.000000,14.000000,ok,31,323,10.419355,292,16.834247,107.381567,11.606502,15:06:31,17:56:31
4,658,42.291606,-71.781955,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,0.223368,0.051546,65.000000,15.000000,ok,31,323,10.419355,292,16.831963,107.292601,11.603150,15:06:55,17:56:55
5,659,42.289325,-71.78674,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,0.024055,0.054983,7.000000,16.000000,ok,31,323,10.419355,292,16.825114,107.030206,11.593225,15:08:12,17:58:12
6,661,42.287553,-71.789283,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,0.079038,0.120275,23.000000,35.000000,ok,31,323,10.419355,292,16.819635,106.825155,11.585426,15:09:11,17:59:11
7,183,42.285678,-71.791118,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,1.670103,0.666667,486.000000,194.000000,ok,31,323,10.419355,292,16.900685,108.479863,11.659676,15:00:00,17:55:00
8,184,42.283008,-71.792191,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,0.714777,0.508591,208.000000,148.000000,ok,31,323,10.419355,292,16.890753,110.550520,11.717893,15:01:18,17:56:18
9,185,42.281355,-71.79286,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,0.419244,0.443299,122.000000,129.000000,ok,31,323,10.419355,292,16.885674,111.722827,11.751050,15:02:00,17:57:00
10,186,42.278915,-71.793868,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,0.003436,0.051546,1.000000,15.000000,ok,31,323,10.419355,292,16.878368,113.515380,11.801931,15:03:00,17:58:00
11,187,42.277675,-71.794615,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,0.378007,0.639175,110.000000,186.000000,ok,31,323,10.419355,292,16.873858,114.583126,11.832214,15:03:33,17:58:33
12,188,42.275918,-71.795783,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,1.673540,0.515464,487.000000,150.000000,ok,31,323,10.419355,292,16.867865,116.178936,11.877728,15:04:22,17:59:22
13,662,42.273986,-71.797565,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,0.006873,0.065292,2.000000,19.000000,ok,31,301,9.709677,270,16.404506,125.287553,12.020946,15:05:26,17:55:26
14,663,42.271896,-71.798835,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,0.096220,0.192440,28.000000,56.000000,ok,31,301,9.709677,270,16.367099,127.941511,12.092046,15:06:41,17:56:41
15,664,42.270848,-71.798906,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,0.408935,0.694158,119.000000,202.000000,ok,31,301,9.709677,270,16.350494,129.268831,12.128303,15:07:18,17:57:18
16,665,42.2698,-71.798883,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,0.106529,0.388316,31.000000,113.000000,ok,31,301,9.709677,270,16.330926,130.907726,12.173433,15:08:03,17:58:03
17,1383,42.268153,-71.79851,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,0.003436,0.037801,1.000000,11.000000,ok,31,301,9.709677,270,16.304198,133.515519,12.246612,15:09:15,17:59:15
18,1384,42.267328,-71.798352,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,0.003436,0.024055,1.000000,7.000000,ok,31,301,9.709677,270,16.291420,134.794917,12.282701,15:09:48,17:59:48
19,1385,42.266263,-71.798137,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,0.189003,0.395189,55.000000,115.000000,ok,31,297,9.580645,266,15.992982,133.051816,12.156185,15:10:30,17:42:00
20,1386,42.264228,-71.797898,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,0.024055,0.711340,7.000000,207.000000,ok,31,297,9.580645,266,15.955702,136.320507,12.249694,15:11:56,17:42:57
21,1503,42.260898,-71.796662,Green,inbound,1,PM Peak,15:00:00,17:59:59,23;26,ok,2,291,0.000000,14.195876,0.000000,4131.000000,ok,31,341,11.000000,310,15.983871,152.822320,12.772452,15:00:00,17:45:00
