stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,7.333333,0.000000,308.000000,0.000000,ok,22,44,2.000000,22,15.000000,0.000000,7.500000,05:30:00,05:45:00
2,95,42.263406,-71.7968,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,0.023810,0.023810,1.000000,1.000000,ok,22,44,2.000000,22,14.992424,0.000195,7.496219,05:32:11,05:47:11
3,1459,42.266479,-71.797902,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,0.357143,0.000000,15.000000,0.000000,ok,22,44,2.000000,22,14.992424,0.000195,7.496219,05:33:21,05:48:21
4,1461,42.268085,-71.798281,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,0.880952,0.047619,37.000000,2.000000,ok,22,44,2.000000,22,14.992424,0.000195,7.496219,05:33:48,05:48:48
5,670,42.269815,-71.798581,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,0.047619,0.000000,2.000000,0.000000,ok,22,44,2.000000,22,14.992424,0.000195,7.496219,05:34:15,05:49:15
6,671,42.270951,-71.79859,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,0.380952,0.047619,16.000000,2.000000,ok,22,44,2.000000,22,15.011364,0.000439,7.505696,05:34:50,05:49:53
7,672,42.272263,-71.79851,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,0.380952,0.000000,16.000000,0.000000,ok,22,44,2.000000,22,15.011364,0.000439,7.505696,05:35:17,05:50:20
8,673,42.27371,-71.797531,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,0.000000,0.000000,0.000000,0.000000,ok,22,44,2.000000,22,15.007576,0.000195,7.503794,05:35:47,05:50:49
9,203,42.276443,-71.795323,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,1.238095,0.238095,52.000000,10.000000,ok,22,44,2.000000,22,15.007576,0.000195,7.503794,05:36:52,05:51:54
10,204,42.277683,-71.794505,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,0.071429,0.023810,3.000000,1.000000,ok,22,44,2.000000,22,15.003788,0.000049,7.501896,05:37:17,05:52:18
11,205,42.279368,-71.793558,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,0.357143,0.071429,15.000000,3.000000,ok,22,44,2.000000,22,15.003788,0.000049,7.501896,05:37:49,05:52:50
12,206,42.281568,-71.792653,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,0.095238,0.023810,4.000000,1.000000,ok,22,44,2.000000,22,15.003788,0.000049,7.501896,05:38:30,05:53:31
13,207,42.283118,-71.792048,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,0.476190,2.000000,20.000000,84.000000,ok,22,44,2.000000,22,15.000000,0.000000,7.500000,05:39:00,05:54:00
14,209,42.286066,-71.790793,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,0.142857,1.380952,6.000000,58.000000,ok,22,44,2.000000,22,15.000000,0.000000,7.500000,05:40:00,05:55:00
15,674,42.287481,-71.78918,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,0.000000,0.000000,0.000000,0.000000,ok,22,44,2.000000,22,15.000000,0.000000,7.500000,05:40:45,05:55:45
16,675,42.28842,-71.787813,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,0.000000,0.023810,0.000000,1.000000,ok,22,44,2.000000,22,15.000000,0.000000,7.500000,05:41:21,05:56:21
17,676,42.289381,-71.786421,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,0.000000,0.000000,0.000000,0.000000,ok,22,44,2.000000,22,15.000000,0.000000,7.500000,05:41:55,05:56:55
18,677,42.291328,-71.782178,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,0.000000,0.023810,0.000000,1.000000,ok,22,44,2.000000,22,15.000000,0.000000,7.500000,05:43:04,05:58:04
19,678,42.292083,-71.780206,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,0.000000,0.333333,0.000000,14.000000,ok,22,44,2.000000,22,15.000000,0.000000,7.500000,05:43:35,05:58:35
20,679,42.29295,-71.7783,Green,outbound,0,AM Early,04:00:00,05:59:59,23;26,ok,2,42,0.000000,0.047619,0.000000,2.000000,ok,22,44,2.000000,22,15.000000,0.000000,7.500000,05:44:17,05:59:17
21,823,42.293999,-71.775838,Green,outbound,0,AM Early,04:00:00,05:59:59,23,ok,2,42,0.023810,1.880952,1.000000,79.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:45:00,05:45:00
