stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,8.477352,0.000000,2433.000000,0.000000,ok,27,309,11.444444,282,15.531915,13.014939,8.184932,06:00:00,08:45:00
2,95,42.263406,-71.7968,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.055749,0.031359,16.000000,9.000000,ok,27,309,11.444444,282,15.550118,13.004031,8.193192,06:02:11,08:47:25
3,1459,42.266479,-71.797902,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.048780,0.132404,14.000000,38.000000,ok,27,309,11.444444,282,15.557920,13.005912,8.196943,06:03:21,08:48:41
4,1461,42.268085,-71.798281,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.324042,0.320557,93.000000,92.000000,ok,27,309,11.444444,282,15.561820,13.007951,8.198855,06:03:48,08:49:11
5,670,42.269815,-71.798581,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.052265,0.027875,15.000000,8.000000,ok,27,309,11.444444,282,15.565721,13.009422,8.200747,06:04:15,08:49:41
6,671,42.270951,-71.79859,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.428571,0.174216,123.000000,50.000000,ok,27,309,11.444444,282,15.569622,13.020813,8.202959,06:04:53,08:50:22
7,672,42.272263,-71.79851,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.069686,0.024390,20.000000,7.000000,ok,27,309,11.444444,282,15.573522,13.024983,8.204938,06:05:20,08:50:52
8,673,42.27371,-71.797531,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.073171,0.111498,21.000000,32.000000,ok,27,309,11.444444,282,15.577423,13.029711,8.206936,06:05:49,08:51:24
9,203,42.276443,-71.795323,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.989547,0.700348,284.000000,201.000000,ok,27,309,11.444444,282,15.585225,13.045871,8.211146,06:06:54,08:52:35
10,204,42.277683,-71.794505,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.038328,0.041812,11.000000,12.000000,ok,27,309,11.444444,282,15.589125,13.051483,8.213171,06:07:18,08:53:02
11,205,42.279368,-71.793558,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.331010,0.202091,95.000000,58.000000,ok,27,309,11.444444,282,15.593026,13.060956,8.215321,06:07:50,08:53:37
12,206,42.281568,-71.792653,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.125436,0.139373,36.000000,40.000000,ok,27,309,11.444444,282,15.598227,13.074973,8.218231,06:08:31,08:54:22
13,207,42.283118,-71.792048,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.390244,0.829268,112.000000,238.000000,ok,27,309,11.444444,282,15.602128,13.084676,8.220387,06:09:00,08:54:54
14,209,42.286066,-71.790793,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.414634,1.400697,119.000000,402.000000,ok,27,309,11.444444,282,15.609929,13.110256,8.224898,06:10:00,08:56:00
15,674,42.287481,-71.78918,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.013937,0.052265,4.000000,15.000000,ok,27,309,11.444444,282,15.633333,13.134988,8.236762,06:10:45,08:57:03
16,675,42.28842,-71.787813,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.010453,0.000000,3.000000,0.000000,ok,27,309,11.444444,282,15.652837,13.165488,8.246965,06:11:21,08:57:54
17,676,42.289381,-71.786421,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.010453,0.045296,3.000000,13.000000,ok,27,309,11.444444,282,15.669740,13.199195,8.256038,06:11:55,08:58:41
18,677,42.291328,-71.782178,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.010453,0.331010,3.000000,95.000000,ok,27,287,10.629630,260,15.576923,14.205621,8.244444,06:13:04,08:58:04
19,678,42.292083,-71.780206,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.031359,0.372822,9.000000,107.000000,ok,27,287,10.629630,260,15.576923,14.205621,8.244444,06:13:35,08:58:35
20,679,42.29295,-71.7783,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.062718,0.595819,18.000000,171.000000,ok,27,287,10.629630,260,15.576923,14.205621,8.244444,06:14:17,08:59:17
21,823,42.293999,-71.775838,Green,outbound,0,AM Peak,06:00:00,08:59:59,23;26,ok,2,287,0.013937,1.303136,4.000000,374.000000,ok,27,304,11.259259,277,15.433213,12.808716,8.131579,06:00:00,08:45:00
