stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,13.513344,0.000000,8608.000000,0.000000,ok,31,721,23.258065,690,15.326087,105.582073,11.107565,09:00:00,14:55:00
2,95,42.263406,-71.7968,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.136578,0.056515,87.000000,36.000000,ok,31,721,23.258065,690,15.333889,104.740026,11.082256,09:02:11,14:56:59
3,1459,42.266479,-71.797902,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.078493,0.130298,50.000000,83.000000,ok,31,721,23.258065,690,15.337246,104.387764,11.071704,09:03:21,14:58:03
4,1461,42.268085,-71.798281,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.968603,0.405024,617.000000,258.000000,ok,31,721,23.258065,690,15.338913,104.221597,11.066751,09:03:48,14:58:27
5,670,42.269815,-71.798581,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.145997,0.098901,93.000000,63.000000,ok,31,721,23.258065,690,15.340556,104.074370,11.062409,09:04:15,14:58:52
6,671,42.270951,-71.79859,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.649922,0.376766,414.000000,240.000000,ok,31,721,23.258065,690,15.342150,103.880923,11.056550,09:04:53,14:59:23
7,672,42.272263,-71.79851,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.265306,0.089482,169.000000,57.000000,ok,31,721,23.258065,690,15.343792,103.735151,11.052258,09:05:20,14:59:48
8,673,42.27371,-71.797531,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.047096,0.064364,30.000000,41.000000,ok,31,716,23.096774,685,15.388856,104.082974,11.076193,09:05:49,14:51:24
9,203,42.276443,-71.795323,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,1.288854,1.291994,821.000000,823.000000,ok,31,716,23.096774,685,15.393041,103.772846,11.067292,09:06:54,14:52:35
10,204,42.277683,-71.794505,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.113030,0.109890,72.000000,70.000000,ok,31,716,23.096774,685,15.394964,103.638515,11.063469,09:07:18,14:53:02
11,205,42.279368,-71.793558,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.227630,0.384615,145.000000,245.000000,ok,31,716,23.096774,685,15.397007,103.496970,11.059448,09:07:50,14:53:37
12,206,42.281568,-71.792653,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.291994,0.362637,186.000000,231.000000,ok,31,716,23.096774,685,15.399732,103.313997,11.054275,09:08:31,14:54:22
13,207,42.283118,-71.792048,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.353218,0.769231,225.000000,490.000000,ok,31,716,23.096774,685,15.401752,103.182362,11.050572,09:09:00,14:54:54
14,209,42.286066,-71.790793,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.973312,2.042386,620.000000,1301.000000,ok,31,716,23.096774,685,15.405839,102.927265,11.043447,09:10:00,14:56:00
15,674,42.287481,-71.78918,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.136578,0.122449,87.000000,78.000000,ok,31,716,23.096774,685,15.417226,102.638827,11.037319,09:10:45,14:57:03
16,675,42.28842,-71.787813,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.029827,0.012559,19.000000,8.000000,ok,31,716,23.096774,685,15.426618,102.482914,11.034935,09:11:21,14:57:54
17,676,42.289381,-71.786421,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.028257,0.028257,18.000000,18.000000,ok,31,716,23.096774,685,15.434939,102.427801,11.035520,09:11:55,14:58:41
18,677,42.291328,-71.782178,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.012559,0.067504,8.000000,43.000000,ok,31,716,23.096774,685,15.309197,102.615385,11.006028,09:00:18,14:58:04
19,678,42.292083,-71.780206,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.087912,0.367347,56.000000,234.000000,ok,31,716,23.096774,685,15.303942,102.747658,11.008873,09:01:01,14:58:35
20,679,42.29295,-71.7783,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.266876,2.117739,170.000000,1349.000000,ok,31,716,23.096774,685,15.296496,103.026114,11.015886,09:02:00,14:59:17
21,823,42.293999,-71.775838,Green,outbound,0,Midday,09:00:00,14:59:59,23;26,ok,2,637,0.089482,2.395604,57.000000,1526.000000,ok,31,716,23.096774,685,15.245255,102.383645,10.980513,09:00:00,14:45:00
