stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,9.264706,0.000000,2205.000000,0.000000,ok,31,291,9.387097,260,17.692308,96.405325,11.570652,18:15:00,21:15:00
2,95,42.263406,-71.7968,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.109244,0.029412,26.000000,7.000000,ok,31,291,9.387097,260,17.712051,98.275156,11.630271,18:17:11,21:17:25
3,1459,42.266479,-71.797902,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.021008,0.033613,5.000000,8.000000,ok,31,291,9.387097,260,17.720513,99.073092,11.655692,18:18:21,21:18:41
4,1461,42.268085,-71.798281,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.390756,0.252101,93.000000,60.000000,ok,31,291,9.387097,260,17.724744,99.486670,11.668806,18:18:48,21:19:11
5,670,42.269815,-71.798581,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.008403,0.033613,2.000000,8.000000,ok,31,291,9.387097,260,17.728974,99.934218,11.682874,18:19:15,21:19:41
6,671,42.270951,-71.79859,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.264706,0.344538,63.000000,82.000000,ok,31,291,9.387097,260,17.733205,100.313171,11.695002,18:19:53,21:20:22
7,672,42.272263,-71.79851,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.088235,0.100840,21.000000,24.000000,ok,31,313,10.096774,282,18.304905,96.701401,11.793859,18:00:17,21:20:52
8,673,42.27371,-71.797531,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.037815,0.029412,9.000000,7.000000,ok,31,318,10.258065,287,18.348374,95.484482,11.776175,18:00:12,21:21:24
9,203,42.276443,-71.795323,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.542017,1.365546,129.000000,325.000000,ok,31,318,10.258065,287,18.357956,96.253269,11.800546,18:01:11,21:22:35
10,204,42.277683,-71.794505,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.054622,0.155462,13.000000,37.000000,ok,31,318,10.258065,287,18.362079,96.658915,11.813065,18:01:33,21:23:02
11,205,42.279368,-71.793558,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.084034,0.394958,20.000000,94.000000,ok,31,318,10.258065,287,18.366783,97.058875,11.825631,18:02:02,21:23:37
12,206,42.281568,-71.792653,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.180672,0.361345,43.000000,86.000000,ok,31,318,10.258065,287,18.373055,97.597209,11.842515,18:02:39,21:24:22
13,207,42.283118,-71.792048,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.142857,0.802521,34.000000,191.000000,ok,31,318,10.258065,287,18.377352,97.997989,11.854947,18:03:06,21:24:54
14,209,42.286066,-71.790793,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.256303,0.516807,61.000000,123.000000,ok,31,318,10.258065,287,18.386760,98.822542,11.880709,18:04:00,21:26:00
15,674,42.287481,-71.78918,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.079832,0.088235,19.000000,21.000000,ok,31,318,10.258065,287,18.409756,101.796072,11.969610,18:04:45,21:27:03
16,675,42.28842,-71.787813,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.000000,0.012605,0.000000,3.000000,ok,31,318,10.258065,287,18.428920,104.346986,12.045526,18:05:21,21:27:54
17,676,42.289381,-71.786421,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.016807,0.088235,4.000000,21.000000,ok,31,318,10.258065,287,18.445528,106.611439,12.112664,18:05:55,21:28:41
18,677,42.291328,-71.782178,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.025210,0.092437,6.000000,22.000000,ok,31,340,10.967742,309,17.718447,111.299958,12.000017,18:00:18,21:30:18
19,678,42.292083,-71.780206,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.029412,0.243697,7.000000,58.000000,ok,31,340,10.967742,309,17.718447,113.682698,12.067256,18:01:01,21:31:01
20,679,42.29295,-71.7783,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,238,0.151261,1.117647,36.000000,266.000000,ok,31,340,10.967742,309,17.718447,117.136247,12.164712,18:02:00,21:32:00
21,823,42.293999,-71.775838,Green,outbound,0,PM Late,18:00:00,21:59:59,23;26,ok,2,237,0.088608,1.497890,21.000000,355.000000,ok,27,341,12.629630,314,17.579618,119.950667,12.201449,18:00:00,21:33:00
