stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,5.142857,0.000000,180.000000,0.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:15:00,23:15:00
2,95,42.263406,-71.7968,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.228571,0.000000,8.000000,0.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:17:25,23:17:25
3,1459,42.266479,-71.797902,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.000000,0.085714,0.000000,3.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:18:41,23:18:41
4,1461,42.268085,-71.798281,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.771429,0.085714,27.000000,3.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:19:11,23:19:11
5,670,42.269815,-71.798581,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.000000,0.114286,0.000000,4.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:19:41,23:19:41
6,671,42.270951,-71.79859,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.200000,0.114286,7.000000,4.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:20:22,23:20:22
7,672,42.272263,-71.79851,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.142857,0.028571,5.000000,1.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:20:52,23:20:52
8,673,42.27371,-71.797531,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.000000,0.085714,0.000000,3.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:21:24,23:21:24
9,203,42.276443,-71.795323,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.200000,0.800000,7.000000,28.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:22:35,23:22:35
10,204,42.277683,-71.794505,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.142857,0.000000,5.000000,0.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:23:02,23:23:02
11,205,42.279368,-71.793558,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.057143,0.628571,2.000000,22.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:23:37,23:23:37
12,206,42.281568,-71.792653,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.142857,0.828571,5.000000,29.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:24:22,23:24:22
13,207,42.283118,-71.792048,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.085714,0.514286,3.000000,18.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:24:54,23:24:54
14,209,42.286066,-71.790793,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.085714,0.657143,3.000000,23.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:26:00,23:26:00
15,674,42.287481,-71.78918,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.028571,0.114286,1.000000,4.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:27:03,23:27:03
16,675,42.28842,-71.787813,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.000000,0.028571,0.000000,1.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:27:54,23:27:54
17,676,42.289381,-71.786421,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.000000,0.000000,0.000000,0.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:28:41,23:28:41
18,677,42.291328,-71.782178,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.057143,0.028571,2.000000,1.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:30:18,23:30:18
19,678,42.292083,-71.780206,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.000000,0.171429,0.000000,6.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:31:01,23:31:01
20,679,42.29295,-71.7783,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.142857,0.314286,5.000000,11.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:32:00,23:32:00
21,823,42.293999,-71.775838,Green,outbound,0,PM Late Night,22:00:00,23:59:59,26,ok,1,35,0.000000,0.085714,0.000000,3.000000,ok,22,44,2.000000,22,60.000000,0.000000,30.000000,22:33:00,23:33:00
