stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,14.700337,0.000000,4366.000000,0.000000,ok,31,341,11.000000,310,16.225806,125.755463,11.988072,15:00:00,17:55:00
2,95,42.263406,-71.7968,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,0.323232,0.087542,96.000000,26.000000,ok,31,341,11.000000,310,16.206398,123.945761,11.927175,15:02:25,17:57:13
3,1459,42.266479,-71.797902,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,0.074074,0.212121,22.000000,63.000000,ok,31,341,11.000000,310,16.197527,123.196170,11.901695,15:03:41,17:58:23
4,1461,42.268085,-71.798281,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,1.047138,0.518519,311.000000,154.000000,ok,31,341,11.000000,310,16.193172,122.822304,11.888996,15:04:11,17:58:50
5,670,42.269815,-71.798581,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,0.067340,0.087542,20.000000,26.000000,ok,31,341,11.000000,310,16.189086,122.436810,11.876004,15:04:41,17:59:17
6,671,42.270951,-71.79859,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,0.585859,0.333333,174.000000,99.000000,ok,31,341,11.000000,310,16.182581,122.019120,11.861366,15:05:22,17:59:53
7,672,42.272263,-71.79851,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,0.245791,0.060606,73.000000,18.000000,ok,31,319,10.290323,288,16.691956,127.223590,12.156903,15:05:52,17:59:48
8,673,42.27371,-71.797531,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,0.037037,0.010101,11.000000,3.000000,ok,31,319,10.290323,288,16.885475,126.114890,12.177157,15:00:12,17:51:24
9,203,42.276443,-71.795323,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,1.185185,1.397306,352.000000,415.000000,ok,31,319,10.290323,288,16.887384,125.248330,12.152032,15:01:11,17:52:35
10,204,42.277683,-71.794505,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,0.053872,0.144781,16.000000,43.000000,ok,31,319,10.290323,288,16.887905,124.829920,12.139790,15:01:33,17:53:02
11,205,42.279368,-71.793558,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,0.191919,0.491582,57.000000,146.000000,ok,31,319,10.290323,288,16.888773,124.400574,12.127324,15:02:02,17:53:37
12,206,42.281568,-71.792653,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,0.313131,0.619529,93.000000,184.000000,ok,31,319,10.290323,288,16.889931,123.833539,12.110864,15:02:39,17:54:22
13,207,42.283118,-71.792048,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,0.464646,1.090909,138.000000,324.000000,ok,31,319,10.290323,288,16.890625,123.435294,12.099271,15:03:06,17:54:54
14,209,42.286066,-71.790793,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,0.898990,0.949495,267.000000,282.000000,ok,31,319,10.290323,288,16.892361,122.602997,12.075128,15:04:00,17:56:00
15,674,42.287481,-71.78918,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,0.087542,0.151515,26.000000,45.000000,ok,31,319,10.290323,288,16.890741,119.765937,11.990684,15:04:45,17:57:03
16,675,42.28842,-71.787813,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,0.037037,0.020202,11.000000,6.000000,ok,31,319,10.290323,288,16.889583,117.500655,11.923286,15:05:21,17:57:54
17,676,42.289381,-71.786421,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,0.010101,0.013468,3.000000,4.000000,ok,31,319,10.290323,288,16.888426,115.587679,11.866310,15:05:55,17:58:41
18,677,42.291328,-71.782178,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,0.026936,0.225589,8.000000,67.000000,ok,31,319,10.290323,288,16.469444,112.380058,11.646497,15:00:18,17:58:04
19,678,42.292083,-71.780206,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,0.060606,0.309764,18.000000,92.000000,ok,31,319,10.290323,288,16.468287,110.772096,11.597338,15:01:01,17:58:35
20,679,42.29295,-71.7783,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,297,0.222222,2.245791,66.000000,667.000000,ok,31,319,10.290323,288,16.466898,108.597168,11.530888,15:02:00,17:59:17
21,823,42.293999,-71.775838,Green,outbound,0,PM Peak,15:00:00,17:59:59,23;26,ok,2,294,0.071429,2.571429,21.000000,756.000000,ok,31,315,10.161290,284,15.563380,84.837532,10.507240,15:00:00,17:38:00
