stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,404,42.24483,-71.83436,Orange,inbound,1,AM Early,04:00:00,05:59:59,19,ok,2,57,0.000000,0.000000,0.000000,0.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:10:25,05:40:25
2,405,42.245764,-71.830529,Orange,inbound,1,AM Early,04:00:00,05:59:59,19,ok,2,57,1.315789,0.280702,75.000000,16.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:11:34,05:41:34
3,407,42.24688,-71.82828,Orange,inbound,1,AM Early,04:00:00,05:59:59,19,ok,2,57,0.333333,0.052632,19.000000,3.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:12:17,05:42:17
4,408,42.24764,-71.82689,Orange,inbound,1,AM Early,04:00:00,05:59:59,19,ok,2,57,0.719298,0.228070,41.000000,13.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:12:48,05:42:48
5,409,42.24835,-71.82557,Orange,inbound,1,AM Early,04:00:00,05:59:59,19,ok,2,57,0.245614,0.000000,14.000000,0.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:13:12,05:43:12
6,410,42.24972,-71.82303,Orange,inbound,1,AM Early,04:00:00,05:59:59,19,ok,2,57,2.263158,0.070175,129.000000,4.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:14:00,05:44:00
7,412,42.25139,-71.81993,Orange,inbound,1,AM Early,04:00:00,05:59:59,19,ok,2,57,0.350877,0.017544,20.000000,1.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:15:59,05:45:59
8,413,42.25213,-71.81855,Orange,inbound,1,AM Early,04:00:00,05:59:59,19,ok,2,57,0.298246,0.210526,17.000000,12.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:16:39,05:46:39
9,414,42.25336,-71.81625,Orange,inbound,1,AM Early,04:00:00,05:59:59,19,ok,2,57,0.894737,0.052632,51.000000,3.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:17:50,05:47:50
10,415,42.25429,-71.81474,Orange,inbound,1,AM Early,04:00:00,05:59:59,19,ok,2,57,1.649123,0.157895,94.000000,9.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:18:38,05:48:38
11,416,42.25545,-71.81245,Orange,inbound,1,AM Early,04:00:00,05:59:59,19,ok,2,57,0.000000,0.105263,0.000000,6.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:19:58,05:49:58
12,417,42.25635,-71.81071,Orange,inbound,1,AM Early,04:00:00,05:59:59,19,ok,2,57,1.368421,0.157895,78.000000,9.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:20:41,05:50:41
13,419,42.25772,-71.80814,Orange,inbound,1,AM Early,04:00:00,05:59:59,19,ok,2,57,0.315789,0.140351,18.000000,8.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:22:01,05:52:01
14,420,42.2588,-71.80617,Orange,inbound,1,AM Early,04:00:00,05:59:59,19,ok,4,57,0.298246,0.052632,17.000000,3.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:22:57,05:52:57
15,421,42.25986,-71.80474,Orange,inbound,1,AM Early,04:00:00,05:59:59,19,ok,2,57,0.263158,0.017544,15.000000,1.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:23:48,05:53:48
16,196,42.26308,-71.80221,Orange,inbound,1,AM Early,04:00:00,05:59:59,19,ok,2,57,0.245614,1.403509,14.000000,80.000000,ok,22,44,2.000000,22,30.000000,0.000000,15.000000,05:26:00,05:56:00
17,1503,42.260898,-71.796662,Orange,inbound,1,AM Early,04:00:00,05:59:59,19,ok,2,57,0.000000,11.122807,0.000000,634.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:30:00,05:30:00
