stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,404,42.24483,-71.83436,Orange,inbound,1,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,310,0.016129,0.103226,5.000000,32.000000,ok,31,364,11.741935,333,13.062312,92.892036,10.086883,06:09:02,08:59:02
2,405,42.245764,-71.830529,Orange,inbound,1,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,310,2.558065,0.225806,793.000000,70.000000,ok,31,342,11.032258,311,13.710825,92.026583,10.211395,06:10:57,08:57:04
3,407,42.24688,-71.82828,Orange,inbound,1,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,310,0.335484,0.038710,104.000000,12.000000,ok,31,342,11.032258,311,13.695820,91.874541,10.202019,06:12:09,08:58:01
4,408,42.24764,-71.82689,Orange,inbound,1,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,310,0.941935,0.254839,292.000000,79.000000,ok,31,342,11.032258,311,13.677867,92.096858,10.205572,06:13:00,08:58:37
5,409,42.24835,-71.82557,Orange,inbound,1,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,310,0.851613,0.258065,264.000000,80.000000,ok,31,342,11.032258,311,13.663451,92.273561,10.208382,06:13:40,08:59:05
6,410,42.24972,-71.82303,Orange,inbound,1,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,310,1.609677,0.316129,499.000000,98.000000,ok,31,320,10.322581,289,13.529412,99.653979,10.447570,06:15:00,08:50:00
7,412,42.25139,-71.81993,Orange,inbound,1,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,310,0.351613,0.119355,109.000000,37.000000,ok,31,320,10.322581,289,13.538062,100.376708,10.476235,06:16:39,08:50:49
8,413,42.25213,-71.81855,Orange,inbound,1,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,310,0.609677,0.212903,189.000000,66.000000,ok,31,320,10.322581,289,13.540946,100.763791,10.491180,06:17:12,08:51:06
9,414,42.25336,-71.81625,Orange,inbound,1,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,310,0.896774,0.196774,278.000000,61.000000,ok,31,320,10.322581,289,13.545848,101.457912,10.517906,06:18:12,08:51:36
10,415,42.25429,-71.81474,Orange,inbound,1,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,310,0.974194,0.541935,302.000000,168.000000,ok,31,320,10.322581,289,13.549308,101.908942,10.535324,06:18:52,08:51:56
11,416,42.25545,-71.81245,Orange,inbound,1,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,310,0.061290,0.106452,19.000000,33.000000,ok,31,320,10.322581,289,13.555075,102.898827,10.573121,06:19:58,08:52:29
12,417,42.25635,-71.81071,Orange,inbound,1,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,310,1.129032,0.877419,350.000000,272.000000,ok,31,320,10.322581,289,13.558247,103.101161,10.581280,06:20:34,08:52:47
13,419,42.25772,-71.80814,Orange,inbound,1,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,310,0.412903,0.358065,128.000000,111.000000,ok,31,320,10.322581,289,13.564014,102.686266,10.567253,06:21:41,08:53:20
14,420,42.2588,-71.80617,Orange,inbound,1,AM Peak,06:00:00,08:59:59,19;27;33,ok,6,310,0.554839,0.554839,172.000000,172.000000,ok,31,320,10.322581,289,13.568339,102.381796,10.556989,06:22:27,08:53:43
15,421,42.25986,-71.80474,Orange,inbound,1,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,310,0.858065,0.983871,266.000000,305.000000,ok,31,320,10.322581,289,13.571799,102.215469,10.551630,06:23:10,08:54:05
16,196,42.26308,-71.80221,Orange,inbound,1,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,310,0.490323,2.545161,152.000000,789.000000,ok,31,320,10.322581,289,13.581315,101.710516,10.535159,06:25:00,08:55:00
17,1503,42.260898,-71.796662,Orange,inbound,1,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,310,0.000000,11.912903,0.000000,3693.000000,ok,27,316,11.703704,289,14.342561,117.906874,11.281665,06:00:00,08:50:00
