stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,404,42.24483,-71.83436,Orange,inbound,1,Midday,09:00:00,14:59:59,19;27;33,ok,3,682,0.130499,0.109971,89.000000,75.000000,ok,31,797,25.709677,766,13.518190,126.888041,11.452328,09:09:02,14:56:55
2,405,42.245764,-71.830529,Orange,inbound,1,Midday,09:00:00,14:59:59,19;27;33,ok,3,682,4.231672,0.706745,2886.000000,482.000000,ok,31,819,26.419355,788,13.417280,123.062010,11.294592,09:00:57,14:58:49
3,407,42.24688,-71.82828,Orange,inbound,1,Midday,09:00:00,14:59:59,19;27;33,ok,3,682,0.420821,0.215543,287.000000,147.000000,ok,31,802,25.870968,771,13.506442,125.295495,11.391582,09:02:09,14:50:43
4,408,42.24764,-71.82689,Orange,inbound,1,Midday,09:00:00,14:59:59,19;27;33,ok,3,682,0.848974,0.590909,579.000000,403.000000,ok,31,802,25.870968,771,13.501686,125.393091,11.394452,09:03:00,14:51:24
5,409,42.24835,-71.82557,Orange,inbound,1,Midday,09:00:00,14:59:59,19;27;33,ok,3,682,1.387097,0.439883,946.000000,300.000000,ok,31,802,25.870968,771,13.497882,125.532800,11.399033,09:03:40,14:51:56
6,410,42.24972,-71.82303,Orange,inbound,1,Midday,09:00:00,14:59:59,19;27;33,ok,3,680,1.747059,0.717647,1188.000000,488.000000,ok,31,824,26.580645,793,13.254729,124.484924,11.323233,09:00:00,14:53:00
7,412,42.25139,-71.81993,Orange,inbound,1,Midday,09:00:00,14:59:59,19;27;33,ok,3,682,0.571848,0.268328,390.000000,183.000000,ok,31,824,26.580645,793,13.260277,124.507978,11.324911,09:01:47,14:54:59
8,413,42.25213,-71.81855,Orange,inbound,1,Midday,09:00:00,14:59:59,19;27;33,ok,3,682,0.696481,0.343109,475.000000,234.000000,ok,31,824,26.580645,793,13.263514,124.551499,11.327025,09:02:20,14:55:39
9,414,42.25336,-71.81625,Orange,inbound,1,Midday,09:00:00,14:59:59,19;27;33,ok,3,682,1.045455,0.458944,713.000000,313.000000,ok,31,824,26.580645,793,13.269525,124.651411,11.331668,09:03:18,14:56:50
10,415,42.25429,-71.81474,Orange,inbound,1,Midday,09:00:00,14:59:59,19;27;33,ok,3,682,1.511730,1.403226,1031.000000,957.000000,ok,31,824,26.580645,793,13.273224,124.736697,11.335421,09:03:58,14:57:38
11,416,42.25545,-71.81245,Orange,inbound,1,Midday,09:00:00,14:59:59,19;27;33,ok,3,682,0.055718,0.142229,38.000000,97.000000,ok,31,824,26.580645,793,13.280160,124.918326,11.343274,09:05:03,14:58:58
12,417,42.25635,-71.81071,Orange,inbound,1,Midday,09:00:00,14:59:59,19;27;33,ok,3,682,1.690616,1.000000,1153.000000,682.000000,ok,31,824,26.580645,793,13.283396,125.029333,11.347924,09:05:39,14:59:41
13,419,42.25772,-71.80814,Orange,inbound,1,Midday,09:00:00,14:59:59,19;27;33,ok,3,682,0.615836,0.813783,420.000000,555.000000,ok,31,802,25.870968,771,13.243450,128.764003,11.483147,09:06:44,14:52:23
14,420,42.2588,-71.80617,Orange,inbound,1,Midday,09:00:00,14:59:59,19;27;33,ok,6,682,1.945748,1.782991,1327.000000,1216.000000,ok,31,802,25.870968,771,13.247730,128.966714,11.491367,09:07:30,14:53:00
15,421,42.25986,-71.80474,Orange,inbound,1,Midday,09:00:00,14:59:59,19;27;33,ok,3,682,1.417889,1.406158,967.000000,959.000000,ok,31,802,25.870968,771,13.251535,129.154077,11.498942,09:08:12,14:53:33
16,196,42.26308,-71.80221,Orange,inbound,1,Midday,09:00:00,14:59:59,19;27;33,ok,3,682,0.697947,3.570381,476.000000,2435.000000,ok,31,802,25.870968,771,13.261997,129.747181,11.522689,09:10:00,14:55:00
17,1503,42.260898,-71.796662,Orange,inbound,1,Midday,09:00:00,14:59:59,19;27;33,ok,3,682,0.000000,15.398827,0.000000,10502.000000,ok,31,823,26.548387,792,13.617424,142.627626,12.045665,09:00:00,14:55:00
