stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,404,42.24483,-71.83436,Orange,inbound,1,PM Late,18:00:00,21:59:59,19;27;33,ok,3,297,0.084175,0.020202,25.000000,6.000000,ok,31,386,12.451613,355,13.424789,104.178328,10.592468,18:01:55,21:16:57
2,405,42.245764,-71.830529,Orange,inbound,1,PM Late,18:00:00,21:59:59,19;27;33,ok,3,297,1.744108,0.569024,518.000000,169.000000,ok,31,386,12.451613,355,13.377559,100.134859,10.431423,18:03:49,21:17:54
3,407,42.24688,-71.82828,Orange,inbound,1,PM Late,18:00:00,21:59:59,19;27;33,ok,3,297,0.107744,0.043771,32.000000,13.000000,ok,31,391,12.612903,360,13.620509,102.110109,10.558650,18:00:18,21:18:35
4,408,42.24764,-71.82689,Orange,inbound,1,PM Late,18:00:00,21:59:59,19;27;33,ok,3,297,0.380471,0.505051,113.000000,150.000000,ok,31,391,12.612903,360,13.604074,100.875270,10.509576,18:00:49,21:19:01
5,409,42.24835,-71.82557,Orange,inbound,1,PM Late,18:00:00,21:59:59,19;27;33,ok,3,297,0.804714,0.515152,239.000000,153.000000,ok,31,413,13.322581,382,13.182548,97.001202,10.270426,18:00:12,21:19:20
6,410,42.24972,-71.82303,Orange,inbound,1,PM Late,18:00:00,21:59:59,19;27;33,ok,3,297,0.767677,0.814815,228.000000,242.000000,ok,31,413,13.322581,382,13.188482,95.116307,10.200278,18:01:00,21:20:00
7,412,42.25139,-71.81993,Orange,inbound,1,PM Late,18:00:00,21:59:59,19;27;33,ok,3,297,0.296296,0.208754,88.000000,62.000000,ok,31,413,13.322581,382,13.105890,96.835159,10.247282,18:03:26,21:21:39
8,413,42.25213,-71.81855,Orange,inbound,1,PM Late,18:00:00,21:59:59,19;27;33,ok,3,297,0.390572,0.195286,116.000000,58.000000,ok,31,413,13.322581,382,13.078621,97.609918,10.270970,18:03:52,21:22:12
9,414,42.25336,-71.81625,Orange,inbound,1,PM Late,18:00:00,21:59:59,19;27;33,ok,3,297,0.245791,0.205387,73.000000,61.000000,ok,31,413,13.322581,382,13.029625,99.131149,10.318880,18:04:39,21:23:12
10,415,42.25429,-71.81474,Orange,inbound,1,PM Late,18:00:00,21:59:59,19;27;33,ok,3,297,0.471380,0.983165,140.000000,292.000000,ok,31,413,13.322581,382,12.997993,100.147543,10.351420,18:05:10,21:23:52
11,416,42.25545,-71.81245,Orange,inbound,1,PM Late,18:00:00,21:59:59,19;27;33,ok,3,297,0.023569,0.164983,7.000000,49.000000,ok,31,413,13.322581,382,12.943455,102.032984,10.413217,18:06:02,21:24:58
12,417,42.25635,-71.81071,Orange,inbound,1,PM Late,18:00:00,21:59:59,19;27;33,ok,3,297,0.666667,0.707071,198.000000,210.000000,ok,31,413,13.322581,382,12.912347,103.121653,10.449315,18:06:31,21:25:34
13,419,42.25772,-71.80814,Orange,inbound,1,PM Late,18:00:00,21:59:59,19;27;33,ok,3,297,0.259259,0.508418,77.000000,151.000000,ok,31,435,14.032258,404,12.849422,99.418553,10.293311,18:01:01,21:26:41
14,420,42.2588,-71.80617,Orange,inbound,1,PM Late,18:00:00,21:59:59,19;27;33,ok,6,297,0.525253,0.703704,156.000000,209.000000,ok,31,435,14.032258,404,12.842203,100.837961,10.347140,18:01:57,21:27:27
15,421,42.25986,-71.80474,Orange,inbound,1,PM Late,18:00:00,21:59:59,19;27;33,ok,3,297,0.292929,0.865320,87.000000,257.000000,ok,31,435,14.032258,404,12.837005,102.323700,10.404000,18:02:48,21:28:10
16,196,42.26308,-71.80221,Orange,inbound,1,PM Late,18:00:00,21:59:59,19;27;33,ok,3,297,0.178451,1.053872,53.000000,313.000000,ok,31,435,14.032258,404,12.821782,106.290021,10.555792,18:05:00,21:30:00
17,1503,42.260898,-71.796662,Orange,inbound,1,PM Late,18:00:00,21:59:59,19;27;33,ok,3,297,0.000000,7.070707,0.000000,2100.000000,ok,31,452,14.580645,421,12.707838,101.498965,10.347477,18:00:00,21:35:00
