stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,404,42.24483,-71.83436,Orange,inbound,1,PM Late Night,22:00:00,23:59:59,19,ok,1,18,0.000000,0.000000,0.000000,0.000000,ok,27,49,1.814815,22,60.000000,0.000000,30.000000,22:00:49,23:00:49
2,405,42.245764,-71.830529,Orange,inbound,1,PM Late Night,22:00:00,23:59:59,19,ok,1,18,0.500000,0.111111,9.000000,2.000000,ok,27,49,1.814815,22,60.000000,0.000000,30.000000,22:02:10,23:02:10
3,407,42.24688,-71.82828,Orange,inbound,1,PM Late Night,22:00:00,23:59:59,19,ok,1,18,0.000000,0.000000,0.000000,0.000000,ok,27,49,1.814815,22,60.000000,0.000000,30.000000,22:03:00,23:03:00
4,408,42.24764,-71.82689,Orange,inbound,1,PM Late Night,22:00:00,23:59:59,19,ok,1,18,0.333333,0.111111,6.000000,2.000000,ok,27,49,1.814815,22,60.000000,0.000000,30.000000,22:03:36,23:03:36
5,409,42.24835,-71.82557,Orange,inbound,1,PM Late Night,22:00:00,23:59:59,19,ok,1,18,0.111111,0.111111,2.000000,2.000000,ok,27,49,1.814815,22,60.000000,0.000000,30.000000,22:04:04,23:04:04
6,410,42.24972,-71.82303,Orange,inbound,1,PM Late Night,22:00:00,23:59:59,19,ok,1,18,0.111111,0.000000,2.000000,0.000000,ok,27,49,1.814815,22,60.000000,0.000000,30.000000,22:05:00,23:05:00
7,412,42.25139,-71.81993,Orange,inbound,1,PM Late Night,22:00:00,23:59:59,19,ok,1,18,0.166667,0.333333,3.000000,6.000000,ok,27,49,1.814815,22,60.000000,0.000000,30.000000,22:06:39,23:06:39
8,413,42.25213,-71.81855,Orange,inbound,1,PM Late Night,22:00:00,23:59:59,19,ok,1,18,0.166667,0.166667,3.000000,3.000000,ok,27,49,1.814815,22,60.000000,0.000000,30.000000,22:07:12,23:07:12
9,414,42.25336,-71.81625,Orange,inbound,1,PM Late Night,22:00:00,23:59:59,19,ok,1,18,0.000000,0.000000,0.000000,0.000000,ok,27,49,1.814815,22,60.000000,0.000000,30.000000,22:08:12,23:08:12
10,415,42.25429,-71.81474,Orange,inbound,1,PM Late Night,22:00:00,23:59:59,19,ok,1,18,0.000000,0.277778,0.000000,5.000000,ok,27,49,1.814815,22,60.000000,0.000000,30.000000,22:08:52,23:08:52
11,416,42.25545,-71.81245,Orange,inbound,1,PM Late Night,22:00:00,23:59:59,19,ok,1,18,0.000000,0.000000,0.000000,0.000000,ok,27,49,1.814815,22,60.000000,0.000000,30.000000,22:09:58,23:09:58
12,417,42.25635,-71.81071,Orange,inbound,1,PM Late Night,22:00:00,23:59:59,19,ok,1,18,0.111111,0.166667,2.000000,3.000000,ok,27,49,1.814815,22,60.000000,0.000000,30.000000,22:10:34,23:10:34
13,419,42.25772,-71.80814,Orange,inbound,1,PM Late Night,22:00:00,23:59:59,19,ok,1,18,0.000000,0.166667,0.000000,3.000000,ok,27,49,1.814815,22,60.000000,0.000000,30.000000,22:11:41,23:11:41
14,420,42.2588,-71.80617,Orange,inbound,1,PM Late Night,22:00:00,23:59:59,19,ok,2,18,0.000000,0.055556,0.000000,1.000000,ok,27,49,1.814815,22,60.000000,0.000000,30.000000,22:12:27,23:12:27
15,421,42.25986,-71.80474,Orange,inbound,1,PM Late Night,22:00:00,23:59:59,19,ok,1,18,0.055556,0.555556,1.000000,10.000000,ok,27,49,1.814815,22,60.000000,0.000000,30.000000,22:13:10,23:13:10
16,196,42.26308,-71.80221,Orange,inbound,1,PM Late Night,22:00:00,23:59:59,19,ok,1,18,0.000000,0.055556,0.000000,1.000000,ok,27,49,1.814815,22,60.000000,0.000000,30.000000,22:15:00,23:15:00
17,1503,42.260898,-71.796662,Orange,inbound,1,PM Late Night,22:00:00,23:59:59,19,ok,1,18,0.000000,4.444444,0.000000,80.000000,ok,27,49,1.814815,22,60.000000,0.000000,30.000000,22:20:00,23:20:00
