stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,404,42.24483,-71.83436,Orange,inbound,1,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,355,0.135211,0.090141,48.000000,32.000000,ok,31,415,13.387097,384,12.384462,111.839751,10.707556,15:15:01,17:58:21
2,405,42.245764,-71.830529,Orange,inbound,1,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,355,2.977465,0.611268,1057.000000,217.000000,ok,31,415,13.387097,384,12.329080,112.221353,10.715624,15:15:58,17:59:29
3,407,42.24688,-71.82828,Orange,inbound,1,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,355,0.194366,0.152113,69.000000,54.000000,ok,31,427,13.774194,396,12.566372,111.391486,10.715312,15:00:11,17:59:17
4,408,42.24764,-71.82689,Orange,inbound,1,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,355,0.498592,0.676056,177.000000,240.000000,ok,31,427,13.774194,396,12.551010,112.084216,10.740652,15:01:02,17:59:48
5,409,42.24835,-71.82557,Orange,inbound,1,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,355,1.188732,0.577465,422.000000,205.000000,ok,31,405,13.064516,374,12.790775,118.211556,11.016357,15:01:41,17:51:56
6,410,42.24972,-71.82303,Orange,inbound,1,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,355,1.639437,0.859155,582.000000,305.000000,ok,31,405,13.064516,374,12.780749,119.615030,11.069874,15:03:00,17:53:00
7,412,42.25139,-71.81993,Orange,inbound,1,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,355,0.453521,0.301408,161.000000,107.000000,ok,31,405,13.064516,374,12.767157,123.795491,11.231780,15:05:09,17:54:59
8,413,42.25213,-71.81855,Orange,inbound,1,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,355,0.560563,0.352113,199.000000,125.000000,ok,31,405,13.064516,374,12.766800,125.290800,11.290299,15:05:48,17:55:39
9,414,42.25336,-71.81625,Orange,inbound,1,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,355,0.577465,0.591549,205.000000,210.000000,ok,31,405,13.064516,374,12.764661,127.583608,11.379863,15:06:58,17:56:50
10,415,42.25429,-71.81474,Orange,inbound,1,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,355,1.115493,1.467606,396.000000,521.000000,ok,31,405,13.064516,374,12.764082,128.067291,11.398747,15:07:45,17:57:38
11,416,42.25545,-71.81245,Orange,inbound,1,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,355,0.053521,0.166197,19.000000,59.000000,ok,31,405,13.064516,374,12.762923,129.252866,11.445069,15:09:03,17:58:58
12,417,42.25635,-71.81071,Orange,inbound,1,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,355,1.070423,1.357746,380.000000,482.000000,ok,31,405,13.064516,374,12.761141,130.106767,11.478342,15:09:46,17:59:41
13,419,42.25772,-71.80814,Orange,inbound,1,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,355,0.495775,0.864789,176.000000,307.000000,ok,31,405,13.064516,374,12.992781,137.643148,11.793299,15:01:01,17:51:05
14,420,42.2588,-71.80617,Orange,inbound,1,PM Peak,15:00:00,17:59:59,19;27;33,ok,6,355,1.332394,1.318310,473.000000,468.000000,ok,31,405,13.064516,374,12.999376,139.163348,11.852381,15:01:57,17:52:00
15,421,42.25986,-71.80474,Orange,inbound,1,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,355,0.718310,1.081690,255.000000,384.000000,ok,31,405,13.064516,374,13.005749,140.810838,11.916282,15:02:48,17:52:50
16,196,42.26308,-71.80221,Orange,inbound,1,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,355,0.532394,2.230986,189.000000,792.000000,ok,31,405,13.064516,374,13.021390,145.438045,12.095277,15:05:00,17:55:00
17,1503,42.260898,-71.796662,Orange,inbound,1,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,355,0.000000,12.647887,0.000000,4490.000000,ok,31,393,12.677419,362,13.701657,157.015964,12.580645,15:00:00,17:55:00
