stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Orange,outbound,0,AM Early,04:00:00,05:59:59,19;27;33,ok,3,55,2.036364,0.000000,112.000000,0.000000,ok,22,66,3.000000,44,27.500000,156.250000,16.590909,04:50:00,05:45:00
2,1508,42.26111,-71.79987,Orange,outbound,0,AM Early,04:00:00,05:59:59,19;27;33,ok,3,55,0.000000,0.018182,0.000000,1.000000,ok,22,66,3.000000,44,27.333333,152.111111,16.449187,04:53:00,05:47:40
3,24,42.26178,-71.80149,Orange,outbound,0,AM Early,04:00:00,05:59:59,19;27,ok,2,38,0.052632,0.000000,2.000000,0.000000,ok,22,44,2.000000,22,15.000000,0.000000,7.500000,05:33:00,05:48:00
4,442,42.26082,-71.80386,Orange,outbound,0,AM Early,04:00:00,05:59:59,19;27;33,ok,3,55,0.854545,0.036364,47.000000,2.000000,ok,22,66,3.000000,44,27.687879,164.383578,16.812451,04:53:54,05:49:17
5,444,42.25807,-71.80762,Orange,outbound,0,AM Early,04:00:00,05:59:59,19;27;33,ok,3,55,0.418182,0.090909,23.000000,5.000000,ok,22,66,3.000000,44,28.031061,177.719616,17.185578,04:54:43,05:50:49
6,445,42.25677,-71.81008,Orange,outbound,0,AM Early,04:00:00,05:59:59,19;27;33,ok,3,55,0.345455,0.000000,19.000000,0.000000,ok,22,66,3.000000,44,28.253409,186.872166,17.433777,04:55:13,05:51:45
7,447,42.25565,-71.81225,Orange,outbound,0,AM Early,04:00:00,05:59:59,19;27;33,ok,3,55,0.127273,0.000000,7.000000,0.000000,ok,22,66,3.000000,44,28.446970,194.984019,17.650634,04:55:40,05:52:35
8,448,42.2544,-71.81473,Orange,outbound,0,AM Early,04:00:00,05:59:59,19;27;33,ok,3,55,1.036364,0.036364,57.000000,2.000000,ok,22,66,3.000000,44,28.686742,204.588707,17.909282,04:56:11,05:53:35
9,449,42.25362,-71.81601,Orange,outbound,0,AM Early,04:00:00,05:59:59,19;27;33,ok,3,55,0.127273,0.000000,7.000000,0.000000,ok,22,66,3.000000,44,28.793182,209.571052,18.035839,04:56:27,05:54:04
10,450,42.25246,-71.81816,Orange,outbound,0,AM Early,04:00:00,05:59:59,19;27;33,ok,3,55,0.000000,0.000000,0.000000,0.000000,ok,22,66,3.000000,44,29.011742,218.402570,18.269909,04:56:55,05:54:58
11,451,42.25138,-71.82017,Orange,outbound,0,AM Early,04:00:00,05:59:59,19;27;33,ok,3,55,0.127273,0.218182,7.000000,12.000000,ok,22,66,3.000000,44,29.198864,226.970813,18.486070,04:57:20,05:55:45
12,452,42.24994,-71.82285,Orange,outbound,0,AM Early,04:00:00,05:59:59,19;27;33,ok,3,55,0.072727,0.145455,4.000000,8.000000,ok,22,66,3.000000,44,29.500000,240.250000,18.822034,04:58:00,05:57:00
13,453,42.24928,-71.82404,Orange,outbound,0,AM Early,04:00:00,05:59:59,19;27;33,ok,3,55,0.036364,0.145455,2.000000,8.000000,ok,22,66,3.000000,44,29.435985,239.815946,18.791509,04:58:27,05:57:20
14,455,42.24766,-71.82706,Orange,outbound,0,AM Early,04:00:00,05:59:59,19;27;33,ok,3,55,0.163636,0.036364,9.000000,2.000000,ok,22,66,3.000000,44,29.287500,239.349635,18.729958,04:59:25,05:58:02
15,456,42.24669,-71.8288,Orange,outbound,0,AM Early,04:00:00,05:59:59,19;27;33,ok,3,55,0.072727,0.000000,4.000000,0.000000,ok,22,66,3.000000,44,29.195076,239.066674,18.691836,05:00:07,05:58:32
16,457,42.24546,-71.83141,Orange,outbound,0,AM Early,04:00:00,05:59:59,19;27;33,ok,3,55,0.218182,0.072727,12.000000,4.000000,ok,22,66,3.000000,44,29.061742,239.066674,18.643953,05:01:05,05:59:14
17,459,42.244708,-71.835516,Orange,outbound,0,AM Early,04:00:00,05:59:59,19;33,ok,3,55,0.000000,0.036364,0.000000,2.000000,ok,22,44,2.000000,22,44.338636,0.000439,22.169323,05:02:28,05:46:49
