stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Orange,outbound,0,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,326,8.079755,0.000000,2634.000000,0.000000,ok,27,360,13.333333,333,13.003003,102.693685,10.450346,06:00:00,08:45:00
2,1508,42.26111,-71.79987,Orange,outbound,0,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,181,0.093923,0.110497,17.000000,20.000000,ok,27,201,7.444444,174,21.867816,167.238594,14.757760,06:07:40,08:42:40
3,24,42.26178,-71.80149,Orange,outbound,0,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,307,0.824104,0.179153,253.000000,55.000000,ok,27,338,12.518519,311,13.922830,111.299511,10.958430,06:03:00,08:48:00
4,442,42.26082,-71.80386,Orange,outbound,0,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,326,0.699387,0.245399,228.000000,80.000000,ok,27,360,13.333333,333,13.012913,101.166126,10.393600,06:04:25,08:49:34
5,444,42.25807,-71.80762,Orange,outbound,0,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,326,0.638037,0.671779,208.000000,219.000000,ok,27,360,13.333333,333,13.024174,100.315769,10.363225,06:06:07,08:51:26
6,445,42.25677,-71.81008,Orange,outbound,0,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,326,0.582822,0.352761,190.000000,115.000000,ok,27,360,13.333333,333,13.030531,99.885317,10.348007,06:07:10,08:52:35
7,447,42.25565,-71.81225,Orange,outbound,0,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,326,0.257669,0.343558,84.000000,112.000000,ok,27,360,13.333333,333,13.036887,99.516792,10.335183,06:08:06,08:53:37
8,448,42.2544,-71.81473,Orange,outbound,0,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,326,0.552147,0.579755,180.000000,189.000000,ok,27,360,13.333333,333,13.043994,99.142693,10.322317,06:09:12,08:54:49
9,449,42.25362,-71.81601,Orange,outbound,0,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,326,0.395706,0.187117,129.000000,61.000000,ok,27,360,13.333333,333,13.047898,98.892969,10.313562,06:09:45,08:55:26
10,450,42.25246,-71.81816,Orange,outbound,0,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,326,0.165644,0.561350,54.000000,183.000000,ok,27,360,13.333333,333,13.054755,98.609765,10.304153,06:10:44,08:56:31
11,451,42.25138,-71.82017,Orange,outbound,0,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,326,0.257669,0.180982,84.000000,59.000000,ok,27,360,13.333333,333,13.060010,98.316690,10.294041,06:11:37,08:57:29
12,452,42.24994,-71.82285,Orange,outbound,0,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,326,0.552147,0.880368,180.000000,287.000000,ok,27,360,13.333333,333,13.069069,97.986220,10.283318,06:13:00,08:59:00
13,453,42.24928,-71.82404,Orange,outbound,0,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,326,0.303681,0.407975,99.000000,133.000000,ok,27,360,13.333333,333,13.069169,97.450564,10.262846,06:13:23,08:59:19
14,455,42.24766,-71.82706,Orange,outbound,0,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,326,0.380368,0.883436,124.000000,288.000000,ok,27,343,12.703704,316,13.396783,99.375710,10.407331,06:14:13,08:53:02
15,456,42.24669,-71.8288,Orange,outbound,0,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,326,0.101227,0.312883,33.000000,102.000000,ok,27,343,12.703704,316,13.397574,98.524119,10.375726,06:14:48,08:53:32
16,457,42.24546,-71.83141,Orange,outbound,0,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,326,0.570552,1.245399,186.000000,406.000000,ok,27,343,12.703704,316,13.397785,97.467005,10.336322,06:15:38,08:54:14
17,459,42.244708,-71.835516,Orange,outbound,0,AM Peak,06:00:00,08:59:59,19;27;33,ok,3,319,0.056426,0.300940,18.000000,96.000000,ok,27,355,13.148148,328,14.020579,131.377589,11.695459,06:00:14,08:55:14
