stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Orange,outbound,0,Midday,09:00:00,14:59:59,19;27;33,ok,3,734,15.408719,0.000000,11310.000000,0.000000,ok,31,849,27.387097,818,13.276284,110.781858,10.810313,09:00:00,14:55:00
2,1508,42.26111,-71.79987,Orange,outbound,0,Midday,09:00:00,14:59:59,19;27,ok,2,508,0.362205,0.299213,184.000000,152.000000,ok,31,585,18.870968,554,19.287004,153.868892,13.632429,09:02:40,14:57:40
3,24,42.26178,-71.80149,Orange,outbound,0,Midday,09:00:00,14:59:59,19;27;33,ok,3,735,2.510204,0.531973,1845.000000,391.000000,ok,31,849,27.387097,818,13.276284,109.297750,10.754420,09:03:00,14:58:00
4,442,42.26082,-71.80386,Orange,outbound,0,Midday,09:00:00,14:59:59,19;27;33,ok,3,735,1.517007,0.737415,1115.000000,542.000000,ok,31,849,27.387097,818,13.275469,108.835759,10.736865,09:04:00,14:59:25
5,444,42.25807,-71.80762,Orange,outbound,0,Midday,09:00:00,14:59:59,19;27;33,ok,3,735,2.838095,2.556463,2086.000000,1879.000000,ok,31,827,26.677419,796,13.277492,110.151686,10.786807,09:05:11,14:55:11
6,445,42.25677,-71.81008,Orange,outbound,0,Midday,09:00:00,14:59:59,19;27;33,ok,3,735,0.908844,0.877551,668.000000,645.000000,ok,31,827,26.677419,796,13.278894,109.772773,10.772802,09:05:55,14:55:55
7,447,42.25565,-71.81225,Orange,outbound,0,Midday,09:00:00,14:59:59,19;27;33,ok,3,735,0.612245,1.106122,450.000000,813.000000,ok,31,827,26.677419,796,13.280402,109.455548,10.761144,09:06:34,14:56:34
8,448,42.2544,-71.81473,Orange,outbound,0,Midday,09:00:00,14:59:59,19;27;33,ok,3,735,1.151020,2.040816,846.000000,1500.000000,ok,31,827,26.677419,796,13.281910,109.150529,10.749947,09:07:20,14:57:20
9,449,42.25362,-71.81601,Orange,outbound,0,Midday,09:00:00,14:59:59,19;27;33,ok,3,735,0.496599,0.504762,365.000000,371.000000,ok,31,827,26.677419,796,13.282915,108.953965,10.742740,09:07:43,14:57:43
10,450,42.25246,-71.81816,Orange,outbound,0,Midday,09:00:00,14:59:59,19;27;33,ok,3,735,0.473469,0.857143,348.000000,630.000000,ok,31,827,26.677419,796,13.284527,108.713592,10.734001,09:08:25,14:58:25
11,451,42.25138,-71.82017,Orange,outbound,0,Midday,09:00:00,14:59:59,19;27;33,ok,3,735,0.281633,0.499320,207.000000,367.000000,ok,31,827,26.677419,796,13.285678,108.441386,10.723978,09:09:02,14:59:02
12,452,42.24994,-71.82285,Orange,outbound,0,Midday,09:00:00,14:59:59,19;27;33,ok,3,735,0.854422,1.983673,628.000000,1458.000000,ok,31,823,26.548387,792,13.253788,108.411602,10.716729,09:10:00,14:59:00
13,453,42.24928,-71.82404,Orange,outbound,0,Midday,09:00:00,14:59:59,19;27;33,ok,3,735,0.385034,0.661224,283.000000,486.000000,ok,31,823,26.548387,792,13.252609,108.012787,10.701456,09:10:40,14:59:19
14,455,42.24766,-71.82706,Orange,outbound,0,Midday,09:00:00,14:59:59,19;27;33,ok,3,735,0.715646,1.797279,526.000000,1321.000000,ok,31,823,26.548387,792,13.224200,107.182389,10.664609,09:00:01,14:44:37
15,456,42.24669,-71.8288,Orange,outbound,0,Midday,09:00:00,14:59:59,19;27;33,ok,3,735,0.250340,0.919728,184.000000,676.000000,ok,31,823,26.548387,792,13.231418,106.788438,10.651121,09:00:30,14:45:25
16,457,42.24546,-71.83141,Orange,outbound,0,Midday,09:00:00,14:59:59,19;27;33,ok,3,735,0.931973,3.031293,685.000000,2228.000000,ok,31,823,26.548387,792,13.240425,106.431657,10.639406,09:01:12,14:46:31
17,459,42.244708,-71.835516,Orange,outbound,0,Midday,09:00:00,14:59:59,19;27;33,ok,3,710,0.167606,0.591549,119.000000,420.000000,ok,31,793,25.580645,762,13.545319,117.674429,11.116390,09:02:11,14:48:06
