stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Orange,outbound,0,PM Late,18:00:00,21:59:59,19;27;33,ok,3,303,11.910891,0.000000,3609.000000,0.000000,ok,27,365,13.518519,338,16.198225,119.644139,11.792237,18:00:00,21:45:00
2,1508,42.26111,-71.79987,Orange,outbound,0,PM Late,18:00:00,21:59:59,19;27;33,ok,3,207,0.285024,0.106280,59.000000,22.000000,ok,27,252,9.333333,225,21.511111,258.760494,16.770133,18:02:40,21:17:40
3,24,42.26178,-71.80149,Orange,outbound,0,PM Late,18:00:00,21:59:59,19;27;33,ok,3,285,1.182456,0.192982,337.000000,55.000000,ok,27,343,12.703704,316,17.325949,108.434896,11.792237,18:03:00,21:48:00
4,442,42.26082,-71.80386,Orange,outbound,0,PM Late,18:00:00,21:59:59,19;27;33,ok,3,303,0.808581,0.537954,245.000000,163.000000,ok,27,365,13.518519,338,16.179191,119.023722,11.767892,18:04:25,21:49:00
5,444,42.25807,-71.80762,Orange,outbound,0,PM Late,18:00:00,21:59:59,19;27;33,ok,3,303,1.132013,1.042904,343.000000,316.000000,ok,27,365,13.518519,338,16.159073,118.488920,11.745864,18:06:07,21:50:11
6,445,42.25677,-71.81008,Orange,outbound,0,PM Late,18:00:00,21:59:59,19;27;33,ok,3,303,0.650165,0.511551,197.000000,155.000000,ok,27,365,13.518519,338,16.147732,117.897656,11.724461,18:07:10,21:50:55
7,447,42.25565,-71.81225,Orange,outbound,0,PM Late,18:00:00,21:59:59,19;27;33,ok,3,303,0.409241,0.768977,124.000000,233.000000,ok,27,365,13.518519,338,16.137870,117.374324,11.705546,18:08:06,21:51:34
8,448,42.2544,-71.81473,Orange,outbound,0,PM Late,18:00:00,21:59:59,19;27;33,ok,3,303,0.594059,1.280528,180.000000,388.000000,ok,27,365,13.518519,338,16.127071,116.784695,11.684301,18:09:12,21:52:20
9,449,42.25362,-71.81601,Orange,outbound,0,PM Late,18:00:00,21:59:59,19;27;33,ok,3,303,0.231023,0.399340,70.000000,121.000000,ok,27,365,13.518519,338,16.120661,116.535011,11.674792,18:09:45,21:52:43
10,450,42.25246,-71.81816,Orange,outbound,0,PM Late,18:00:00,21:59:59,19;27;33,ok,3,303,0.310231,0.627063,94.000000,190.000000,ok,27,365,13.518519,338,16.111686,116.057274,11.657492,18:10:44,21:53:25
11,451,42.25138,-71.82017,Orange,outbound,0,PM Late,18:00:00,21:59:59,19;27;33,ok,3,303,0.161716,0.561056,49.000000,170.000000,ok,27,365,13.518519,338,16.102120,115.632669,11.641664,18:11:37,21:54:02
12,452,42.24994,-71.82285,Orange,outbound,0,PM Late,18:00:00,21:59:59,19;27;33,ok,3,303,0.524752,2.330033,159.000000,706.000000,ok,27,365,13.518519,338,16.088757,115.009874,11.618610,18:13:00,21:55:00
13,453,42.24928,-71.82404,Orange,outbound,0,PM Late,18:00:00,21:59:59,19;27;33,ok,3,303,0.330033,0.940594,100.000000,285.000000,ok,27,365,13.518519,338,16.075986,115.290525,11.623793,18:13:28,21:55:25
14,455,42.24766,-71.82706,Orange,outbound,0,PM Late,18:00:00,21:59:59,19;27;33,ok,3,303,0.293729,1.488449,89.000000,451.000000,ok,27,365,13.518519,338,16.050690,115.840090,11.633916,18:14:29,21:56:18
15,456,42.24669,-71.8288,Orange,outbound,0,PM Late,18:00:00,21:59:59,19;27;33,ok,3,303,0.052805,0.640264,16.000000,194.000000,ok,27,365,13.518519,338,16.032002,116.283158,11.642596,18:15:12,21:56:56
16,457,42.24546,-71.83141,Orange,outbound,0,PM Late,18:00:00,21:59:59,19;27;33,ok,3,303,0.356436,1.415842,108.000000,429.000000,ok,27,365,13.518519,338,16.006509,116.869083,11.653928,18:16:12,21:57:49
17,459,42.244708,-71.835516,Orange,outbound,0,PM Late,18:00:00,21:59:59,19;27;33,ok,3,280,0.053571,0.235714,15.000000,66.000000,ok,27,340,12.592593,313,15.625240,140.736969,12.316134,18:18:49,21:35:49
