stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Orange,outbound,0,PM Late Night,22:00:00,23:59:59,19,ok,1,20,10.400000,0.000000,208.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,22:20:00,22:20:00
2,1508,42.26111,-71.79987,Orange,outbound,0,PM Late Night,22:00:00,23:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
3,24,42.26178,-71.80149,Orange,outbound,0,PM Late Night,22:00:00,23:59:59,19,ok,1,20,1.250000,0.150000,25.000000,3.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,22:23:00,22:23:00
4,442,42.26082,-71.80386,Orange,outbound,0,PM Late Night,22:00:00,23:59:59,19,ok,1,20,0.550000,1.400000,11.000000,28.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,22:24:17,22:24:17
5,444,42.25807,-71.80762,Orange,outbound,0,PM Late Night,22:00:00,23:59:59,19,ok,1,20,0.550000,0.900000,11.000000,18.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,22:25:49,22:25:49
6,445,42.25677,-71.81008,Orange,outbound,0,PM Late Night,22:00:00,23:59:59,19,ok,1,20,0.300000,0.400000,6.000000,8.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,22:26:45,22:26:45
7,447,42.25565,-71.81225,Orange,outbound,0,PM Late Night,22:00:00,23:59:59,19,ok,1,20,0.200000,0.550000,4.000000,11.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,22:27:35,22:27:35
8,448,42.2544,-71.81473,Orange,outbound,0,PM Late Night,22:00:00,23:59:59,19,ok,1,20,0.200000,0.500000,4.000000,10.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,22:28:35,22:28:35
9,449,42.25362,-71.81601,Orange,outbound,0,PM Late Night,22:00:00,23:59:59,19,ok,1,20,0.050000,0.150000,1.000000,3.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,22:29:04,22:29:04
10,450,42.25246,-71.81816,Orange,outbound,0,PM Late Night,22:00:00,23:59:59,19,ok,1,20,0.000000,2.250000,0.000000,45.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,22:29:58,22:29:58
11,451,42.25138,-71.82017,Orange,outbound,0,PM Late Night,22:00:00,23:59:59,19,ok,1,20,0.150000,0.650000,3.000000,13.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,22:30:45,22:30:45
12,452,42.24994,-71.82285,Orange,outbound,0,PM Late Night,22:00:00,23:59:59,19,ok,1,20,0.050000,1.450000,1.000000,29.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,22:32:00,22:32:00
13,453,42.24928,-71.82404,Orange,outbound,0,PM Late Night,22:00:00,23:59:59,19,ok,1,20,0.100000,0.350000,2.000000,7.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,22:32:23,22:32:23
14,455,42.24766,-71.82706,Orange,outbound,0,PM Late Night,22:00:00,23:59:59,19,ok,1,20,0.000000,1.100000,0.000000,22.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,22:33:13,22:33:13
15,456,42.24669,-71.8288,Orange,outbound,0,PM Late Night,22:00:00,23:59:59,19,ok,1,20,0.050000,0.000000,1.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,22:33:48,22:33:48
16,457,42.24546,-71.83141,Orange,outbound,0,PM Late Night,22:00:00,23:59:59,19,ok,1,20,0.150000,0.350000,3.000000,7.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,22:34:38,22:34:38
17,459,42.244708,-71.835516,Orange,outbound,0,PM Late Night,22:00:00,23:59:59,19,ok,1,20,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,22:35:49,22:35:49
