stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Orange,outbound,0,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,335,16.310448,0.000000,5464.000000,0.000000,ok,31,393,12.677419,362,12.845304,96.462257,10.177419,15:00:00,17:40:00
2,1508,42.26111,-71.79987,Orange,outbound,0,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,229,0.689956,0.279476,158.000000,64.000000,ok,31,273,8.806452,242,17.190083,132.620434,12.452511,15:02:40,17:42:40
3,24,42.26178,-71.80149,Orange,outbound,0,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,315,2.819048,0.314286,888.000000,99.000000,ok,31,371,11.967742,340,13.676471,95.183564,10.318065,15:03:00,17:43:00
4,442,42.26082,-71.80386,Orange,outbound,0,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,335,1.244776,0.758209,417.000000,254.000000,ok,31,393,12.677419,362,12.845304,97.178980,10.205318,15:04:17,17:44:42
5,444,42.25807,-71.80762,Orange,outbound,0,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,335,2.188060,2.202985,733.000000,738.000000,ok,31,415,13.387097,384,12.432118,94.721207,10.025595,15:01:07,17:46:45
6,445,42.25677,-71.81008,Orange,outbound,0,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,335,0.820896,1.008955,275.000000,338.000000,ok,31,415,13.387097,384,12.443576,94.816866,10.031660,15:02:10,17:48:00
7,447,42.25565,-71.81225,Orange,outbound,0,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,335,0.510448,1.226866,171.000000,411.000000,ok,31,415,13.387097,384,12.454080,94.934816,10.038434,15:03:06,17:49:07
8,448,42.2544,-71.81473,Orange,outbound,0,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,335,1.044776,2.020896,350.000000,677.000000,ok,31,415,13.387097,384,12.467448,95.149849,10.049655,15:04:12,17:50:27
9,449,42.25362,-71.81601,Orange,outbound,0,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,335,0.283582,0.761194,95.000000,255.000000,ok,31,415,13.387097,384,12.473177,95.266992,10.055463,15:04:45,17:51:06
10,450,42.25246,-71.81816,Orange,outbound,0,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,335,0.441791,1.020896,148.000000,342.000000,ok,31,415,13.387097,384,12.484635,95.508928,10.067376,15:05:44,17:52:17
11,451,42.25138,-71.82017,Orange,outbound,0,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,335,0.256716,0.728358,86.000000,244.000000,ok,31,415,13.387097,384,12.495139,95.796802,10.080932,15:06:37,17:53:21
12,452,42.24994,-71.82285,Orange,outbound,0,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,335,1.014925,2.889552,340.000000,968.000000,ok,31,419,13.516129,388,12.793814,103.045116,10.424053,15:00:00,17:55:00
13,453,42.24928,-71.82404,Orange,outbound,0,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,335,0.552239,1.092537,185.000000,366.000000,ok,31,419,13.516129,388,12.778608,104.096083,10.462364,15:00:40,17:55:23
14,455,42.24766,-71.82706,Orange,outbound,0,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,335,0.668657,1.800000,224.000000,603.000000,ok,31,436,14.064516,405,12.626584,102.180326,10.359530,15:00:01,17:56:13
15,456,42.24669,-71.8288,Orange,outbound,0,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,335,0.179104,0.755224,60.000000,253.000000,ok,31,436,14.064516,405,12.622757,103.228624,10.400367,15:00:30,17:56:48
16,457,42.24546,-71.83141,Orange,outbound,0,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,335,0.805970,2.155224,270.000000,722.000000,ok,31,436,14.064516,405,12.617243,104.320732,10.442676,15:01:12,17:57:38
17,459,42.244708,-71.835516,Orange,outbound,0,PM Peak,15:00:00,17:59:59,19;27;33,ok,3,321,0.161994,0.386293,52.000000,124.000000,ok,31,421,13.580645,390,13.095641,112.450025,10.841235,15:02:11,17:58:49
