stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,service_type,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,service_day_count,total_arrivals,mean_arrivals_per_service_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1124,42.24153,-71.754266,Blue,inbound,1,saturday,5,ok,1,20,0.147500,0.026667,2.950000,0.533333,ok,21,231,11.000000,210,72.000000,576.000000,40.000000,06:33:01,18:33:01
2,1125,42.243605,-71.756301,Blue,inbound,1,saturday,5,ok,1,20,0.110000,0.016667,2.200000,0.333333,ok,21,231,11.000000,210,72.000000,576.000000,40.000000,06:33:39,18:33:39
3,1127,42.245281,-71.75894,Blue,inbound,1,saturday,5,ok,1,20,0.010000,0.018333,0.200000,0.366667,ok,21,231,11.000000,210,72.000000,576.000000,40.000000,06:34:19,18:34:19
4,1855,42.247021,-71.758556,Blue,inbound,1,saturday,5,ok,1,20,1.931667,0.062500,38.633333,1.250000,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:35:00,20:20:00
5,1130,42.24854,-71.762023,Blue,inbound,1,saturday,5,ok,1,20,0.361667,0.008333,7.233333,0.166667,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:36:00,20:21:00
6,1131,42.250605,-71.764928,Blue,inbound,1,saturday,5,ok,1,20,0.093333,0.000000,1.866667,0.000000,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:36:40,20:21:40
7,1132,42.250686,-71.76854,Blue,inbound,1,saturday,5,ok,1,20,0.320833,0.020000,6.416667,0.400000,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:37:21,20:22:21
8,1133,42.250893,-71.772395,Blue,inbound,1,saturday,5,ok,1,20,0.125833,0.051667,2.516667,1.033333,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:38:20,20:23:20
9,1134,42.250526,-71.773555,Blue,inbound,1,saturday,5,ok,1,20,0.000000,0.000000,0.000000,0.000000,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:38:39,20:23:39
10,1135,42.250225,-71.775311,Blue,inbound,1,saturday,5,ok,1,20,0.094167,0.010000,1.883333,0.200000,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:39:10,20:24:10
11,1136,42.250961,-71.777104,Blue,inbound,1,saturday,5,ok,1,20,0.035000,0.076667,0.700000,1.533333,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:39:41,20:24:41
12,1137,42.251051,-71.778561,Blue,inbound,1,saturday,5,ok,1,20,0.218333,0.264167,4.366667,5.283333,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:40:02,20:25:02
13,1138,42.251006,-71.779714,Blue,inbound,1,saturday,5,ok,1,20,0.000000,0.025000,0.000000,0.500000,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:40:17,20:25:17
14,584,42.25173,-71.78204,Blue,inbound,1,saturday,5,ok,1,20,0.427500,0.196667,8.550000,3.933333,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:40:55,20:25:55
15,1139,42.252688,-71.782606,Blue,inbound,1,saturday,5,ok,1,20,0.020000,0.026667,0.400000,0.533333,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:41:14,20:26:14
16,1140,42.254396,-71.78364,Blue,inbound,1,saturday,5,ok,1,20,0.113333,0.035000,2.266667,0.700000,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:41:38,20:26:38
17,1141,42.255231,-71.784633,Blue,inbound,1,saturday,5,ok,1,20,0.000000,0.000000,0.000000,0.000000,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:41:56,20:26:56
18,342,42.25602,-71.78568,Blue,inbound,1,saturday,5,ok,1,20,0.726667,0.326667,14.533333,6.533333,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:43:00,20:28:00
19,343,42.256202,-71.78763,Blue,inbound,1,saturday,5,ok,1,20,0.819167,0.063333,16.383333,1.266667,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:43:53,20:28:53
20,344,42.25647,-71.78924,Blue,inbound,1,saturday,5,ok,1,20,0.649167,0.190000,12.983333,3.800000,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:45:10,20:30:10
21,345,42.25728,-71.79106,Blue,inbound,1,saturday,5,ok,1,20,0.055833,0.028333,1.116667,0.566667,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:46:23,20:31:23
22,21,42.25971,-71.79366,Blue,inbound,1,saturday,5,ok,1,20,0.000000,0.166667,0.000000,3.333333,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:48:58,20:33:58
23,1612,42.26021,-71.79519,Blue,inbound,1,saturday,5,ok,1,20,0.041667,0.174167,0.833333,3.483333,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:50:30,20:35:30
24,1503,42.260898,-71.796662,Blue,inbound,1,saturday,5,ok,1,20,0.000000,5.800000,0.000000,115.999998,ok,21,252,12.000000,231,75.000000,613.636364,41.590909,06:53:00,20:38:00
