stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,service_type,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,service_day_count,total_arrivals,mean_arrivals_per_service_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1124,42.24153,-71.754266,Blue,inbound,1,sunday,5,ok,1,10,0.200000,0.066667,2.000000,0.666667,ok,21,147,7.000000,126,60.000000,0.000000,30.000000,10:38:36,16:38:36
2,1125,42.243605,-71.756301,Blue,inbound,1,sunday,5,ok,1,10,0.100000,0.000000,1.000000,0.000000,ok,21,147,7.000000,126,60.000000,0.000000,30.000000,10:39:41,16:39:41
3,1127,42.245281,-71.75894,Blue,inbound,1,sunday,5,ok,1,10,0.000000,0.033333,0.000000,0.333333,ok,21,147,7.000000,126,60.000000,0.000000,30.000000,10:40:50,16:40:50
4,1855,42.247021,-71.758556,Blue,inbound,1,sunday,5,ok,1,10,1.716667,0.116667,17.166666,1.166667,ok,21,168,8.000000,147,57.285714,44.204082,29.028678,10:42:00,17:23:00
5,1130,42.24854,-71.762023,Blue,inbound,1,sunday,5,ok,1,10,0.500000,0.066667,5.000000,0.666667,ok,21,168,8.000000,147,57.266667,44.826667,29.024719,10:43:00,17:23:52
6,1131,42.250605,-71.764928,Blue,inbound,1,sunday,5,ok,1,10,0.150000,0.016667,1.500000,0.166667,ok,21,168,8.000000,147,57.254762,45.217993,29.022265,10:43:40,17:24:27
7,1132,42.250686,-71.76854,Blue,inbound,1,sunday,5,ok,1,10,0.433333,0.000000,4.333333,0.000000,ok,21,168,8.000000,147,57.242857,45.611020,29.019828,10:44:21,17:25:03
8,1133,42.250893,-71.772395,Blue,inbound,1,sunday,5,ok,1,10,0.116667,0.150000,1.166667,1.500000,ok,21,168,8.000000,147,57.226190,46.164116,29.016443,10:45:20,17:25:55
9,1134,42.250526,-71.773555,Blue,inbound,1,sunday,5,ok,1,10,0.016667,0.000000,0.166667,0.000000,ok,21,168,8.000000,147,57.219048,46.402177,29.015002,10:45:39,17:26:11
10,1135,42.250225,-71.775311,Blue,inbound,1,sunday,5,ok,1,10,0.116667,0.000000,1.166667,0.000000,ok,21,168,8.000000,147,57.211905,46.640850,29.013567,10:46:10,17:26:39
11,1136,42.250961,-71.777104,Blue,inbound,1,sunday,5,ok,1,10,0.000000,0.016667,0.000000,0.166667,ok,21,168,8.000000,147,57.202381,46.960034,29.011663,10:46:41,17:27:06
12,1137,42.251051,-71.778561,Blue,inbound,1,sunday,5,ok,1,10,0.300000,0.200000,3.000000,2.000000,ok,21,168,8.000000,147,57.195238,47.200136,29.010242,10:47:02,17:27:24
13,1138,42.251006,-71.779714,Blue,inbound,1,sunday,5,ok,1,10,0.016667,0.000000,0.166667,0.000000,ok,21,168,8.000000,147,57.190476,47.360544,29.009298,10:47:17,17:27:37
14,584,42.25173,-71.78204,Blue,inbound,1,sunday,5,ok,1,10,0.483333,0.133333,4.833333,1.333333,ok,21,168,8.000000,147,57.180952,47.682177,29.007417,10:47:55,17:28:11
15,1139,42.252688,-71.782606,Blue,inbound,1,sunday,5,ok,1,10,0.033333,0.050000,0.333333,0.500000,ok,21,168,8.000000,147,57.173810,47.924116,29.006014,10:48:14,17:28:27
16,1140,42.254396,-71.78364,Blue,inbound,1,sunday,5,ok,1,10,0.016667,0.283333,0.166667,2.833333,ok,21,168,8.000000,147,57.166667,48.166667,29.004616,10:48:38,17:28:48
17,1141,42.255231,-71.784633,Blue,inbound,1,sunday,5,ok,1,10,0.000000,0.000000,0.000000,0.000000,ok,21,168,8.000000,147,57.161905,48.328707,29.003688,10:48:56,17:29:04
18,342,42.25602,-71.78568,Blue,inbound,1,sunday,5,ok,1,10,1.016667,0.233333,10.166666,2.333333,ok,21,168,8.000000,147,57.142857,48.979592,29.000000,10:50:00,17:30:00
19,343,42.256202,-71.78763,Blue,inbound,1,sunday,5,ok,1,10,0.483333,0.166667,4.833333,1.666667,ok,21,168,8.000000,147,57.078571,51.208469,28.987864,10:50:53,17:30:26
20,344,42.25647,-71.78924,Blue,inbound,1,sunday,5,ok,1,10,0.416667,0.216667,4.166667,2.166667,ok,21,168,8.000000,147,56.988095,54.429422,28.971598,10:52:10,17:31:05
21,345,42.25728,-71.79106,Blue,inbound,1,sunday,5,ok,1,10,0.033333,0.000000,0.333333,0.000000,ok,21,168,8.000000,147,56.900000,57.660000,28.956678,10:53:23,17:31:41
22,21,42.25971,-71.79366,Blue,inbound,1,sunday,5,ok,1,10,0.000000,0.433333,0.000000,4.333333,ok,21,168,8.000000,147,56.716667,64.681667,28.928551,10:55:58,17:32:59
23,1612,42.26021,-71.79519,Blue,inbound,1,sunday,5,ok,1,10,0.050000,0.133333,0.500000,1.333333,ok,21,168,8.000000,147,56.607143,69.068878,28.913644,10:57:30,17:33:45
24,1503,42.260898,-71.796662,Blue,inbound,1,sunday,5,ok,1,10,0.000000,5.533333,0.000000,55.333332,ok,21,168,8.000000,147,56.428571,76.530612,28.892405,11:00:00,17:35:00
