stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,service_type,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,service_day_count,total_arrivals,mean_arrivals_per_service_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1124,42.24153,-71.754266,Blue,inbound,1,weekday,5;12,ok,2,36,0.158467,0.055701,5.704814,2.005237,ok,104,3694,35.519231,3590,26.960891,244.819069,18.020709,05:33:01,21:07:49
2,1125,42.243605,-71.756301,Blue,inbound,1,weekday,5;12,ok,2,36,0.424033,0.035876,15.265203,1.291527,ok,104,3694,35.519231,3590,26.962312,244.448280,18.014304,05:33:39,21:08:30
3,1127,42.245281,-71.75894,Blue,inbound,1,weekday,5;12,ok,2,36,0.015942,0.000000,0.573913,0.000000,ok,104,3694,35.519231,3590,26.964680,243.907207,18.005056,05:34:19,21:09:15
4,1855,42.247021,-71.758556,Blue,inbound,1,weekday,5;12,ok,2,36,2.071757,0.209498,74.583253,7.541917,ok,104,3696,35.538462,3592,27.010022,246.858474,18.074768,05:35:00,21:10:00
5,1130,42.24854,-71.762023,Blue,inbound,1,weekday,5;12,ok,2,36,0.391526,0.008434,14.094940,0.303623,ok,104,3696,35.538462,3592,27.010022,245.751565,18.054277,05:36:00,21:11:00
6,1131,42.250605,-71.764928,Blue,inbound,1,weekday,5;12,ok,2,36,0.138496,0.018542,4.985860,0.667523,ok,104,3696,35.538462,3592,27.010022,244.763259,18.035982,05:36:40,21:11:40
7,1132,42.250686,-71.76854,Blue,inbound,1,weekday,5;12,ok,2,36,0.444288,0.047168,15.994353,1.698038,ok,104,3696,35.538462,3592,27.010022,244.050461,18.022787,05:37:21,21:12:21
8,1133,42.250893,-71.772395,Blue,inbound,1,weekday,5;12,ok,2,36,0.171794,0.055743,6.184583,2.006748,ok,104,3696,35.538462,3592,27.010022,242.985784,18.003078,05:38:20,21:13:20
9,1134,42.250526,-71.773555,Blue,inbound,1,weekday,5;12,ok,2,36,0.019568,0.014191,0.704451,0.510870,ok,104,3696,35.538462,3592,27.010022,242.654114,17.996938,05:38:39,21:13:39
10,1135,42.250225,-71.775311,Blue,inbound,1,weekday,5;12,ok,2,36,0.098949,0.060203,3.562168,2.167305,ok,104,3696,35.538462,3592,27.010022,242.306825,17.990510,05:39:10,21:14:10
11,1136,42.250961,-71.777104,Blue,inbound,1,weekday,5;12,ok,2,36,0.040871,0.030748,1.471363,1.106922,ok,104,3696,35.538462,3592,27.010022,241.771931,17.980608,05:39:41,21:14:41
12,1137,42.251051,-71.778561,Blue,inbound,1,weekday,5;12,ok,2,36,0.440726,0.250136,15.866124,9.004886,ok,104,3696,35.538462,3592,27.010022,241.369269,17.973154,05:40:02,21:15:02
13,1138,42.251006,-71.779714,Blue,inbound,1,weekday,5;12,ok,2,36,0.025523,0.045680,0.918824,1.644466,ok,104,3696,35.538462,3592,27.010022,241.157669,17.969237,05:40:17,21:15:17
14,584,42.25173,-71.78204,Blue,inbound,1,weekday,5;12,ok,2,36,0.580809,0.225508,20.909112,8.118301,ok,104,3696,35.538462,3592,27.010022,240.519080,17.957415,05:40:55,21:15:55
15,1139,42.252688,-71.782606,Blue,inbound,1,weekday,5;12,ok,2,36,0.021550,0.038756,0.775805,1.395205,ok,104,3696,35.538462,3592,27.010022,240.247042,17.952380,05:41:14,21:16:14
16,1140,42.254396,-71.78364,Blue,inbound,1,weekday,5;12,ok,2,36,0.167426,0.105405,6.027339,3.794569,ok,104,3696,35.538462,3592,27.010022,239.864179,17.945292,05:41:38,21:16:38
17,1141,42.255231,-71.784633,Blue,inbound,1,weekday,5;12,ok,2,36,0.028424,0.003804,1.023278,0.136957,ok,104,3696,35.538462,3592,27.010022,239.630130,17.940960,05:41:56,21:16:56
18,342,42.25602,-71.78568,Blue,inbound,1,weekday,5;12,ok,2,37,1.182751,0.705872,43.761784,26.117255,ok,104,3798,36.519231,3694,26.264212,258.912325,18.061101,05:43:00,21:18:00
19,343,42.256202,-71.78763,Blue,inbound,1,weekday,5;12,ok,2,37,0.933507,0.178455,34.539776,6.602823,ok,104,3798,36.519231,3694,26.264212,259.148441,18.065596,05:43:37,21:18:37
20,344,42.25647,-71.78924,Blue,inbound,1,weekday,5;12,ok,2,37,0.779964,0.410853,28.858668,15.201560,ok,104,3798,36.519231,3694,26.264212,257.328512,18.030949,05:44:31,21:19:31
21,345,42.25728,-71.79106,Blue,inbound,1,weekday,5;12,ok,2,37,0.036588,0.028896,1.353774,1.069153,ok,104,3798,36.519231,3694,26.264212,257.754770,18.039064,05:45:22,21:20:22
22,21,42.25971,-71.79366,Blue,inbound,1,weekday,5;12,ok,2,37,0.046900,0.285906,1.735289,10.578505,ok,104,3798,36.519231,3694,26.264212,256.745492,18.019850,05:47:10,21:22:10
23,1612,42.26021,-71.79519,Blue,inbound,1,weekday,5;12,ok,2,37,0.061429,0.448793,2.272865,16.605335,ok,104,3798,36.519231,3694,26.264212,255.352971,17.993340,05:48:15,21:23:15
24,1503,42.260898,-71.796662,Blue,inbound,1,weekday,5;12,ok,2,37,0.000000,9.402103,0.000000,347.877828,ok,104,3798,36.519231,3694,26.264212,253.721204,17.962276,05:50:00,21:25:00
