stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,service_type,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,service_day_count,total_arrivals,mean_arrivals_per_service_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Blue,outbound,0,saturday,5,ok,1,20,6.050000,0.008333,120.999998,0.166667,ok,21,252,12.000000,231,76.363636,714.049587,42.857143,06:00:00,20:00:00
2,28,42.25974,-71.79381,Blue,outbound,0,saturday,5,ok,1,20,0.125000,0.018333,2.500000,0.366667,ok,21,252,12.000000,231,76.363636,714.049587,42.857143,06:02:07,20:02:07
3,347,42.257333,-71.791563,Blue,outbound,0,saturday,5,ok,1,20,0.000000,0.000000,0.000000,0.000000,ok,21,252,12.000000,231,76.363636,714.049587,42.857143,06:03:40,20:03:40
4,348,42.25653,-71.78994,Blue,outbound,0,saturday,5,ok,1,20,0.142500,0.305000,2.850000,6.100000,ok,21,252,12.000000,231,76.363636,714.049587,42.857143,06:04:27,20:04:27
5,349,42.256173,-71.78797,Blue,outbound,0,saturday,5,ok,1,20,0.125000,0.426667,2.500000,8.533333,ok,21,252,12.000000,231,76.363636,714.049587,42.857143,06:05:08,20:05:08
6,350,42.2559,-71.78601,Blue,outbound,0,saturday,5,ok,1,20,0.392500,0.972500,7.850000,19.450000,ok,21,252,12.000000,231,76.363636,714.049587,42.857143,06:05:51,20:05:51
7,1147,42.255328,-71.785029,Blue,outbound,0,saturday,5,ok,1,20,0.100833,0.174167,2.016667,3.483333,ok,21,252,12.000000,231,76.363636,714.049587,42.857143,06:07:00,20:07:00
8,1148,42.254726,-71.784259,Blue,outbound,0,saturday,5,ok,1,20,0.050000,0.033333,1.000000,0.666667,ok,21,252,12.000000,231,76.357576,713.521028,42.851023,06:07:20,20:07:16
9,1149,42.252693,-71.782837,Blue,outbound,0,saturday,5,ok,1,20,0.065833,0.150000,1.316667,3.000000,ok,21,252,12.000000,231,76.348485,712.729568,42.841850,06:07:58,20:07:48
10,604,42.251665,-71.782213,Blue,outbound,0,saturday,5,ok,1,20,0.000000,0.100833,0.000000,2.016667,ok,21,252,12.000000,231,76.343939,712.334458,42.837268,06:08:22,20:08:09
11,1150,42.250853,-71.779603,Blue,outbound,0,saturday,5,ok,1,20,0.327500,0.362500,6.550000,7.250000,ok,21,252,12.000000,231,76.331818,711.282851,42.825060,06:09:07,20:08:46
12,1151,42.250874,-71.77743,Blue,outbound,0,saturday,5,ok,1,20,0.165000,0.136667,3.300000,2.733333,ok,21,252,12.000000,231,76.324242,710.627089,42.817438,06:09:42,20:09:16
13,1152,42.250133,-71.77544,Blue,outbound,0,saturday,5,ok,1,20,0.008333,0.090000,0.166667,1.800000,ok,21,252,12.000000,231,76.312121,709.580257,42.805258,06:10:23,20:09:49
14,1153,42.25044,-71.773523,Blue,outbound,0,saturday,5,ok,1,20,0.035000,0.050000,0.700000,1.000000,ok,21,252,12.000000,231,76.303030,708.797062,42.796134,06:11:01,20:10:21
15,1154,42.250741,-71.771998,Blue,outbound,0,saturday,5,ok,1,20,0.061667,0.018333,1.233333,0.366667,ok,21,252,12.000000,231,76.295455,708.145661,42.788539,06:11:32,20:10:47
16,1155,42.250504,-71.768891,Blue,outbound,0,saturday,5,ok,1,20,0.070000,0.208333,1.400000,4.166667,ok,21,252,12.000000,231,76.281818,706.976033,42.774884,06:12:28,20:11:34
17,1156,42.250676,-71.767042,Blue,outbound,0,saturday,5,ok,1,20,0.010000,0.180000,0.200000,3.600000,ok,21,252,12.000000,231,76.274242,706.327847,42.767307,06:13:01,20:12:02
18,1158,42.250521,-71.765038,Blue,outbound,0,saturday,5,ok,1,20,0.010000,0.140000,0.200000,2.800000,ok,21,252,12.000000,231,76.265152,705.551538,42.758224,06:13:39,20:12:34
19,1159,42.248697,-71.762426,Blue,outbound,0,saturday,5,ok,1,20,0.050833,0.605833,1.016667,12.116666,ok,21,252,12.000000,231,76.253030,704.519031,42.746128,06:14:30,20:13:17
20,1160,42.247703,-71.761411,Blue,outbound,0,saturday,5,ok,1,20,0.045000,0.865000,0.900000,17.300000,ok,21,231,11.000000,210,72.000000,576.000000,40.000000,06:15:00,18:15:00
21,1161,42.246171,-71.759886,Blue,outbound,0,saturday,5,ok,1,20,0.064167,0.940833,1.283333,18.816666,ok,21,252,12.000000,231,76.236364,703.104132,42.729525,06:15:33,20:14:09
22,1162,42.244161,-71.757318,Blue,outbound,0,saturday,5,ok,1,20,0.020000,0.106667,0.400000,2.133333,ok,21,231,11.000000,210,72.000000,576.000000,40.000000,06:16:19,18:16:19
23,1163,42.243588,-71.756413,Blue,outbound,0,saturday,5,ok,1,20,0.000000,0.016667,0.000000,0.333333,ok,21,231,11.000000,210,72.000000,576.000000,40.000000,06:16:35,18:16:35
24,1164,42.241316,-71.754196,Blue,outbound,0,saturday,5,ok,1,20,0.026667,0.261667,0.533333,5.233333,ok,21,231,11.000000,210,72.000000,576.000000,40.000000,06:17:23,18:17:23
25,1855,42.247021,-71.758556,Blue,outbound,0,saturday,5,no_matching_ridership_record,0,0,,,0.000000,0.000000,insufficient_daily_arrivals,21,21,1.000000,0,,,,20:15:00,20:15:00
