stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,service_type,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,service_day_count,total_arrivals,mean_arrivals_per_service_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Blue,outbound,0,sunday,5,ok,1,10,6.066667,0.000000,60.666666,0.000000,ok,21,168,8.000000,147,60.000000,0.000000,30.000000,10:00:00,17:00:00
2,28,42.25974,-71.79381,Blue,outbound,0,sunday,5,ok,1,10,0.216667,0.016667,2.166667,0.166667,ok,21,168,8.000000,147,60.000000,0.000000,30.000000,10:02:25,17:02:25
3,347,42.257333,-71.791563,Blue,outbound,0,sunday,5,ok,1,10,0.000000,0.000000,0.000000,0.000000,ok,21,168,8.000000,147,60.000000,0.000000,30.000000,10:04:12,17:04:12
4,348,42.25653,-71.78994,Blue,outbound,0,sunday,5,ok,1,10,0.266667,0.183333,2.666667,1.833333,ok,21,168,8.000000,147,60.000000,0.000000,30.000000,10:05:05,17:05:05
5,349,42.256173,-71.78797,Blue,outbound,0,sunday,5,ok,1,10,0.250000,0.316667,2.500000,3.166667,ok,21,168,8.000000,147,60.000000,0.000000,30.000000,10:05:52,17:05:52
6,350,42.2559,-71.78601,Blue,outbound,0,sunday,5,ok,1,10,0.266667,1.150000,2.666667,11.500000,ok,21,168,8.000000,147,60.000000,0.000000,30.000000,10:06:41,17:06:41
7,1147,42.255328,-71.785029,Blue,outbound,0,sunday,5,ok,1,10,0.150000,0.433333,1.500000,4.333333,ok,21,168,8.000000,147,60.000000,0.000000,30.000000,10:08:00,17:08:00
8,1148,42.254726,-71.784259,Blue,outbound,0,sunday,5,ok,1,10,0.133333,0.283333,1.333333,2.833333,ok,21,168,8.000000,147,60.007143,0.000306,30.003574,10:08:20,17:08:23
9,1149,42.252693,-71.782837,Blue,outbound,0,sunday,5,ok,1,10,0.150000,0.166667,1.500000,1.666667,ok,21,168,8.000000,147,60.019048,0.002177,30.009542,10:08:58,17:09:06
10,604,42.251665,-71.782213,Blue,outbound,0,sunday,5,ok,1,10,0.033333,0.066667,0.333333,0.666667,ok,21,168,8.000000,147,60.030952,0.005748,30.015524,10:09:22,17:09:35
11,1150,42.250853,-71.779603,Blue,outbound,0,sunday,5,ok,1,10,0.333333,0.833333,3.333333,8.333333,ok,21,168,8.000000,147,60.045238,0.012279,30.022721,10:10:07,17:10:26
12,1151,42.250874,-71.77743,Blue,outbound,0,sunday,5,ok,1,10,0.116667,0.100000,1.166667,1.000000,ok,21,168,8.000000,147,60.059524,0.021259,30.029939,10:10:42,17:11:07
13,1152,42.250133,-71.77544,Blue,outbound,0,sunday,5,ok,1,10,0.066667,0.116667,0.666667,1.166667,ok,21,168,8.000000,147,60.071429,0.030612,30.035969,10:11:23,17:11:53
14,1153,42.25044,-71.773523,Blue,outbound,0,sunday,5,ok,1,10,0.116667,0.083333,1.166667,0.833333,ok,21,168,8.000000,147,60.085714,0.044082,30.043224,10:12:01,17:12:37
15,1154,42.250741,-71.771998,Blue,outbound,0,sunday,5,ok,1,10,0.050000,0.033333,0.500000,0.333333,ok,21,168,8.000000,147,60.097619,0.057177,30.049285,10:12:32,17:13:13
16,1155,42.250504,-71.768891,Blue,outbound,0,sunday,5,ok,1,10,0.000000,0.100000,0.000000,1.000000,ok,21,168,8.000000,147,60.116667,0.081667,30.059013,10:13:28,17:14:17
17,1156,42.250676,-71.767042,Blue,outbound,0,sunday,5,ok,1,10,0.016667,0.200000,0.166667,2.000000,ok,21,168,8.000000,147,60.130952,0.102891,30.066332,10:14:01,17:14:56
18,1158,42.250521,-71.765038,Blue,outbound,0,sunday,5,ok,1,10,0.000000,0.000000,0.000000,0.000000,ok,21,168,8.000000,147,60.142857,0.122449,30.072447,10:14:39,17:15:39
19,1159,42.248697,-71.762426,Blue,outbound,0,sunday,5,ok,1,10,0.033333,0.866667,0.333333,8.666667,ok,21,168,8.000000,147,60.161905,0.157279,30.082260,10:15:30,17:16:38
20,1160,42.247703,-71.761411,Blue,outbound,0,sunday,5,ok,1,10,0.000000,0.333333,0.000000,3.333333,ok,21,147,7.000000,126,60.000000,0.000000,30.000000,10:16:00,16:16:00
21,1161,42.246171,-71.759886,Blue,outbound,0,sunday,5,ok,1,10,0.133333,0.883333,1.333333,8.833333,ok,21,168,8.000000,147,60.173810,0.181259,30.088411,10:16:37,17:17:50
22,1162,42.244161,-71.757318,Blue,outbound,0,sunday,5,ok,1,10,0.016667,0.083333,0.166667,0.833333,ok,21,147,7.000000,126,60.000000,0.000000,30.000000,10:17:28,16:17:28
23,1163,42.243588,-71.756413,Blue,outbound,0,sunday,5,ok,1,10,0.016667,0.000000,0.166667,0.000000,ok,21,147,7.000000,126,60.000000,0.000000,30.000000,10:17:46,16:17:46
24,1164,42.241316,-71.754196,Blue,outbound,0,sunday,5,ok,1,10,0.066667,0.300000,0.666667,3.000000,ok,21,147,7.000000,126,60.000000,0.000000,30.000000,10:18:39,16:18:39
25,1855,42.247021,-71.758556,Blue,outbound,0,sunday,5,no_matching_ridership_record,0,0,,,0.000000,0.000000,insufficient_daily_arrivals,21,21,1.000000,0,,,,17:19:00,17:19:00
