stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,service_type,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,service_day_count,total_arrivals,mean_arrivals_per_service_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Blue,outbound,0,weekday,5;12,ok,2,37,9.625778,0.027370,356.153804,1.012697,ok,104,3798,36.519231,3694,26.134272,256.144397,17.967682,05:05:00,20:35:00
2,28,42.25974,-71.79381,Blue,outbound,0,weekday,5;12,ok,2,37,0.215578,0.056384,7.976376,2.086208,ok,104,3798,36.519231,3694,26.142555,254.340613,17.935772,05:06:49,20:37:07
3,347,42.257333,-71.791563,Blue,outbound,0,weekday,5;12,ok,2,37,0.000000,0.007618,0.000000,0.281868,ok,104,3798,36.519231,3694,26.148538,253.036282,17.912709,05:08:09,20:38:40
4,348,42.25653,-71.78994,Blue,outbound,0,weekday,5;12,ok,2,37,0.663232,0.420180,24.539567,15.546661,ok,104,3798,36.519231,3694,26.151760,252.332726,17.900273,05:08:49,20:39:27
5,349,42.256173,-71.78797,Blue,outbound,0,weekday,5;12,ok,2,37,0.217106,0.308901,8.032920,11.429354,ok,104,3798,36.519231,3694,26.154521,251.875678,17.892407,05:09:24,20:40:08
6,350,42.2559,-71.78601,Blue,outbound,0,weekday,5;12,ok,2,37,0.550528,1.057448,20.369524,39.125583,ok,104,3798,36.519231,3694,26.157282,251.311541,17.882495,05:10:01,20:40:51
7,1147,42.255328,-71.785029,Blue,outbound,0,weekday,5;12,ok,2,36,0.136183,0.295584,4.902592,10.641040,ok,104,3696,35.538462,3592,26.904788,273.096169,18.527628,05:11:00,20:42:00
8,1148,42.254726,-71.784259,Blue,outbound,0,weekday,5;12,ok,2,36,0.021894,0.099245,0.788174,3.572830,ok,104,3696,35.538462,3592,26.906171,272.685707,18.520431,05:11:17,20:42:20
9,1149,42.252693,-71.782837,Blue,outbound,0,weekday,5;12,ok,2,36,0.150122,0.171346,5.404400,6.168452,ok,104,3696,35.538462,3592,26.908482,271.679558,18.502455,05:11:50,20:42:58
10,604,42.251665,-71.782213,Blue,outbound,0,weekday,5;12,ok,2,36,0.022755,0.123169,0.819186,4.434075,ok,104,3696,35.538462,3592,26.909401,271.363554,18.496870,05:12:12,20:43:22
11,1150,42.250853,-71.779603,Blue,outbound,0,weekday,5;12,ok,2,36,0.311765,0.660775,11.223529,23.787916,ok,104,3696,35.538462,3592,26.912166,270.169400,18.475549,05:12:51,20:44:07
12,1151,42.250874,-71.77743,Blue,outbound,0,weekday,5;12,ok,2,36,0.126040,0.183876,4.537446,6.619522,ok,104,3696,35.538462,3592,26.914013,269.529621,18.464242,05:13:22,20:44:42
13,1152,42.250133,-71.77544,Blue,outbound,0,weekday,5;12,ok,2,36,0.029796,0.140072,1.072654,5.042586,ok,104,3696,35.538462,3592,26.916778,268.624912,18.448305,05:13:57,20:45:23
14,1153,42.25044,-71.773523,Blue,outbound,0,weekday,5;12,ok,2,36,0.016129,0.066287,0.580659,2.386328,ok,104,3696,35.538462,3592,26.919089,268.018529,18.437769,05:14:30,20:46:01
15,1154,42.250741,-71.771998,Blue,outbound,0,weekday,5;12,ok,2,36,0.028288,0.027011,1.018377,0.972407,ok,104,3696,35.538462,3592,26.920462,267.612074,18.430652,05:14:58,20:46:32
16,1155,42.250504,-71.768891,Blue,outbound,0,weekday,5;12,ok,2,36,0.028751,0.160123,1.035025,5.764433,ok,104,3696,35.538462,3592,26.923692,266.745375,18.415575,05:15:47,20:47:28
17,1156,42.250676,-71.767042,Blue,outbound,0,weekday,5;12,ok,2,36,0.046313,0.180374,1.667263,6.493476,ok,104,3696,35.538462,3592,26.925538,266.364722,18.409090,05:16:16,20:48:01
18,1158,42.250521,-71.765038,Blue,outbound,0,weekday,5;12,ok,2,36,0.011308,0.133489,0.407092,4.805622,ok,104,3696,35.538462,3592,26.927849,265.914667,18.401465,05:16:49,20:48:39
19,1159,42.248697,-71.762426,Blue,outbound,0,weekday,5;12,ok,2,36,0.023236,0.618000,0.836491,22.248011,ok,104,3696,35.538462,3592,26.930614,265.092990,18.387085,05:17:34,20:49:30
20,1160,42.247703,-71.761411,Blue,outbound,0,weekday,5;12,ok,2,36,0.039845,0.604694,1.434423,21.768990,ok,104,3694,35.519231,3590,26.881337,260.327423,18.282828,05:18:00,20:50:00
21,1161,42.246171,-71.759886,Blue,outbound,0,weekday,5;12,ok,2,36,0.085266,0.887282,3.069573,31.942141,ok,104,3696,35.538462,3592,26.924833,265.584034,18.394370,05:18:33,20:50:17
22,1162,42.244161,-71.757318,Blue,outbound,0,weekday,5;12,ok,2,36,0.019203,0.347355,0.691297,12.504792,ok,104,3694,35.519231,3590,26.863343,262.110781,18.310267,05:19:19,20:50:41
23,1163,42.243588,-71.756413,Blue,outbound,0,weekday,5;12,ok,2,36,0.003523,0.051379,0.126812,1.849639,ok,104,3694,35.519231,3590,26.859554,262.571288,18.317634,05:19:35,20:50:49
24,1164,42.241316,-71.754196,Blue,outbound,0,weekday,5;12,ok,2,36,0.040326,0.663360,1.451737,23.880954,ok,104,3694,35.519231,3590,26.848663,264.098086,18.342604,05:20:23,20:51:14
25,1855,42.247021,-71.758556,Blue,outbound,0,weekday,5,no_matching_ridership_record,0,0,,,0.000000,0.000000,insufficient_daily_arrivals,2,2,1.000000,0,,,,20:15:00,20:15:00
