stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,service_type,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,service_day_count,total_arrivals,mean_arrivals_per_service_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,388,42.29462,-71.77503,Green,inbound,1,saturday,23;26,ok,2,50,3.445667,0.587667,172.283330,29.383333,ok,21,966,46.000000,945,19.666667,97.111111,12.302260,06:25:00,21:10:00
2,656,42.293111,-71.778198,Green,inbound,1,saturday,23;26,ok,2,50,0.615333,0.305667,30.766666,15.283333,ok,21,966,46.000000,945,19.666667,97.111111,12.302260,06:25:57,21:10:57
3,657,42.292241,-71.780111,Green,inbound,1,saturday,23;26,ok,2,50,0.285333,0.094000,14.266666,4.700000,ok,21,966,46.000000,945,19.666667,97.111111,12.302260,06:26:34,21:11:34
4,658,42.291606,-71.781955,Green,inbound,1,saturday,23;26,ok,2,50,0.124333,0.061000,6.216667,3.050000,ok,21,966,46.000000,945,19.666667,97.111111,12.302260,06:26:58,21:11:58
5,659,42.289325,-71.78674,Green,inbound,1,saturday,23;26,ok,2,50,0.037333,0.010000,1.866667,0.500000,ok,21,966,46.000000,945,19.666667,97.111111,12.302260,06:28:14,21:13:14
6,661,42.287553,-71.789283,Green,inbound,1,saturday,23;26,ok,2,50,0.056333,0.081000,2.816667,4.050000,ok,21,966,46.000000,945,19.666667,97.111111,12.302260,06:29:12,21:14:12
7,183,42.285678,-71.791118,Green,inbound,1,saturday,23;26,ok,2,50,0.680333,0.461667,34.016666,23.083333,ok,21,966,46.000000,945,19.666667,97.111111,12.302260,06:30:00,21:15:00
8,184,42.283008,-71.792191,Green,inbound,1,saturday,23;26,ok,2,50,0.473333,0.206667,23.666666,10.333333,ok,21,966,46.000000,945,19.658148,95.588069,12.260332,06:31:20,21:15:57
9,185,42.281355,-71.79286,Green,inbound,1,saturday,23;26,ok,2,50,0.488000,0.131667,24.399999,6.583333,ok,21,966,46.000000,945,19.653704,94.873752,12.240487,06:32:02,21:16:27
10,186,42.278915,-71.793868,Green,inbound,1,saturday,23;26,ok,2,50,0.145000,0.139667,7.250000,6.983333,ok,21,966,46.000000,945,19.647037,93.905534,12.213333,06:33:03,21:17:10
11,187,42.277675,-71.794615,Green,inbound,1,saturday,23;26,ok,2,50,0.263667,0.410000,13.183333,20.500000,ok,21,966,46.000000,945,19.643704,93.467892,12.200932,06:33:37,21:17:35
12,188,42.275918,-71.795783,Green,inbound,1,saturday,23;26,ok,2,50,1.062667,0.318667,53.133332,15.933333,ok,21,966,46.000000,945,19.638519,92.848689,12.183203,06:34:26,21:18:10
13,662,42.273986,-71.797565,Green,inbound,1,saturday,23;26,ok,2,50,0.054000,0.077667,2.700000,3.883333,ok,21,966,46.000000,945,19.631852,92.162714,12.163201,06:35:31,21:18:57
14,663,42.271896,-71.798835,Green,inbound,1,saturday,23;26,ok,2,50,0.000000,0.000000,0.000000,0.000000,ok,21,966,46.000000,945,19.623333,91.466511,12.142222,06:36:48,21:19:51
15,664,42.270848,-71.798906,Green,inbound,1,saturday,23;26,ok,2,50,0.211333,0.399667,10.566666,19.983333,ok,21,966,46.000000,945,19.618889,91.183588,12.133317,06:37:30,21:20:21
16,665,42.2698,-71.798883,Green,inbound,1,saturday,23;26,ok,2,50,0.110000,0.177667,5.500000,8.883333,ok,21,966,46.000000,945,19.614074,90.939234,12.125251,06:38:19,21:20:57
17,1383,42.268153,-71.79851,Green,inbound,1,saturday,23;26,ok,2,50,0.000000,0.000000,0.000000,0.000000,ok,21,966,46.000000,945,19.608519,90.737600,12.117988,06:39:09,21:21:32
18,1384,42.267328,-71.798352,Green,inbound,1,saturday,23;26,ok,2,50,0.000000,0.006667,0.000000,0.333333,ok,21,966,46.000000,945,19.601111,90.602610,12.111716,06:39:43,21:21:46
19,1385,42.266263,-71.798137,Green,inbound,1,saturday,23;26,ok,2,50,0.123333,0.437667,6.166667,21.883333,ok,21,966,46.000000,945,19.592593,90.636488,12.109326,06:40:25,21:22:05
20,1386,42.264228,-71.797898,Green,inbound,1,saturday,23;26,ok,2,50,0.012000,0.399333,0.600000,19.966666,ok,21,966,46.000000,945,19.575185,91.334835,12.120516,06:41:53,21:22:46
21,1503,42.260898,-71.796662,Green,inbound,1,saturday,23;26,ok,2,50,0.020000,9.323333,1.000000,466.166657,ok,21,966,46.000000,945,19.555556,93.135802,12.159091,06:45:00,21:25:00
