stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,service_type,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,service_day_count,total_arrivals,mean_arrivals_per_service_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,388,42.29462,-71.77503,Green,inbound,1,sunday,23;26,ok,2,16,5.785417,0.847917,92.566665,13.566666,ok,21,315,15.000000,294,39.061905,539.106961,26.431627,09:40:00,18:46:52
2,656,42.293111,-71.778198,Green,inbound,1,sunday,23;26,ok,2,16,1.056250,0.332292,16.900000,5.316667,ok,21,315,15.000000,294,39.036905,539.224848,26.425056,09:40:57,18:47:28
3,657,42.292241,-71.780111,Green,inbound,1,sunday,23;26,ok,2,16,0.390625,0.104167,6.250000,1.666667,ok,21,315,15.000000,294,39.020238,539.312467,26.420795,09:41:34,18:47:51
4,658,42.291606,-71.781955,Green,inbound,1,sunday,23;26,ok,2,16,0.083333,0.010417,1.333333,0.166667,ok,21,315,15.000000,294,39.009524,539.372608,26.418107,09:41:58,18:48:06
5,659,42.289325,-71.78674,Green,inbound,1,sunday,23;26,ok,2,16,0.020833,0.015625,0.333333,0.250000,ok,21,315,15.000000,294,38.976190,539.578798,26.409998,09:43:14,18:48:54
6,661,42.287553,-71.789283,Green,inbound,1,sunday,23;26,ok,2,16,0.083333,0.087500,1.333333,1.400000,ok,21,315,15.000000,294,38.950000,539.761071,26.403897,09:44:12,18:49:30
7,183,42.285678,-71.791118,Green,inbound,1,sunday,23;26,ok,2,16,0.711458,0.981250,11.383333,15.700000,ok,21,315,15.000000,294,38.928571,539.923469,26.399083,09:45:00,18:50:00
8,184,42.283008,-71.792191,Green,inbound,1,sunday,23;26,ok,2,16,0.412500,0.158333,6.600000,2.533333,ok,21,315,15.000000,294,38.928571,537.607001,26.369330,09:46:20,18:51:20
9,185,42.281355,-71.79286,Green,inbound,1,sunday,23;26,ok,2,16,0.520833,0.518750,8.333333,8.300000,ok,21,315,15.000000,294,38.928571,536.221882,26.351539,09:47:02,18:52:02
10,186,42.278915,-71.793868,Green,inbound,1,sunday,23;26,ok,2,16,0.208333,0.187500,3.333333,3.000000,ok,21,315,15.000000,294,38.928571,533.921287,26.321990,09:48:03,18:53:03
11,187,42.277675,-71.794615,Green,inbound,1,sunday,23;26,ok,2,16,0.266667,0.513542,4.266667,8.216667,ok,21,315,15.000000,294,38.928571,532.545692,26.304322,09:48:37,18:53:37
12,188,42.275918,-71.795783,Green,inbound,1,sunday,23;26,ok,2,16,1.063542,0.630208,17.016666,10.083333,ok,21,315,15.000000,294,38.928571,530.717120,26.280836,09:49:26,18:54:26
13,662,42.273986,-71.797565,Green,inbound,1,sunday,23;26,ok,2,16,0.114583,0.100000,1.833333,1.600000,ok,21,315,15.000000,294,38.928571,528.894898,26.257431,09:50:31,18:55:31
14,663,42.271896,-71.798835,Green,inbound,1,sunday,23;26,ok,2,16,0.000000,0.000000,0.000000,0.000000,ok,21,315,15.000000,294,38.928571,526.626049,26.228290,09:51:48,18:56:48
15,664,42.270848,-71.798906,Green,inbound,1,sunday,23;26,ok,2,16,0.532292,0.725000,8.516667,11.600000,ok,21,315,15.000000,294,38.928571,525.269501,26.210866,09:52:30,18:57:30
16,665,42.2698,-71.798883,Green,inbound,1,sunday,23;26,ok,2,16,0.155208,0.507292,2.483333,8.116667,ok,21,315,15.000000,294,38.928571,523.466327,26.187706,09:53:19,18:58:19
17,1383,42.268153,-71.79851,Green,inbound,1,sunday,23;26,ok,2,16,0.000000,0.000000,0.000000,0.000000,ok,21,315,15.000000,294,38.928571,521.669501,26.164628,09:54:09,18:59:09
18,1384,42.267328,-71.798352,Green,inbound,1,sunday,23;26,ok,2,16,0.000000,0.000000,0.000000,0.000000,ok,21,315,15.000000,294,38.928571,527.986168,26.245759,09:54:43,18:59:43
19,1385,42.266263,-71.798137,Green,inbound,1,sunday,23;26,ok,2,16,0.106250,0.375000,1.700000,6.000000,ok,21,315,15.000000,294,38.928571,533.921287,26.321990,09:55:25,19:00:25
20,1386,42.264228,-71.797898,Green,inbound,1,sunday,23;26,ok,2,16,0.083333,0.686458,1.333333,10.983333,ok,21,315,15.000000,294,38.928571,542.462358,26.431692,09:56:53,19:01:53
21,1503,42.260898,-71.796662,Green,inbound,1,sunday,23;26,ok,2,16,0.000000,12.831250,0.000000,205.299996,ok,21,315,15.000000,294,38.928571,539.923469,26.399083,10:00:00,19:05:00
