stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,service_type,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,service_day_count,total_arrivals,mean_arrivals_per_service_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,388,42.29462,-71.77503,Green,inbound,1,weekday,23;26,ok,2,71,3.106281,0.585473,220.545952,41.568560,ok,104,6758,64.980769,6654,16.422904,116.937774,11.771656,05:25:00,22:59:00
2,656,42.293111,-71.778198,Green,inbound,1,weekday,23;26,ok,2,71,0.705768,0.308228,50.109521,21.884212,ok,104,6758,64.980769,6654,16.422904,116.937774,11.771656,05:25:57,22:59:57
3,657,42.292241,-71.780111,Green,inbound,1,weekday,23;26,ok,2,71,0.233085,0.052931,16.549003,3.758102,ok,104,6758,64.980769,6654,16.422904,116.937774,11.771656,05:26:34,23:00:34
4,658,42.291606,-71.781955,Green,inbound,1,weekday,23;26,ok,2,71,0.163313,0.055660,11.595225,3.951895,ok,104,6758,64.980769,6654,16.422904,116.937774,11.771656,05:26:58,23:00:58
5,659,42.289325,-71.78674,Green,inbound,1,weekday,23;26,ok,2,71,0.065705,0.022867,4.665037,1.623554,ok,104,6758,64.980769,6654,16.422904,116.937774,11.771656,05:28:14,23:02:14
6,661,42.287553,-71.789283,Green,inbound,1,weekday,23;26,ok,2,71,0.089307,0.134919,6.340823,9.579278,ok,104,6758,64.980769,6654,16.422904,116.937774,11.771656,05:29:12,23:03:12
7,183,42.285678,-71.791118,Green,inbound,1,weekday,23;26,ok,2,71,1.472170,0.663201,104.524087,47.087291,ok,104,6758,64.980769,6654,16.422904,116.937774,11.771656,05:30:00,23:04:00
8,184,42.283008,-71.792191,Green,inbound,1,weekday,23;26,ok,2,71,0.492070,0.198711,34.936989,14.108512,ok,104,6758,64.980769,6654,16.417168,115.679879,11.731721,05:31:20,23:04:58
9,185,42.281355,-71.79286,Green,inbound,1,weekday,23;26,ok,2,71,0.395516,0.257827,28.081646,18.305689,ok,104,6758,64.980769,6654,16.414297,115.114626,11.713684,05:32:02,23:05:29
10,186,42.278915,-71.793868,Green,inbound,1,weekday,23;26,ok,2,71,0.184744,0.102572,13.116828,7.282647,ok,104,6758,64.980769,6654,16.410119,114.374340,11.689932,05:33:03,23:06:14
11,187,42.277675,-71.794615,Green,inbound,1,weekday,23;26,ok,2,71,0.341280,0.358468,24.230895,25.451204,ok,104,6758,64.980769,6654,16.407775,114.007236,11.678071,05:33:37,23:06:39
12,188,42.275918,-71.795783,Green,inbound,1,weekday,23;26,ok,2,71,0.877887,0.450684,62.329993,31.998563,ok,104,6758,64.980769,6654,16.404383,113.549289,11.663135,05:34:26,23:07:15
13,662,42.273986,-71.797565,Green,inbound,1,weekday,23;26,ok,2,71,0.050774,0.148024,3.604971,10.509704,ok,104,6758,64.980769,6654,16.399950,113.082972,11.647637,05:35:31,23:08:03
14,663,42.271896,-71.798835,Green,inbound,1,weekday,23;26,ok,2,71,0.000000,0.000000,0.000000,0.000000,ok,104,6758,64.980769,6654,16.394469,112.676499,11.633653,05:36:48,23:08:59
15,664,42.270848,-71.798906,Green,inbound,1,weekday,23;26,ok,2,71,0.345683,0.526497,24.543482,37.381281,ok,104,6758,64.980769,6654,16.391599,112.537117,11.628568,05:37:30,23:09:30
16,665,42.2698,-71.798883,Green,inbound,1,weekday,23;26,ok,2,71,0.151857,0.255892,10.781846,18.168366,ok,104,6758,64.980769,6654,16.388213,112.441167,11.624656,05:38:19,23:10:06
17,1383,42.268153,-71.79851,Green,inbound,1,weekday,23;26,ok,2,71,0.002817,0.015618,0.200000,1.108897,ok,104,6758,64.980769,6654,16.384561,112.424112,11.623075,05:39:09,23:10:42
18,1384,42.267328,-71.798352,Green,inbound,1,weekday,23;26,ok,2,71,0.000640,0.014297,0.045455,1.015072,ok,104,6758,64.980769,6654,16.382161,112.430882,11.622584,05:39:43,23:11:07
19,1385,42.266263,-71.798137,Green,inbound,1,weekday,23;26,ok,2,71,0.199337,0.449368,14.152942,31.905156,ok,104,6758,64.980769,6654,16.379236,112.475458,11.623095,05:40:25,23:11:38
20,1386,42.264228,-71.797898,Green,inbound,1,weekday,23;26,ok,2,71,0.073199,0.684733,5.197128,48.616043,ok,104,6758,64.980769,6654,16.372868,112.686181,11.627682,05:41:53,23:12:42
21,1503,42.260898,-71.796662,Green,inbound,1,weekday,23;26,ok,2,71,0.000000,10.231602,0.000000,726.443756,ok,104,6758,64.980769,6654,16.360084,113.531896,11.649825,05:45:00,23:15:00
