stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,service_type,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,service_day_count,total_arrivals,mean_arrivals_per_service_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Green,outbound,0,saturday,23;26,ok,2,51,9.821568,0.018627,500.899987,0.950000,ok,21,966,46.000000,945,19.333333,95.111111,12.126437,06:15:00,20:45:00
2,95,42.263406,-71.7968,Green,outbound,0,saturday,23;26,ok,2,51,0.090196,0.003922,4.600000,0.200000,ok,21,966,46.000000,945,19.333333,94.181531,12.102396,06:17:05,20:47:05
3,1459,42.266479,-71.797902,Green,outbound,0,saturday,23;26,ok,2,51,0.062418,0.027778,3.183333,1.416667,ok,21,966,46.000000,945,19.333333,93.708642,12.090166,06:18:21,20:48:21
4,1461,42.268085,-71.798281,Green,outbound,0,saturday,23;26,ok,2,51,0.484314,0.294118,24.699999,15.000000,ok,21,966,46.000000,945,19.333333,93.511901,12.085078,06:18:47,20:48:47
5,670,42.269815,-71.798581,Green,outbound,0,saturday,23;26,ok,2,51,0.069281,0.027451,3.533333,1.400000,ok,21,966,46.000000,945,19.333333,93.318716,12.080082,06:19:22,20:49:22
6,671,42.270951,-71.79859,Green,outbound,0,saturday,23;26,ok,2,51,0.264052,0.207190,13.466666,10.566666,ok,21,966,46.000000,945,19.333333,93.066667,12.073563,06:20:03,20:50:03
7,672,42.272263,-71.79851,Green,outbound,0,saturday,23;26,ok,2,51,0.114706,0.063399,5.850000,3.233333,ok,21,966,46.000000,945,19.333333,92.881778,12.068782,06:20:34,20:50:34
8,673,42.27371,-71.797531,Green,outbound,0,saturday,23;26,ok,2,51,0.082353,0.142810,4.200000,7.283333,ok,21,966,46.000000,945,19.333333,92.700444,12.064092,06:21:02,20:51:02
9,203,42.276443,-71.795323,Green,outbound,0,saturday,23;26,ok,2,51,0.613725,0.844118,31.299999,43.049999,ok,21,966,46.000000,945,19.333333,92.348444,12.054989,06:22:03,20:52:03
10,204,42.277683,-71.794505,Green,outbound,0,saturday,23;26,ok,2,51,0.083987,0.125817,4.283333,6.416666,ok,21,966,46.000000,945,19.333333,92.234272,12.052036,06:22:26,20:52:26
11,205,42.279368,-71.793558,Green,outbound,0,saturday,23;26,ok,2,51,0.203922,0.397386,10.400000,20.266666,ok,21,966,46.000000,945,19.333333,92.010667,12.046253,06:22:57,20:52:57
12,206,42.281568,-71.792653,Green,outbound,0,saturday,23;26,ok,2,51,0.176144,0.307843,8.983333,15.700000,ok,21,966,46.000000,945,19.333333,91.847111,12.042023,06:23:35,20:53:35
13,207,42.283118,-71.792048,Green,outbound,0,saturday,23;26,ok,2,51,0.377451,0.509150,19.249999,25.966666,ok,21,966,46.000000,945,19.333333,91.687111,12.037885,06:24:03,20:54:03
14,209,42.286066,-71.790793,Green,outbound,0,saturday,23;26,ok,2,51,0.552614,0.664052,28.183333,33.866666,ok,21,966,46.000000,945,19.333333,91.377778,12.029885,06:25:00,20:55:00
15,674,42.287481,-71.78918,Green,outbound,0,saturday,23;26,ok,2,51,0.025490,0.058824,1.300000,3.000000,ok,21,966,46.000000,945,19.333333,91.377778,12.029885,06:25:42,20:55:42
16,675,42.28842,-71.787813,Green,outbound,0,saturday,23;26,ok,2,51,0.021895,0.006536,1.116667,0.333333,ok,21,966,46.000000,945,19.333333,91.377778,12.029885,06:26:16,20:56:16
17,676,42.289381,-71.786421,Green,outbound,0,saturday,23;26,ok,2,51,0.007843,0.040850,0.400000,2.083333,ok,21,966,46.000000,945,19.333333,91.377778,12.029885,06:26:47,20:56:47
18,677,42.291328,-71.782178,Green,outbound,0,saturday,23;26,ok,2,51,0.026471,0.036928,1.350000,1.883333,ok,21,966,46.000000,945,19.333333,91.377778,12.029885,06:27:52,20:57:52
19,678,42.292083,-71.780206,Green,outbound,0,saturday,23;26,ok,2,51,0.036601,0.103595,1.866667,5.283333,ok,21,966,46.000000,945,19.333333,91.377778,12.029885,06:28:20,20:58:20
20,679,42.29295,-71.7783,Green,outbound,0,saturday,23;26,ok,2,51,0.122549,0.667974,6.250000,34.066666,ok,21,966,46.000000,945,19.333333,91.377778,12.029885,06:29:00,20:59:00
21,823,42.293999,-71.775838,Green,outbound,0,saturday,23;26,ok,2,51,0.196405,1.870261,10.016666,95.383331,ok,21,966,46.000000,945,19.333333,91.377778,12.029885,06:30:00,21:00:00
