stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,service_type,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,service_day_count,total_arrivals,mean_arrivals_per_service_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Green,outbound,0,sunday,23;26,ok,2,17,12.876470,0.009804,218.899996,0.166667,ok,21,336,16.000000,315,37.000000,556.000000,26.013514,09:15:00,18:30:00
2,95,42.263406,-71.7968,Green,outbound,0,sunday,23;26,ok,2,17,0.286275,0.052941,4.866667,0.900000,ok,21,336,16.000000,315,37.014444,556.378477,26.022916,09:16:52,18:32:05
3,1459,42.266479,-71.797902,Green,outbound,0,sunday,23;26,ok,2,17,0.049020,0.009804,0.833333,0.166667,ok,21,336,16.000000,315,37.022222,556.584691,26.028011,09:18:01,18:33:21
4,1461,42.268085,-71.798281,Green,outbound,0,sunday,23;26,ok,2,17,0.996078,0.235294,16.933333,4.000000,ok,21,336,16.000000,315,37.025556,556.673588,26.030202,09:18:24,18:33:47
5,670,42.269815,-71.798581,Green,outbound,0,sunday,23;26,ok,2,17,0.117647,0.092157,2.000000,1.566667,ok,21,336,16.000000,315,37.028889,556.762795,26.032396,09:18:56,18:34:22
6,671,42.270951,-71.79859,Green,outbound,0,sunday,23;26,ok,2,17,0.423529,0.419608,7.200000,7.133333,ok,21,336,16.000000,315,37.033333,556.882222,26.035329,09:19:33,18:35:03
7,672,42.272263,-71.79851,Green,outbound,0,sunday,23;26,ok,2,17,0.107843,0.009804,1.833333,0.166667,ok,21,336,16.000000,315,37.036667,556.972156,26.037533,09:20:01,18:35:34
8,673,42.27371,-71.797531,Green,outbound,0,sunday,23;26,ok,2,17,0.058824,0.078431,1.000000,1.333333,ok,21,336,16.000000,315,37.040000,557.062400,26.039741,09:20:26,18:36:02
9,203,42.276443,-71.795323,Green,outbound,0,sunday,23;26,ok,2,17,1.076471,0.798039,18.300000,13.566666,ok,21,336,16.000000,315,37.046667,557.243822,26.044170,09:21:21,18:37:03
10,204,42.277683,-71.794505,Green,outbound,0,sunday,23;26,ok,2,17,0.150980,0.347059,2.566667,5.900000,ok,21,336,16.000000,315,37.048889,557.304573,26.045649,09:21:42,18:37:26
11,205,42.279368,-71.793558,Green,outbound,0,sunday,23;26,ok,2,17,0.221569,0.613725,3.766667,10.433333,ok,21,336,16.000000,315,37.053333,557.426489,26.048615,09:22:09,18:37:57
12,206,42.281568,-71.792653,Green,outbound,0,sunday,23;26,ok,2,17,0.272549,0.429412,4.633333,7.300000,ok,21,336,16.000000,315,37.056667,557.518289,26.050843,09:22:44,18:38:35
13,207,42.283118,-71.792048,Green,outbound,0,sunday,23;26,ok,2,17,0.550980,0.823529,9.366667,14.000000,ok,21,336,16.000000,315,37.060000,557.610400,26.053076,09:23:09,18:39:03
14,209,42.286066,-71.790793,Green,outbound,0,sunday,23;26,ok,2,17,0.964706,0.572549,16.400000,9.733333,ok,21,336,16.000000,315,37.066667,557.795556,26.057554,09:24:00,18:40:00
15,674,42.287481,-71.78918,Green,outbound,0,sunday,23;26,ok,2,17,0.039216,0.070588,0.666667,1.200000,ok,21,336,16.000000,315,37.081111,558.167958,26.066867,09:24:25,18:40:38
16,675,42.28842,-71.787813,Green,outbound,0,sunday,23;26,ok,2,17,0.052941,0.000000,0.900000,0.000000,ok,21,336,16.000000,315,37.093333,558.494437,26.074899,09:24:45,18:41:09
17,676,42.289381,-71.786421,Green,outbound,0,sunday,23;26,ok,2,17,0.009804,0.052941,0.166667,0.900000,ok,21,336,16.000000,315,37.104444,558.802610,26.082353,09:25:04,18:41:38
18,677,42.291328,-71.782178,Green,outbound,0,sunday,23;26,ok,2,17,0.050980,0.115686,0.866667,1.966667,ok,21,336,16.000000,315,37.126667,559.422956,26.097311,09:25:43,18:42:37
19,678,42.292083,-71.780206,Green,outbound,0,sunday,23;26,ok,2,17,0.000000,0.186275,0.000000,3.166667,ok,21,336,16.000000,315,37.136667,559.714081,26.104202,09:26:00,18:43:03
20,679,42.29295,-71.7783,Green,outbound,0,sunday,23;26,ok,2,17,0.152941,1.545098,2.600000,26.266666,ok,21,336,16.000000,315,37.150000,560.103000,26.113398,09:26:24,18:43:39
21,823,42.293999,-71.775838,Green,outbound,0,sunday,23;26,ok,2,17,0.190196,3.647059,3.233333,61.999999,ok,21,294,14.000000,273,34.076923,574.071006,25.461625,09:27:00,16:50:00
