stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,service_type,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,service_day_count,total_arrivals,mean_arrivals_per_service_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Green,outbound,0,weekday,23;26,ok,2,73,10.833421,0.043416,790.839742,3.169366,ok,104,6860,65.961538,6756,16.336590,113.363025,11.637900,05:30:00,23:15:00
2,95,42.263406,-71.7968,Green,outbound,0,weekday,23;26,ok,2,73,0.181298,0.047001,13.234757,3.431067,ok,104,6860,65.961538,6756,16.339609,113.066575,11.629697,05:32:05,23:17:17
3,1459,42.266479,-71.797902,Green,outbound,0,weekday,23;26,ok,2,73,0.115368,0.074969,8.421896,5.472723,ok,104,6860,65.961538,6756,16.341622,112.896780,11.625082,05:33:21,23:18:41
4,1461,42.268085,-71.798281,Green,outbound,0,weekday,23;26,ok,2,73,0.592649,0.210234,43.263346,15.347084,ok,104,6860,65.961538,6756,16.342126,112.856521,11.623996,05:33:47,23:19:09
5,670,42.269815,-71.798581,Green,outbound,0,weekday,23;26,ok,2,73,0.103468,0.064664,7.553168,4.720505,ok,104,6860,65.961538,6756,16.343384,112.765513,11.621575,05:34:22,23:19:49
6,671,42.270951,-71.79859,Green,outbound,0,weekday,23;26,ok,2,73,0.366835,0.220652,26.778950,16.107630,ok,104,6860,65.961538,6756,16.344390,112.697232,11.619777,05:35:03,23:20:34
7,672,42.272263,-71.79851,Green,outbound,0,weekday,23;26,ok,2,73,0.106782,0.045045,7.795071,3.288252,ok,104,6860,65.961538,6756,16.344893,112.664249,11.618913,05:35:34,23:21:07
8,673,42.27371,-71.797531,Green,outbound,0,weekday,23;26,ok,2,73,0.161532,0.081960,11.791838,5.983061,ok,104,6860,65.961538,6756,16.345648,112.618479,11.617731,05:36:02,23:21:38
9,203,42.276443,-71.795323,Green,outbound,0,weekday,23;26,ok,2,73,0.680362,0.777167,49.666418,56.733175,ok,104,6860,65.961538,6756,16.347410,112.523953,11.615350,05:37:03,23:22:46
10,204,42.277683,-71.794505,Green,outbound,0,weekday,23;26,ok,2,73,0.162490,0.148544,11.861737,10.843693,ok,104,6860,65.961538,6756,16.347913,112.499677,11.614753,05:37:26,23:23:11
11,205,42.279368,-71.793558,Green,outbound,0,weekday,23;26,ok,2,73,0.154672,0.333351,11.291073,24.334628,ok,104,6860,65.961538,6756,16.348668,112.464991,11.613911,05:37:57,23:23:45
12,206,42.281568,-71.792653,Green,outbound,0,weekday,23;26,ok,2,73,0.278591,0.399975,20.337122,29.198196,ok,104,6860,65.961538,6756,16.349674,112.425066,11.612981,05:38:35,23:24:27
13,207,42.283118,-71.792048,Green,outbound,0,weekday,23;26,ok,2,73,0.379273,0.831419,27.686898,60.693597,ok,104,6860,65.961538,6756,16.350429,112.398021,11.612373,05:39:03,23:24:58
14,209,42.286066,-71.790793,Green,outbound,0,weekday,23;26,ok,2,73,0.806714,1.409956,58.890133,102.926777,ok,104,6860,65.961538,6756,16.351687,112.358850,11.611540,05:40:00,23:26:00
15,674,42.287481,-71.78918,Green,outbound,0,weekday,23;26,ok,2,73,0.052860,0.087326,3.858780,6.374788,ok,104,6860,65.961538,6756,16.355965,112.300180,11.610986,05:40:42,23:26:59
16,675,42.28842,-71.787813,Green,outbound,0,weekday,23;26,ok,2,73,0.014637,0.020516,1.068512,1.497673,ok,104,6860,65.961538,6756,16.359236,112.318403,11.612492,05:41:16,23:27:46
17,676,42.289381,-71.786421,Green,outbound,0,weekday,23;26,ok,2,73,0.026078,0.043713,1.903675,3.191056,ok,104,6860,65.961538,6756,16.362507,112.391305,11.615669,05:41:47,23:28:30
18,677,42.291328,-71.782178,Green,outbound,0,weekday,23;26,ok,2,73,0.028465,0.143470,2.077939,10.473304,ok,104,6860,65.961538,6756,16.369050,112.701141,11.627032,05:42:52,23:30:01
19,678,42.292083,-71.780206,Green,outbound,0,weekday,23;26,ok,2,73,0.034768,0.226162,2.538048,16.509832,ok,104,6860,65.961538,6756,16.372069,112.917908,11.634527,05:43:20,23:30:41
20,679,42.29295,-71.7783,Green,outbound,0,weekday,23;26,ok,2,73,0.192688,0.898115,14.066243,65.562376,ok,104,6860,65.961538,6756,16.375844,113.254384,11.645893,05:44:00,23:31:36
21,823,42.293999,-71.775838,Green,outbound,0,weekday,23;26,ok,2,73,0.122022,1.795104,8.907637,131.042590,ok,104,6860,65.961538,6756,16.381883,113.944160,11.668691,05:45:00,23:33:00
