stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,service_type,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,service_day_count,total_arrivals,mean_arrivals_per_service_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,404,42.24483,-71.83436,Orange,inbound,1,saturday,19;27;33,ok,3,43,0.051550,0.018605,2.216667,0.800000,ok,21,1281,61.000000,1260,16.048333,132.284849,12.145618,06:10:23,22:13:17
2,405,42.245764,-71.830529,Orange,inbound,1,saturday,19;27;33,ok,3,43,2.878294,0.729457,123.766661,31.366665,ok,21,1281,61.000000,1260,16.047778,131.434940,12.119002,06:11:34,22:14:26
3,407,42.24688,-71.82828,Orange,inbound,1,saturday,19;27;33,ok,3,43,0.305814,0.127519,13.150000,5.483333,ok,21,1281,61.000000,1260,16.048611,130.521206,12.090739,06:12:12,22:15:07
4,408,42.24764,-71.82689,Orange,inbound,1,saturday,19;27;33,ok,3,43,0.744574,0.421318,32.016665,18.116666,ok,21,1281,61.000000,1260,16.048889,129.423943,12.056622,06:12:39,22:15:35
5,409,42.24835,-71.82557,Orange,inbound,1,saturday,19;27;33,ok,3,43,0.951163,0.408915,40.899998,17.583332,ok,21,1281,61.000000,1260,16.049444,127.579555,11.999301,06:13:08,22:16:06
6,410,42.24972,-71.82303,Orange,inbound,1,saturday,19;27;33,ok,3,43,1.896899,0.514341,81.566663,22.116665,ok,21,1281,61.000000,1260,16.050000,124.680833,11.909138,06:14:00,22:17:00
7,412,42.25139,-71.81993,Orange,inbound,1,saturday,19;27;33,ok,3,43,0.607752,0.310465,26.133332,13.349999,ok,21,1281,61.000000,1260,16.045833,126.952959,11.978865,06:15:31,22:18:16
8,413,42.25213,-71.81855,Orange,inbound,1,saturday,19;27;33,ok,3,43,0.212403,0.200388,9.133333,8.616666,ok,21,1281,61.000000,1260,16.043611,127.071103,11.981983,06:16:14,22:18:51
9,414,42.25336,-71.81625,Orange,inbound,1,saturday,19;27;33,ok,3,43,0.655426,0.326357,28.183332,14.033333,ok,21,1281,61.000000,1260,16.040556,126.760966,11.971543,06:17:26,22:19:52
10,415,42.25429,-71.81474,Orange,inbound,1,saturday,19;27;33,ok,3,43,1.180233,1.075969,50.749998,46.266665,ok,21,1281,61.000000,1260,16.037778,126.674499,11.968142,06:18:24,22:20:40
11,416,42.25545,-71.81245,Orange,inbound,1,saturday,19;27;33,ok,3,43,0.060465,0.155039,2.600000,6.666666,ok,21,1281,61.000000,1260,16.034167,126.749485,11.969565,06:19:44,22:21:47
12,417,42.25635,-71.81071,Orange,inbound,1,saturday,19;27;33,ok,3,43,0.981008,0.722093,42.183332,31.049999,ok,21,1281,61.000000,1260,16.031389,126.996899,11.976577,06:20:38,22:22:31
13,419,42.25772,-71.80814,Orange,inbound,1,saturday,19;27;33,ok,3,43,0.364729,0.526744,15.683333,22.649999,ok,21,1281,61.000000,1260,16.028056,127.449810,11.989863,06:21:51,22:23:32
14,420,42.2588,-71.80617,Orange,inbound,1,saturday,19;27;33,ok,3,43,1.329070,1.163566,57.149997,50.033331,ok,21,1281,61.000000,1260,16.025278,127.992079,12.006082,06:22:52,22:24:23
15,421,42.25986,-71.80474,Orange,inbound,1,saturday,19;27;33,ok,3,43,0.923643,0.909690,39.716665,39.116665,ok,21,1281,61.000000,1260,16.023056,127.287547,11.983540,06:23:45,22:25:08
16,196,42.26308,-71.80221,Orange,inbound,1,saturday,19;27;33,ok,3,43,0.367054,1.706589,15.783333,73.383330,ok,21,1281,61.000000,1260,16.016667,124.783056,11.903746,06:26:00,22:27:00
17,1503,42.260898,-71.796662,Orange,inbound,1,saturday,19;27;33,ok,3,43,0.000000,11.549612,0.000000,496.633312,ok,21,1281,61.000000,1260,16.000000,128.700000,12.021875,06:30:00,22:30:00
